Story ID,Stories,Disruption type,num of words,num of sentences,num of disruptions (conceptual-referential),disrupted sentence indeces,disrupted words,QA for the story
1,"The Ant and the Dove

An ant went to the riverbank to quench its thirst but was swept away by the rushing current, nearly drowning. A dove, perched on a tree hanging over the water, noticed the ant's struggle. Plucking a leaf, the dove dropped it into the stream near the ant. The ant climbed onto the leaf and floated safely back to shore. Not long after, a birdcatcher approached the tree, setting up lime-twigs to trap the dove. Seeing this, the ant stung the birdcatcher’s foot. Startled and in pain, he dropped the twigs, making a noise that alerted the dove, who quickly flew away to safety.",original,103,7,3-5,,,"Why did the ant go to the riverbank?
a) To collect food.
b) To meet the dove.
c) To quench its thirst.
d) None of the previous."
1,"The Ant and the Dove

An ant went to the riverbank to quench its thirst but was swept away by the rushing mountain, nearly drowning. A dove, perched on a spoon hanging over the water, noticed the ant's struggle. Plucking a leaf, the dove dropped it into the stream near the ant. The ant climbed onto the drop and floated safely back to shore. Not long after, a birdcatcher approached the tree, setting up lime-twigs to trap the dove. Seeing this, the ant stung the birdcatcher’s foot. Startled and in pain, he dropped the twigs, making a noise that alerted the dove, who quickly flew away to safety. ",conceptual,,,,1-2-4,mountain-spoon-drop,"Why did the ant go to the riverbank?
a) To collect food.
b) To meet the dove.
c) To quench its thirst.
d) None of the previous."
1,"The Ant and the Dove

An ant went to the riverbank to quench its thirst but was swept away by the rushing current, nearly drowning. A dove, perched on a tree hanging over the water, noticed an ant's struggle. Plucking another leaf, the dove dropped it into the stream near the ant. The ant climbed onto the leaf and floated safely back to shore. Not long after, a birdcatcher approached the tree, setting up lime-twigs to trap a dove. Seeing this, the ant stung a birdcatcher’s foot. Startled and in pain, it dropped the twigs, making a noise that alerted the dove, who quickly flew away to safety.",referential,,,,2-3-5-6-7,an-another-a-a-it,"Why did the ant go to the riverbank?
a) To collect food.
b) To meet the dove.
c) To quench its thirst.
d) None of the previous."
2,"The Donkey and His Buyer

A man wanted to buy a donkey and arranged with its owner to test the animal before making the purchase. He brought the donkey home and placed it in the stable with his other donkeys, so it could rest. Immediately, the new donkey left the group and joined the laziest and greediest one of them all. Seeing this, the man put a halter on the donkey and took it back to its owner. When asked how he could judge the animal so quickly, he replied, ""I don’t need any more time. A donkey’s character is clear from the company it keeps.""",original,97,6,3-4,,,"What did the new donkey do when placed in the stable?
a) It stayed alone in a corner.
b) It joined the greediest and laziest donkey.
c) It tried to escape from the stable.
d) None of the previous."
2,"The Donkey and His Buyer

A man wanted to buy a donkey and arranged with its owner to test the animal before making the purchase. He brought the donkey home and placed it in the stable with his other fingers, so it could rest. Immediately, the new donkey left the pillow and joined the laziest and greediest one of them all. Seeing this, the man put a lock on the donkey and took it back to its owner. When asked how he could judge the animal so quickly, he replied, ""I don’t need any more time. A donkey’s character is clear from the company it keeps.""",conceptual,,,,2-3-4,fingers-pillow-lock,"What did the new donkey do when placed in the stable?
a) It stayed alone in a corner.
b) It became friends with all donkeys.
c) It tried to escape from the stable.
d) None of the previous."
2,"The Donkey and His Buyer

A man wanted to buy a donkey and arranged with its owner to test the animal before making the purchase. He brought the donkey home and placed them in the stable with his other donkeys, so it could rest. Immediately, a new donkey left the group and joined the laziest and greediest one of them all. Seeing this, the man put a halter on another donkey and took it back to its owner. When asked how he could judge the animal so quickly, she replied, ""I don’t need any more time. A donkey’s character is clear from the company it keeps.""",referential,,,,2-3-4-5,them-a-another-she,"What did the new donkey do when placed in the stable?
a) It stayed alone in a corner.
b) It became friends with all donkeys.
c) It tried to escape from the stable.
d) None of the previous."
3,"The Donkey and His Shadow

A traveler hired a donkey to take him to a distant location. On a particularly hot day, with the sun blazing down, the traveler decided to take a break and sought shelter from the heat under the donkey's shadow. However, the shadow only provided enough space for one person, and both the traveler and the donkey's owner claimed the right to it. The owner argued that he had only lent the donkey, not its shadow, speaking in a tone that suggested he was entirely serious. In response, the traveler insisted that when he hired the donkey, he had also hired its shadow. The disagreement quickly escalated into a physical fight, and amid the chaos, the donkey took off and ran away.",original,111,6,3-5,,,"What caused the argument between the traveler and the owner?
a) Who should use the shadow.
b) Who owns the donkey.
c) The donkey’s behavior.
d) None of the previous."
3,"The Donkey and His Shadow

A traveler hired a donkey to take him to a distant location. On a particularly hot day, with the sun blazing down, the traveler decided to take a break and sought shelter from the heat under the donkey's shadow. However, the shadow only provided enough light for one person, and both the traveler and the donkey's owner claimed the right to it. The owner argued that he had only lent the donkey, not its answer, speaking in a tone that suggested he was entirely serious. In response, the traveler insisted that when he hired the donkey, he had also hired its shadow. The disagreement quickly escalated into a physical fight, and amid the rumors, the donkey took off and ran away.",conceptual,,,,3-4-6,light-answer-rumors,"Why did the traveler want to sit in the donkey's shadow?
a) Because the traveler was hungry.
b) Because the weather was very hot.
c) Because the traveler fell asleep.
d) None of the previous."
3,"The Donkey and His Shadow

A traveler hired a donkey to take him to a distant location. On a particularly hot day, with the sun blazing down, a traveler decided to take a break and sought shelter from the heat under the donkey's shadow. However, the shadow only provided enough space for one person, and both the traveler and the donkey's owner claimed the right to her. The owner argued that they had only lent the donkey, not its shadow, speaking in a tone that suggested he was entirely serious. In response, the traveler insisted that when he hired the donkey, he had also hired another shadow. The disagreement quickly escalated into a physical fight, and amid the chaos, a donkey took off and ran away.",referential,,,,2-3-4-5-6,a-her-they-another-a,"What did the donkey do at the end?
a) It stayed with the traveler.
b) It ran away.
c) It helped the owner.
d) None of the previous."
4,"The Donkey and the Warhorse

A donkey envied a horse for being so well-fed and cared for, while he barely had enough to eat and had to work hard for it. However, when war broke out, a soldier armed to the teeth mounted the horse and charged straight into the heart of battle, while the donkey stayed behind. The horse was gravely wounded and fell dead on the battlefield, tragically. Witnessing this, the donkey changed his mind and felt pity for the horse, realizing the cost of such a privileged life.",original,80,4,2-4,,,"What happened to the horse during the war?
a) It became a general.
b) It was wounded and died on the battlefield.
c) It managed to escape.
d) None of the previous."
4,"The Donkey and the Warhorse

A donkey envied a horse for being so well-fed and cared for, while he barely had enough to eat and had to work hard for it. However, when war broke out, a soldier armed to the teeth mounted the horse and charged straight into the heart of a jar, while the donkey stayed behind. The horse was gravely wounded and fell dead on the plate, tragically. Witnessing this, the donkey changed his mind and felt pity for the horse, realizing the cost of such a privileged life.",conceptual,,,,2-3,jar-plate,"Which characters were in the story?
a) A horse, a soldier, and a lion.
b) A donkey, a lion, and a soldier.
c) A donkey, a horse, and a soldier.
d) None of the previous."
4,"The Donkey and the Warhorse

A donkey envied a horse for being so well-fed and cared for, while he barely had enough to eat and had to work hard for her. However, when war broke out, a soldier armed to the teeth mounted a horse and charged straight into the heart of battle, while the donkey stayed behind. The horse was gravely wounded and fell dead on a battlefield, tragically. Witnessing this, the donkey changed their mind and felt pity for the horse, realizing the cost of such a privileged life.",referential,,,,1-2-3-4,her-a-a-their,"What happened to the horse during the war?
a) It became a general.
b) It was wounded and died on the battlefield.
c) It managed to escape.
d) None of the previous."
5,"The Donkey Carrying the Statue

A donkey once carried a famous wooden statue through the streets of a city to be placed in one of its temples. As he passed by, the crowd bowed low in reverence to the statue. The donkey, thinking they were showing respect to him, became proud, puffed himself up, and refused to move any further. Seeing the donkey stop, the driver struck him with his whip and said, ""You foolish animal! It’s not you they are bowing to; no one worships a donkey.",original,83,5,2-4,,,"Why did the crowd bow as the donkey passed?
a) They were respecting the donkey.
b) They were afraid of the donkey.
c) They were admiring the statue the donkey carried.
d) None of the previous."
5,"The Donkey Carrying the Statue

A donkey once carried a famous wooden statue through the streets of a city to be placed in one of its temples. As he passed by, the crowd bowed low in reverence to the statue. The donkey, thinking they were showing their expertise to him, became proud, puffed himself up, and refused to move any further. Seeing the donkey stop, the driver struck him with his memory and said, ""You foolish animal! It’s not you they are bowing to; no one worships a donkey.",conceptual,,,,3-4,their expertise-memory,"What did the crowd do when the donkey passed by?
a) They cheered for the donkey.
b) They laughed at the statue.
c) They bowed to the statue.
d) None of the previous."
