Participant,Session,Story,Story_Version,Trial,Observed,Template,Reason
P004,P004-S01,Story18,CD,13.0,88,95,too_many_missing_words
P004,P004-S01,Story16,Original,15.0,39,89,too_many_missing_words
P006,P006-S01,Story13,RD,21.0,96,102,too_many_missing_words
P011,P011-S01,Story9,RD,1.0,44,119,too_many_missing_words
P017,P017-S01,Story2,CD,14.0,88,101,too_many_missing_words
P023,P023-S01,Story3,CD,7.0,75,121,too_many_missing_words
P025,P025-S01,Story1,CD,1.0,1,103,too_many_missing_words
P025,P025-S01,Story11,Original,2.0,1,114,too_many_missing_words
P025,P025-S01,Story12,RD,6.0,7,73,too_many_missing_words
P025,P025-S01,Story5,CD,20.0,78,84,too_many_missing_words
P026,P026-S01,Story20,RD,1.0,43,83,too_many_missing_words
P032,P032-S01,Story20,RD,14.0,79,83,too_many_missing_words
P042,P042-S01,Story7,CD,1.0,89,95,too_many_missing_words
P042,P042-S01,Story10,Original,21.0,88,103,too_many_missing_words
P046,P046-S01,Story18,RD,6.0,93,95,ambiguous_gap_alignment
P050,P050-S01,Story5,RD,6.0,78,83,too_many_missing_words
P052,P052-S01,Story3,CD,14.0,111,121,too_many_missing_words
P052,P052-S01,Story9,Original,15.0,112,119,too_many_missing_words
P052,P052-S01,Story1,CD,16.0,204,103,extra_or_duplicate_events
P052,P052-S01,Story14,RD,17.0,232,116,extra_or_duplicate_events
P052,P052-S01,Story17,CD,18.0,150,84,extra_or_duplicate_events
P052,P052-S01,Story13,RD,19.0,202,102,extra_or_duplicate_events
P052,P052-S01,Story19,RD,20.0,212,107,extra_or_duplicate_events
P052,P052-S01,Story6,Original,21.0,97,65,extra_or_duplicate_events
P058,P058-S01,Story12,RD,1.0,62,73,too_many_missing_words
P059,P059-S01,Story20,CD,17.0,78,83,too_many_missing_words
P060,P060-S01,Story19,RD,1.0,101,107,too_many_missing_words
P060,P060-S01,Story2,RD,4.0,87,101,too_many_missing_words
P060,P060-S01,Story18,CD,20.0,87,95,too_many_missing_words
P065,P065-S01,Story16,RD,1.0,76,89,too_many_missing_words
P065,P065-S01,Story8,Original,4.0,109,114,too_many_missing_words
P067,P067-S01,Story8,Original,1.0,75,114,too_many_missing_words
P071,P071-S01,Story1,Original,1.0,94,103,too_many_missing_words
P073,P073-S01,Story2,Original,2.0,97,101,too_many_missing_words
P074,P074-S01,Story17,RD,1.0,80,84,too_many_missing_words
P083,P083-S01,Story3,CD,2.0,114,121,too_many_missing_words
P084,P084-S01,Story1,RD,8.0,96,103,too_many_missing_words
P084,P084-S01,Story21,CD,14.0,6,74,too_many_missing_words
P091,P091-S01,Story11,RD,9.0,110,114,too_many_missing_words
P094,P094-S01,Story7,CD,1.0,91,95,too_many_missing_words
P094,P094-S01,Story17,CD,3.0,76,84,too_many_missing_words
P094,P094-S01,Story9,RD,12.0,111,119,too_many_missing_words
P094,P094-S01,Story1,RD,18.0,79,103,too_many_missing_words
P097,P097-S01,Story14,CD,11.0,106,116,too_many_missing_words
P097,P097-S01,Story9,CD,15.0,115,119,too_many_missing_words
P099,P099-S01,Story19,RD,1.0,101,107,too_many_missing_words
P099,P099-S01,Story21,RD,16.0,68,74,too_many_missing_words
