Participant,Session,Story,Story_Version,Trial,Observed,Template,Aligned,Coverage,Missing,Critical_Missing,Status
P002,P002-S01,Story9,CD,1.0,119,119,119,1.0,0,0,exact
P002,P002-S01,Story3,CD,2.0,121,121,121,1.0,0,0,exact
P002,P002-S01,Story4,Original,3.0,84,86,84,0.9767441860465116,2,0,gap_aligned
P002,P002-S01,Story2,RD,4.0,101,101,101,1.0,0,0,exact
P002,P002-S01,Story10,Original,5.0,103,103,103,1.0,0,0,exact
P002,P002-S01,Story21,Original,6.0,74,74,74,1.0,0,0,exact
P002,P002-S01,Story7,CD,7.0,95,95,95,1.0,0,0,exact
P002,P002-S01,Story12,CD,8.0,73,73,73,1.0,0,0,exact
P002,P002-S01,Story15,Original,9.0,62,62,62,1.0,0,0,exact
P002,P002-S01,Story20,CD,10.0,83,83,83,1.0,0,0,exact
P002,P002-S01,Story17,CD,11.0,84,84,84,1.0,0,0,exact
P002,P002-S01,Story6,Original,12.0,65,65,65,1.0,0,0,exact
P002,P002-S01,Story11,RD,13.0,114,114,114,1.0,0,0,exact
P002,P002-S01,Story14,RD,14.0,116,116,116,1.0,0,0,exact
P002,P002-S01,Story8,RD,15.0,114,114,114,1.0,0,0,exact
P002,P002-S01,Story18,CD,16.0,95,95,95,1.0,0,0,exact
P002,P002-S01,Story5,Original,17.0,83,83,83,1.0,0,0,exact
P002,P002-S01,Story16,RD,18.0,89,89,89,1.0,0,0,exact
P002,P002-S01,Story13,Original,19.0,102,102,102,1.0,0,0,exact
P002,P002-S01,Story19,RD,20.0,107,107,107,1.0,0,0,exact
P002,P002-S01,Story1,RD,21.0,103,103,103,1.0,0,0,exact
P003,P003-S01,Story21,RD,1.0,74,74,74,1.0,0,0,exact
P003,P003-S01,Story8,Original,2.0,114,114,114,1.0,0,0,exact
P003,P003-S01,Story1,CD,3.0,103,103,103,1.0,0,0,exact
P003,P003-S01,Story2,RD,4.0,101,101,101,1.0,0,0,exact
P003,P003-S01,Story19,Original,5.0,107,107,107,1.0,0,0,exact
P003,P003-S01,Story4,CD,6.0,87,87,87,1.0,0,0,exact
P003,P003-S01,Story7,Original,7.0,95,95,95,1.0,0,0,exact
P003,P003-S01,Story17,CD,8.0,84,84,84,1.0,0,0,exact
P003,P003-S01,Story15,Original,9.0,62,62,62,1.0,0,0,exact
P003,P003-S01,Story11,Original,10.0,114,114,114,1.0,0,0,exact
P003,P003-S01,Story18,RD,11.0,95,95,95,1.0,0,0,exact
P003,P003-S01,Story6,CD,12.0,65,65,65,1.0,0,0,exact
P003,P003-S01,Story5,Original,13.0,83,83,83,1.0,0,0,exact
P003,P003-S01,Story12,Original,14.0,73,73,73,1.0,0,0,exact
P003,P003-S01,Story3,RD,15.0,121,121,121,1.0,0,0,exact
P003,P003-S01,Story9,RD,16.0,119,119,119,1.0,0,0,exact
P003,P003-S01,Story16,CD,17.0,89,89,89,1.0,0,0,exact
P003,P003-S01,Story20,RD,18.0,83,83,83,1.0,0,0,exact
P003,P003-S01,Story10,CD,19.0,103,103,103,1.0,0,0,exact
P003,P003-S01,Story13,RD,20.0,102,102,102,1.0,0,0,exact
P003,P003-S01,Story14,CD,21.0,116,116,116,1.0,0,0,exact
P004,P004-S01,Story2,CD,1.0,101,101,101,1.0,0,0,exact
P004,P004-S01,Story7,Original,3.0,95,95,95,1.0,0,0,exact
P004,P004-S01,Story12,RD,4.0,73,73,73,1.0,0,0,exact
P004,P004-S01,Story9,RD,5.0,119,119,119,1.0,0,0,exact
P004,P004-S01,Story10,CD,6.0,103,103,103,1.0,0,0,exact
P004,P004-S01,Story6,CD,7.0,65,65,65,1.0,0,0,exact
P004,P004-S01,Story17,Original,8.0,84,84,84,1.0,0,0,exact
P004,P004-S01,Story13,RD,9.0,102,102,102,1.0,0,0,exact
P004,P004-S01,Story8,Original,10.0,114,114,114,1.0,0,0,exact
P004,P004-S01,Story1,Original,11.0,103,103,103,1.0,0,0,exact
P004,P004-S01,Story3,CD,12.0,121,121,121,1.0,0,0,exact
P004,P004-S01,Story15,RD,14.0,62,62,62,1.0,0,0,exact
P004,P004-S01,Story20,Original,16.0,83,83,83,1.0,0,0,exact
P004,P004-S01,Story11,Original,17.0,114,114,114,1.0,0,0,exact
P004,P004-S01,Story19,RD,18.0,107,107,107,1.0,0,0,exact
P004,P004-S01,Story4,RD,19.0,86,86,86,1.0,0,0,exact
P004,P004-S01,Story5,RD,20.0,83,83,83,1.0,0,0,exact
P004,P004-S01,Story14,CD,21.0,116,116,116,1.0,0,0,exact
P005,P005-S01,Story21,CD,1.0,73,74,73,0.9864864864864865,1,0,gap_aligned
P005,P005-S01,Story7,Original,2.0,95,95,95,1.0,0,0,exact
P005,P005-S01,Story20,Original,3.0,83,83,83,1.0,0,0,exact
P005,P005-S01,Story14,CD,4.0,116,116,116,1.0,0,0,exact
P005,P005-S01,Story9,RD,5.0,119,119,119,1.0,0,0,exact
P005,P005-S01,Story4,Original,6.0,86,86,86,1.0,0,0,exact
P005,P005-S01,Story2,RD,7.0,101,101,101,1.0,0,0,exact
P005,P005-S01,Story12,RD,8.0,73,73,73,1.0,0,0,exact
P005,P005-S01,Story16,Original,9.0,89,89,89,1.0,0,0,exact
P005,P005-S01,Story15,CD,10.0,62,62,62,1.0,0,0,exact
P005,P005-S01,Story17,CD,11.0,84,84,84,1.0,0,0,exact
P005,P005-S01,Story6,RD,12.0,65,65,65,1.0,0,0,exact
P005,P005-S01,Story8,Original,13.0,114,114,114,1.0,0,0,exact
P005,P005-S01,Story13,RD,14.0,102,102,102,1.0,0,0,exact
P005,P005-S01,Story5,RD,15.0,83,83,83,1.0,0,0,exact
P005,P005-S01,Story18,CD,16.0,95,95,95,1.0,0,0,exact
P005,P005-S01,Story1,CD,17.0,103,103,103,1.0,0,0,exact
P005,P005-S01,Story10,CD,18.0,103,103,103,1.0,0,0,exact
P005,P005-S01,Story19,Original,19.0,107,107,107,1.0,0,0,exact
P005,P005-S01,Story11,Original,20.0,114,114,114,1.0,0,0,exact
P005,P005-S01,Story3,RD,21.0,121,121,121,1.0,0,0,exact
P006,P006-S01,Story11,CD,1.0,112,114,112,0.9824561403508771,2,0,gap_aligned
P006,P006-S01,Story5,CD,2.0,84,84,84,1.0,0,0,exact
P006,P006-S01,Story14,CD,3.0,115,116,115,0.9913793103448276,1,0,gap_aligned
P006,P006-S01,Story7,CD,4.0,95,95,95,1.0,0,0,exact
P006,P006-S01,Story2,Original,5.0,101,101,101,1.0,0,0,exact
P006,P006-S01,Story18,Original,6.0,95,95,95,1.0,0,0,exact
P006,P006-S01,Story20,RD,7.0,83,83,83,1.0,0,0,exact
P006,P006-S01,Story9,Original,8.0,117,119,117,0.9831932773109243,2,0,gap_aligned
P006,P006-S01,Story6,RD,9.0,65,65,65,1.0,0,0,exact
P006,P006-S01,Story4,RD,10.0,86,86,86,1.0,0,0,exact
P006,P006-S01,Story8,RD,11.0,114,114,114,1.0,0,0,exact
P006,P006-S01,Story21,Original,12.0,74,74,74,1.0,0,0,exact
P006,P006-S01,Story19,CD,13.0,107,107,107,1.0,0,0,exact
P006,P006-S01,Story16,RD,14.0,88,89,88,0.9887640449438202,1,0,gap_aligned
P006,P006-S01,Story17,RD,15.0,84,84,84,1.0,0,0,exact
P006,P006-S01,Story15,CD,16.0,61,62,61,0.9838709677419355,1,0,gap_aligned
P006,P006-S01,Story10,Original,17.0,101,103,101,0.9805825242718447,2,0,gap_aligned
P006,P006-S01,Story3,CD,18.0,121,121,121,1.0,0,0,exact
P006,P006-S01,Story12,Original,19.0,73,73,73,1.0,0,0,exact
P006,P006-S01,Story1,Original,20.0,103,103,103,1.0,0,0,exact
P007,P007-S01,Story19,CD,1.0,106,107,106,0.9906542056074766,1,0,gap_aligned
P007,P007-S01,Story6,CD,2.0,64,65,64,0.9846153846153847,1,0,gap_aligned
P007,P007-S01,Story20,CD,4.0,83,83,83,1.0,0,0,exact
P007,P007-S01,Story8,Original,5.0,114,114,114,1.0,0,0,exact
P007,P007-S01,Story1,CD,6.0,103,103,103,1.0,0,0,exact
P007,P007-S01,Story7,RD,7.0,95,95,95,1.0,0,0,exact
P007,P007-S01,Story17,RD,8.0,84,84,84,1.0,0,0,exact
P007,P007-S01,Story14,Original,9.0,116,116,116,1.0,0,0,exact
P007,P007-S01,Story5,RD,10.0,83,83,83,1.0,0,0,exact
P007,P007-S01,Story13,Original,11.0,102,102,102,1.0,0,0,exact
P007,P007-S01,Story15,RD,12.0,62,62,62,1.0,0,0,exact
P007,P007-S01,Story21,Original,13.0,74,74,74,1.0,0,0,exact
P007,P007-S01,Story11,Original,14.0,114,114,114,1.0,0,0,exact
P007,P007-S01,Story3,RD,15.0,121,121,121,1.0,0,0,exact
P007,P007-S01,Story9,Original,16.0,119,119,119,1.0,0,0,exact
P007,P007-S01,Story18,Original,17.0,95,95,95,1.0,0,0,exact
P007,P007-S01,Story10,RD,18.0,103,103,103,1.0,0,0,exact
P007,P007-S01,Story2,RD,19.0,101,101,101,1.0,0,0,exact
P007,P007-S01,Story16,CD,20.0,89,89,89,1.0,0,0,exact
P007,P007-S01,Story12,CD,21.0,73,73,73,1.0,0,0,exact
P008,P008-S01,Story5,RD,1.0,83,83,83,1.0,0,0,exact
P008,P008-S01,Story19,CD,2.0,107,107,107,1.0,0,0,exact
P008,P008-S01,Story9,Original,3.0,119,119,119,1.0,0,0,exact
P008,P008-S01,Story11,CD,4.0,114,114,114,1.0,0,0,exact
P008,P008-S01,Story4,Original,5.0,86,86,86,1.0,0,0,exact
P008,P008-S01,Story21,CD,6.0,74,74,74,1.0,0,0,exact
P008,P008-S01,Story7,RD,7.0,95,95,95,1.0,0,0,exact
P008,P008-S01,Story10,RD,8.0,103,103,103,1.0,0,0,exact
