Participant,Session,Story,Story_Version,Trial,WordIndex,Word,Word_Condition,SentenceIndex
P013,P013-S01,Story9,RD,15.0,71,Bear,K+1,6
P025,P025-S01,Story8,RD,18.0,114,friends.’”,K_END,6
P026,P026-S01,Story17,CD,2.0,39,indignation.,K+3|K_END,2
P033,P033-S01,Story2,RD,20.0,30,the,K+2,2
P033,P033-S01,Story2,RD,20.0,31,stable,K+3,2
P046,P046-S01,Story3,RD,3.0,98,had,K-3,5
P046,P046-S01,Story3,RD,3.0,99,also,K-2,5
P048,P048-S01,Story20,RD,8.0,37,great,K+3,3
P050,P050-S01,Story1,CD,14.0,17,rushing,K-1,1
P050,P050-S01,Story1,CD,14.0,18,"mountain,",K,1
P050,P050-S01,Story1,CD,14.0,19,nearly,K+1,1
P052,P052-S01,Story4,RD,13.0,41,and,K+2,2
P052,P052-S01,Story4,RD,13.0,42,charged,K+3,2
P066,P066-S01,Story4,CD,6.0,54,behind.,K_END,2
P067,P067-S01,Story4,RD,5.0,74,felt,K+3,4
P094,P094-S01,Story5,RD,6.0,57,some,K,4
P097,P097-S01,Story18,CD,9.0,59,hung,K+1,5
P097,P097-S01,Story3,CD,10.0,46,light,K,3
P097,P097-S01,Story3,CD,10.0,47,for,K+1,3
