Story,Story_Version,SentenceIndex,K_Start_SentencePos,K_End_SentencePos,Sentence_Length,Words_Before_K,Words_After_K
Story1,CD,1,18,18,20,17,2
Story1,CD,2,6,6,14,5,8
Story1,CD,4,6,6,12,5,6
Story1,RD,2,12,12,14,11,2
Story1,RD,3,2,2,13,1,11
Story1,RD,5,14,14,15,13,1
Story1,RD,6,6,6,8,5,2
Story1,RD,7,5,5,21,4,16
Story2,CD,2,15,15,19,14,4
Story2,CD,3,7,7,17,6,10
Story2,CD,4,7,7,17,6,10
Story2,RD,2,8,8,19,7,11
Story2,RD,3,2,2,17,1,15
Story2,RD,4,9,9,17,8,8
Story2,RD,5,11,11,18,10,7
Story3,CD,3,7,7,23,6,16
Story3,CD,4,13,13,23,12,10
Story3,CD,6,12,12,19,11,7
Story3,RD,2,11,11,27,10,16
Story3,RD,3,23,23,23,22,0
Story3,RD,4,5,5,23,4,18
Story3,RD,5,16,16,17,15,1
Story3,RD,6,13,13,19,12,6
Story4,CD,2,22,23,28,21,5
Story4,CD,3,11,11,12,10,1
Story4,RD,1,26,26,26,25,0
Story4,RD,2,13,13,27,12,14
Story4,RD,3,10,10,12,9,2
Story4,RD,4,6,6,21,5,15
Story5,CD,3,7,8,21,6,13
Story5,CD,4,11,11,16,10,5
Story5,RD,2,12,12,13,11,1
Story5,RD,3,9,9,20,8,11
Story5,RD,4,2,2,16,1,14
Story5,RD,5,3,3,12,2,9
Story6,CD,2,9,9,18,8,9
Story6,CD,2,11,11,18,10,7
Story6,CD,3,31,31,35,30,4
Story6,RD,2,13,13,18,12,5
Story6,RD,3,2,2,35,1,33
Story6,RD,3,25,25,35,24,10
Story7,CD,2,11,11,17,10,6
Story7,CD,3,12,12,41,11,29
Story7,CD,4,10,10,24,9,14
Story7,RD,3,1,1,41,0,40
Story7,RD,3,18,18,41,17,23
Story7,RD,3,25,25,41,24,16
Story7,RD,4,17,17,24,16,7
Story8,CD,2,10,10,12,9,2
Story8,CD,3,37,37,38,36,1
Story8,CD,6,4,4,23,3,19
Story8,RD,2,2,2,12,1,10
Story8,RD,3,25,25,38,24,13
Story8,RD,4,10,10,16,9,6
Story8,RD,5,10,10,12,9,2
Story8,RD,6,3,3,23,2,20
Story9,CD,2,12,12,17,11,5
Story9,CD,5,3,3,17,2,14
Story9,CD,8,20,20,23,19,3
Story9,RD,3,4,4,11,3,7
Story9,RD,5,4,4,17,3,13
Story9,RD,6,4,4,7,3,3
Story9,RD,7,6,6,23,5,17
Story9,RD,7,22,22,23,21,1
Story10,CD,3,20,20,36,19,16
Story10,CD,3,32,32,36,31,4
Story10,CD,5,11,11,20,10,9
Story10,RD,2,3,3,11,2,8
Story10,RD,2,10,10,11,9,1
Story10,RD,3,31,31,36,30,5
Story10,RD,5,4,4,20,3,16
Story11,CD,2,12,12,14,11,2
Story11,CD,4,19,19,22,18,3
Story11,CD,7,10,10,15,9,5
Story11,RD,3,1,1,21,0,20
Story11,RD,3,19,19,21,18,2
Story11,RD,4,8,8,22,7,14
Story11,RD,5,1,1,12,0,11
Story11,RD,8,6,6,9,5,3
Story12,CD,2,22,22,24,21,2
Story12,CD,3,13,13,19,12,6
Story12,RD,2,10,10,24,9,14
Story12,RD,3,12,12,19,11,7
Story12,RD,4,16,16,19,15,3
Story13,CD,2,9,9,39,8,30
Story13,CD,2,33,33,39,32,6
Story13,CD,4,7,7,29,6,22
Story13,RD,2,3,3,39,2,36
Story13,RD,2,22,22,39,21,17
Story13,RD,4,14,14,29,13,15
Story13,RD,5,3,3,7,2,4
Story14,CD,2,10,10,31,9,21
Story14,CD,2,28,28,31,27,3
Story14,CD,4,14,14,17,13,3
Story14,RD,2,3,3,31,2,28
Story14,RD,2,12,12,31,11,19
Story14,RD,3,3,3,8,2,5
Story14,RD,4,17,17,17,16,0
Story14,RD,6,7,7,14,6,7
Story15,CD,1,14,14,18,13,4
Story15,CD,2,11,11,18,10,7
Story15,RD,2,6,6,18,5,12
Story15,RD,3,5,5,26,4,21
Story15,RD,3,20,20,26,19,6
Story16,CD,2,16,16,20,15,4
Story16,CD,4,22,22,32,21,10
Story16,RD,2,4,4,20,3,16
Story16,RD,3,1,1,19,0,18
Story16,RD,4,24,24,32,23,8
Story16,RD,4,31,31,32,30,1
Story17,CD,2,19,19,22,18,3
Story17,CD,3,19,19,25,18,6
Story17,RD,2,17,17,22,16,5
Story17,RD,3,4,4,25,3,21
Story17,RD,4,9,9,20,8,11
Story18,CD,3,10,10,15,9,5
Story18,CD,5,5,5,14,4,9
Story18,CD,6,22,22,28,21,6
Story18,RD,3,3,3,15,2,12
Story18,RD,4,6,6,15,5,9
Story18,RD,5,4,4,14,3,10
Story18,RD,6,23,23,28,22,5
Story19,CD,1,23,23,27,22,4
Story19,CD,2,8,8,45,7,37
Story19,CD,2,41,41,45,40,4
Story19,RD,2,17,17,45,16,28
Story19,RD,2,45,45,45,44,0
Story19,RD,3,12,12,21,11,9
Story19,RD,3,14,14,21,13,7
Story19,RD,4,5,5,14,4,9
Story20,CD,3,15,15,18,14,3
Story20,CD,5,25,25,31,24,6
Story20,RD,3,2,2,18,1,16
Story20,RD,3,14,14,18,13,4
Story20,RD,4,13,13,14,12,1
Story20,RD,5,7,7,31,6,24
Story21,CD,2,14,15,17,13,2
Story21,CD,3,14,14,24,13,10
Story21,RD,2,6,6,17,5,11
Story21,RD,3,9,9,24,8,15
Story21,RD,4,5,5,17,4,12
