Participant Private ID,n_rows,n_trials,final_score
P002,4084,21,19.0
P003,4088,21,20.0
P004,3957,21,17.0
P005,4085,21,20.0
P006,4073,21,18.0
P007,4000,21,18.0
P008,4085,21,18.0
P009,4088,21,19.0
P010,4086,21,20.0
P011,4012,21,19.0
P012,4086,21,19.0
P013,4085,21,21.0
P014,3284,21,14.0
P015,4089,21,19.0
P016,4086,21,21.0
P017,4075,21,19.0
P018,4088,21,20.0
P019,4091,21,20.0
P020,4088,21,21.0
P021,4089,21,20.0
P022,4085,21,18.0
P023,3428,21,18.0
P024,4081,21,19.0
P025,3541,21,18.0
P026,4041,21,21.0
P027,4087,21,20.0
P028,4086,21,20.0
P029,4086,21,21.0
P030,4086,21,21.0
P031,4086,21,20.0
P032,4080,21,19.0
P033,4087,21,21.0
P034,4086,21,21.0
P035,4090,21,20.0
P036,4085,21,21.0
P037,3910,21,16.0
P038,4087,21,21.0
P039,4090,21,20.0
P040,4088,21,21.0
P041,4086,21,18.0
P042,4070,21,20.0
P043,3972,21,20.0
P044,4091,21,20.0
P045,4086,21,21.0
P046,4075,21,21.0
P047,3432,21,19.0
P048,3850,21,21.0
P049,4088,21,19.0
P050,4072,21,19.0
P051,4090,21,21.0
P052,5158,21,18.0
P053,4087,21,20.0
P054,4088,21,21.0
P055,3974,21,19.0
P056,4090,21,19.0
P057,3548,21,20.0
P058,4077,21,21.0
P059,4081,21,21.0
P060,4062,21,15.0
P061,4085,21,21.0
P062,4082,21,17.0
P063,4089,21,20.0
P064,4081,21,20.0
P065,4072,21,21.0
P066,4084,21,21.0
P067,4048,21,20.0
P068,4086,21,20.0
P069,4088,21,18.0
P070,4086,21,20.0
P071,4076,21,19.0
P072,4086,21,19.0
P073,4084,21,21.0
P074,4084,21,19.0
P075,4086,21,19.0
P076,4084,21,21.0
P077,4089,21,21.0
P078,4088,21,21.0
P079,4086,21,16.0
P080,4004,21,21.0
P081,4086,21,18.0
P082,3710,21,20.0
P083,4004,21,21.0
P084,4012,21,20.0
P085,4088,21,21.0
P086,4088,21,20.0
P087,4086,21,20.0
P088,4088,21,20.0
P089,4093,21,21.0
P090,4084,21,21.0
P091,3369,21,20.0
P092,4085,21,18.0
P093,3267,21,14.0
P094,4035,21,20.0
P095,4087,21,19.0
P096,4086,21,21.0
P097,3952,21,13.0
P098,4086,21,20.0
P099,4074,21,19.0
P100,4086,21,21.0
