Story,Story_Version,SentenceIndex,Original_N,Version_N,Alignment_Method,Changed_Spans
Story1,CD,1,20,20,position,18-18
Story1,CD,2,14,14,position,6-6
Story1,CD,3,13,13,position,
Story1,CD,4,12,12,position,6-6
Story1,CD,5,15,15,position,
Story1,CD,6,8,8,position,
Story1,CD,7,21,21,position,
Story1,RD,1,20,20,position,
Story1,RD,2,14,14,position,12-12
Story1,RD,3,13,13,position,2-2
Story1,RD,4,12,12,position,
Story1,RD,5,15,15,position,14-14
Story1,RD,6,8,8,position,6-6
Story1,RD,7,21,21,position,5-5
Story2,CD,1,20,20,position,
Story2,CD,2,19,19,position,15-15
Story2,CD,3,17,17,position,7-7
Story2,CD,4,17,17,position,7-7
Story2,CD,5,18,18,position,
Story2,CD,6,10,10,position,
Story2,RD,1,20,20,position,
Story2,RD,2,19,19,position,8-8
Story2,RD,3,17,17,position,2-2
Story2,RD,4,17,17,position,9-9
Story2,RD,5,18,18,position,11-11
Story2,RD,6,10,10,position,
Story3,CD,1,12,12,position,
Story3,CD,2,27,27,position,
Story3,CD,3,23,23,position,7-7
Story3,CD,4,23,23,position,13-13
Story3,CD,5,17,17,position,
Story3,CD,6,19,19,position,12-12
Story3,RD,1,12,12,position,
Story3,RD,2,27,27,position,11-11
Story3,RD,3,23,23,position,23-23
Story3,RD,4,23,23,position,5-5
Story3,RD,5,17,17,position,16-16
Story3,RD,6,19,19,position,13-13
Story4,CD,1,26,26,position,
Story4,CD,2,27,28,sequence_fallback,22-23
Story4,CD,3,12,12,position,11-11
Story4,CD,4,21,21,position,
Story4,RD,1,26,26,position,26-26
Story4,RD,2,27,27,position,13-13
Story4,RD,3,12,12,position,10-10
Story4,RD,4,21,21,position,6-6
Story5,CD,1,22,22,position,
Story5,CD,2,13,13,position,
Story5,CD,3,20,21,sequence_fallback,7-8
Story5,CD,4,16,16,position,11-11
Story5,CD,5,12,12,position,
Story5,RD,1,22,22,position,
Story5,RD,2,13,13,position,12-12
Story5,RD,3,20,20,position,9-9
Story5,RD,4,16,16,position,2-2
Story5,RD,5,12,12,position,3-3
Story6,CD,1,12,12,position,
Story6,CD,2,18,18,position,9-9;11-11
Story6,CD,3,35,35,position,31-31
Story6,RD,1,12,12,position,
Story6,RD,2,18,18,position,13-13
Story6,RD,3,35,35,position,2-2;25-25
Story7,CD,1,13,13,position,
Story7,CD,2,17,17,position,11-11
Story7,CD,3,41,41,position,12-12
Story7,CD,4,24,24,position,10-10
Story7,RD,1,13,13,position,
Story7,RD,2,17,17,position,
Story7,RD,3,41,41,position,1-1;18-18;25-25
Story7,RD,4,24,24,position,17-17
Story8,CD,1,13,13,position,
