DistType,EffectMode,Model,NDistances,NParameters,Minus2LogLik,AIC,AICc,BIC,RawRMSE,ParamCovCondition,Error,DeltaAICc,AkaikeWeight
CD,signed,log_normal,10,4,-60.68468339561665,-52.68468339561665,-44.68468339561665,-51.47434302364047,0.010946902733241155,697.4592186645693,,0.0,0.3927363313292481
CD,signed,log_cauchy,10,4,-59.401939509026136,-51.401939509026136,-43.401939509026136,-50.191599137049955,0.011680369186695001,5359.644907298757,,1.2827438865905165,0.20680297548646215
CD,signed,quadratic,10,3,-52.48910317866,-46.48910317866,-42.48910317866,-45.581347899677866,0.015555895676354056,13346.247553199786,,2.1955802169566496,0.1310197880460223
CD,signed,broken_stick,10,4,-58.08069418269364,-50.08069418269364,-42.08069418269364,-48.87035381071746,0.011879761947666363,335006.70459435997,,2.603989212923011,0.10681986035273522
CD,signed,exponential,10,3,-51.824184771446525,-45.824184771446525,-41.824184771446525,-44.91642949246439,0.014796360440293217,2397.3391110477487,,2.860498624170127,0.0939618794238786
CD,signed,power_law,10,3,-50.38652507961264,-44.38652507961264,-40.38652507961264,-43.4787698006305,0.01543360289053004,36901.46838269027,,4.298158316004013,0.04578970645899089
CD,signed,linear,10,2,-44.2501013821953,-40.2501013821953,-38.53581566790958,-39.6449311962072,0.01877811957431517,73.62101950959901,,6.148867727707071,0.01815061800883815
CD,signed,zipf_alekseev,10,4,-51.79681834795896,-43.79681834795896,-35.79681834795896,-42.58647797598278,0.014826633805374285,792408.5103518275,,8.88786504765769,0.004614511215583991
CD,signed,exp_plus_exp,10,5,-51.82418481877036,-41.82418481877036,-26.824184818770362,-40.31125935380014,0.01479624323693609,inf,,17.86049857684629,5.196884812874522e-05
CD,signed,exp_plus_power,10,5,-51.82418481570312,-41.82418481570312,-26.82418481570312,-40.3112593507329,0.014796218233439405,8.493789862613688e+19,,17.860498579913532,5.1968848049044686e-05
CD,signed,constant,10,1,-19.549817492093794,-17.549817492093794,-17.049817492093794,-17.247232399099747,0.027431588293727334,1.0,,27.634865903522858,3.919820626749641e-07
RD,signed,linear,10,2,-70.23563190044024,-66.23563190044024,-64.52134618615453,-65.63046171445215,0.006779645814824552,127.34085737702293,,0.0,0.49556743974670336
RD,signed,power_law,10,3,-72.29799913049162,-66.29799913049162,-62.29799913049162,-65.39024385150948,0.005514605905702796,147921.05461490952,,2.223347055662913,0.1630456007869489
RD,signed,exponential,10,3,-72.2928778485907,-66.2928778485907,-62.292877848590706,-65.38512256960857,0.00552489816191999,8466.17583590833,,2.2284683375638252,0.16262863362421176
RD,signed,quadratic,10,3,-72.04688315594183,-66.04688315594183,-62.04688315594183,-65.13912787695969,0.005704420574005596,25098.767150137523,,2.4744630302127035,0.14380697282235025
RD,signed,log_cauchy,10,4,-72.31334977401207,-64.31334977401207,-56.31334977401207,-63.10300940203589,0.005506361440966792,6218308.225486803,,8.207996412142464,0.008180107095355901
RD,signed,broken_stick,10,4,-72.31034113509654,-64.31034113509654,-56.310341135096536,-63.100000763120356,0.005505810782792539,6188983.671704461,,8.211005051057995,0.008167810852143555
RD,signed,log_normal,10,4,-72.30965355092107,-64.30965355092107,-56.30965355092107,-63.09931317894489,0.0055092949671205664,5702630.971474869,,8.211692635233462,0.008165003306032209
RD,signed,zipf_alekseev,10,4,-72.30740842548158,-64.30740842548158,-56.30740842548158,-63.0970680535054,0.005510843436633149,2368341.57941957,,8.213937760672948,0.008155842720342244
RD,signed,constant,10,1,-56.09467093133386,-54.09467093133386,-53.59467093133386,-53.792085838339815,0.012374720537310301,1.0,,10.926675254820672,0.002100899994084286
RD,signed,exp_plus_exp,10,5,-72.31480264067612,-62.31480264067612,-47.31480264067612,-60.8018771757059,0.0055035236532231715,9.233027556202758e+16,,17.20654354547841,9.09388184049815e-05
RD,signed,exp_plus_power,10,5,-72.31065082088371,-62.31065082088371,-47.31065082088371,-60.797725355913485,0.005507272572749963,5.446817925128416e+16,,17.210695365270823,9.07502334223452e-05
