DistType,Condition,Distance,AtBoundary,NObservations,NParticipants,NItems,NTrajectories
CD,CD,1,0,1515,99,48,48
CD,CD,1,1,58,50,2,2
CD,CD,2,0,1351,99,43,43
CD,CD,2,1,164,91,5,5
CD,CD,3,0,1150,99,37,37
CD,CD,3,1,202,87,6,6
CD,CD,4,0,924,99,30,30
CD,CD,4,1,225,90,7,7
CD,CD,5,0,763,99,25,25
CD,CD,5,1,160,89,5,5
CD,CD,6,0,549,99,18,18
CD,CD,6,1,215,92,7,7
CD,CD,7,0,458,99,15,15
CD,CD,7,1,91,74,3,3
CD,CD,8,0,430,99,14,14
CD,CD,8,1,28,28,1,1
CD,CD,9,0,361,98,12,12
CD,CD,9,1,69,57,2,2
CD,CD,10,0,205,86,7,7
CD,CD,10,1,156,79,5,5
CD,Original,1,0,1496,99,48,48
CD,Original,1,1,63,58,2,2
CD,Original,2,0,1335,99,43,43
CD,Original,2,1,161,86,5,5
CD,Original,3,0,1136,99,37,37
CD,Original,3,1,199,88,6,6
CD,Original,4,0,928,99,30,30
CD,Original,4,1,208,92,7,7
CD,Original,5,0,765,99,25,25
CD,Original,5,1,163,85,5,5
CD,Original,6,0,535,99,18,18
CD,Original,6,1,230,96,7,7
CD,Original,7,0,437,99,15,15
CD,Original,7,1,97,71,3,3
CD,Original,8,0,402,99,14,14
CD,Original,8,1,35,35,1,1
CD,Original,9,0,347,98,12,12
CD,Original,9,1,55,41,2,2
CD,Original,10,0,226,92,7,7
CD,Original,10,1,121,71,5,5
RD,Original,1,0,1936,99,62,62
RD,Original,1,1,222,97,7,7
RD,Original,2,0,1771,99,57,57
RD,Original,2,1,166,80,5,5
RD,Original,3,0,1673,99,54,54
RD,Original,3,1,98,69,3,3
RD,Original,4,0,1601,99,52,52
RD,Original,4,1,72,62,2,2
RD,Original,5,0,1446,99,47,47
RD,Original,5,1,155,84,5,5
RD,Original,6,0,1353,99,44,44
RD,Original,6,1,93,69,3,3
RD,Original,7,0,1174,99,38,38
RD,Original,7,1,179,90,6,6
RD,Original,8,0,1152,99,37,37
RD,Original,8,1,21,21,1,1
RD,Original,9,0,1061,99,34,34
RD,Original,9,1,91,66,3,3
RD,Original,10,0,971,99,31,31
RD,Original,10,1,90,69,3,3
RD,RD,1,0,1921,99,62,62
RD,RD,1,1,230,97,7,7
RD,RD,2,0,1770,99,57,57
RD,RD,2,1,150,79,5,5
RD,RD,3,0,1692,99,54,54
RD,RD,3,1,77,60,3,3
RD,RD,4,0,1629,99,52,52
RD,RD,4,1,63,55,2,2
RD,RD,5,0,1483,99,47,47
RD,RD,5,1,149,83,5,5
RD,RD,6,0,1381,99,44,44
RD,RD,6,1,102,69,3,3
RD,RD,7,0,1208,99,38,38
RD,RD,7,1,172,90,6,6
RD,RD,8,0,1166,99,37,37
RD,RD,8,1,42,42,1,1
RD,RD,9,0,1082,99,34,34
RD,RD,9,1,84,65,3,3
RD,RD,10,0,990,99,31,31
RD,RD,10,1,92,74,3,3
