DistType,Distance,Position,Beta,SE,Z,P,CILow,CIHigh,PercentChange,EffectContext
CD,1,K+1,0.07006996073988517,0.009646157851823245,7.26402800122549,3.7573017669244713e-13,0.051163491350311605,0.08897643012945873,7.25832173448695,Non-boundary
CD,2,K+2,0.07718280666749375,0.009907275210207109,7.7905180819015785,6.6734988607264094e-15,0.05776454725548781,0.09660106607949968,8.023953333301126,Non-boundary
CD,3,K+3,0.04685408193781415,0.01054789175455716,4.442032875201918,8.911294053407244e-06,0.026180214098882118,0.06752794977674619,4.796908030496283,Non-boundary
CD,4,K+4,-0.0013437769440995118,0.011499303554222446,-0.11685724598565696,0.9069731787152223,-0.023882411910375507,0.021194858022176483,-0.13428744801436965,Non-boundary
CD,5,K+5,0.019303604260245834,0.012705193681437405,1.5193475002627364,0.1286750492618363,-0.00559857535537148,0.044205783875863144,1.9491123484459472,Non-boundary
CD,6,K+6,0.020720242726233566,0.014209273653307226,1.4582196973460992,0.14477999616967382,-0.007129933634248596,0.04857041908671573,2.0936397299254894,Non-boundary
CD,7,K+7,0.015514334765801982,0.0165235483296393,0.9389227093537149,0.3477704287079346,-0.016871819960291044,0.04790048949189501,1.5635306848226005,Non-boundary
CD,8,K+8,0.03317626456179731,0.01806053555203223,1.8369479944942277,0.06621757309845439,-0.0022223851201858685,0.06857491424378048,3.373273363093565,Non-boundary
CD,9,K+9,0.023011449502438504,0.018799737036310243,1.2240303924461104,0.2209407625628632,-0.013836035088729576,0.05985893409360658,2.327825550702811,Non-boundary
CD,10,K+10,0.0019319383549600555,0.02079791771693474,0.09289095097183558,0.9259901947426946,-0.038831980370232035,0.042695857080152146,0.19338057502342743,Non-boundary
RD,1,K+1,0.03967388670316531,0.007686455120106252,5.161532342703236,2.449365614953939e-07,0.024608434667757056,0.05473933873857356,4.047140729847132,Non-boundary
RD,2,K+2,0.029225986355388058,0.008085182109430315,3.6147591927830223,0.0003006269208166171,0.013379029420904642,0.04507294328987148,2.9657256675634347,Non-boundary
RD,3,K+3,0.02191459942392342,0.008404446186922479,2.607500712899211,0.009120588058911638,0.005441884897555364,0.03838731395029148,2.2156487989991813,Non-boundary
RD,4,K+4,0.014615285030372415,0.008614381411221323,1.6966145719220365,0.08976955303410739,-0.002268902535621377,0.03149947259636621,1.472261053547741,Non-boundary
RD,5,K+5,0.017623767282311097,0.008836316748247712,1.9944698435358805,0.04610073239256129,0.0003045864557455792,0.03494294810887662,1.777998221812327,Non-boundary
RD,6,K+6,0.002876305574086864,0.009250868489160345,0.3109227611934122,0.7558593405612616,-0.015255396664667412,0.02100800781284114,0.2880446109828183,Non-boundary
RD,7,K+7,0.018044261680971188,0.009647938094063573,1.8702712957988317,0.06144615348276513,-0.0008656969833934144,0.03695422034533579,1.8208042991985751,Non-boundary
RD,8,K+8,-0.001754173659283334,0.010234456386413446,-0.17139881133423493,0.863910189367422,-0.021813708176653686,0.018305360858087018,-0.17526359959106896,Non-boundary
RD,9,K+9,0.012387255067524784,0.01039853969996281,1.1912494854993039,0.2335556580702448,-0.007993882744402322,0.032768392879451894,1.2464294886902705,Non-boundary
RD,10,K+10,0.0016205798756156117,0.01081997899102257,0.14977661943338527,0.8809408562436056,-0.019586578946788627,0.02282773869801985,0.16218937248189125,Non-boundary
