Participant,Story,Story_Version,WordIndex,prev_index
P002,Story4,Original,68,65.0
P006,Story9,Original,5,2.0
P006,Story11,CD,4,2.0
P006,Story14,CD,59,57.0
P006,Story15,CD,25,23.0
P006,Story16,RD,5,3.0
P008,Story2,CD,14,12.0
P012,Story16,Original,21,19.0
P013,Story9,RD,72,70.0
P017,Story4,CD,7,4.0
P021,Story5,CD,48,46.0
P022,Story11,Original,29,27.0
P024,Story13,CD,5,3.0
P024,Story21,Original,9,7.0
P026,Story8,Original,45,42.0
P026,Story17,CD,40,38.0
P032,Story21,CD,18,15.0
P033,Story2,RD,32,29.0
P036,Story9,RD,76,74.0
P037,Story9,RD,90,87.0
P037,Story15,RD,14,12.0
P046,Story3,RD,41,39.0
P046,Story3,RD,100,97.0
P046,Story10,RD,36,33.0
P046,Story13,Original,63,60.0
P046,Story14,CD,33,30.0
P046,Story14,CD,98,96.0
P046,Story17,RD,19,17.0
P046,Story19,CD,74,72.0
P046,Story20,Original,54,52.0
P048,Story6,CD,11,9.0
P048,Story20,RD,11,9.0
P048,Story20,RD,38,36.0
P050,Story1,CD,20,16.0
P050,Story2,Original,42,40.0
P050,Story17,Original,22,18.0
P050,Story18,Original,54,51.0
P050,Story19,CD,42,40.0
P052,Story4,RD,29,27.0
P052,Story4,RD,43,40.0
P052,Story8,Original,46,44.0
P052,Story11,CD,3,1.0
P052,Story15,Original,37,35.0
P059,Story4,CD,32,30.0
P059,Story14,RD,90,88.0
P060,Story1,CD,12,10.0
P060,Story1,CD,48,46.0
P061,Story7,Original,4,2.0
P062,Story2,RD,55,51.0
P064,Story3,RD,59,57.0
P064,Story4,Original,6,4.0
P064,Story5,CD,9,7.0
P064,Story9,Original,33,30.0
P064,Story11,CD,11,9.0
P064,Story11,CD,16,14.0
P066,Story4,CD,55,53.0
P067,Story4,RD,75,73.0
P071,Story5,Original,11,9.0
P074,Story6,CD,13,11.0
P076,Story2,CD,32,30.0
P076,Story5,RD,5,3.0
P076,Story10,CD,18,16.0
P078,Story14,Original,77,75.0
P083,Story16,RD,50,48.0
P090,Story16,CD,59,57.0
P094,Story5,RD,58,56.0
P094,Story5,RD,66,63.0
P094,Story10,Original,75,71.0
P094,Story11,Original,14,12.0
P094,Story14,RD,97,94.0
P096,Story3,Original,59,57.0
P096,Story17,CD,19,17.0
P097,Story3,CD,48,45.0
P097,Story7,Original,76,72.0
P097,Story18,CD,60,58.0
