Participant,Story,Story_Version,Word,RT,Word_Condition,WordIndex,SentenceIndex,log_RT,N_Observations,RT_Replaced,StoryNumber,VersionOrder,FreqH,Length,prev_index,lag1_logRT,item_uid,resid_logRT,DistType,MapSentenceIndex,PerturbationID,AnchorDistWordIndex,Distance,AtBoundary,EndDistance,N_K_Spans,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,ItemID,Condition
P002,Story3,CD,for,265.3999998092677,K+1,47,3,5.581238121179447,1,False,3,1,6.6152870375779536,3,46.0,5.511006460536588,Story3_CD_w47,0.178128006279219,CD,3,CD_Story3_s3_k46,46,1,0,16,1,47,47,for,for,CD_Story3_s3_k46_d1_dw47_ow47,CD
P002,Story3,CD,one,265.5000000476794,K+2,48,3,5.581614840861577,1,False,3,1,8.405069330187608,3,47.0,5.581238121179447,Story3_CD_w48,0.14943014524987408,CD,3,CD_Story3_s3_k46,46,2,0,16,1,48,48,one,one,CD_Story3_s3_k46_d2_dw48_ow48,CD
P002,Story3,CD,"person,",245.0,K+3,49,3,5.5012582105447265,1,False,3,1,11.45989335493213,6,48.0,5.581614840861577,Story3_CD_w49,0.06891756010149308,CD,3,CD_Story3_s3_k46,46,3,0,16,1,49,49,"person,","person,",CD_Story3_s3_k46_d3_dw49_ow49,CD
P002,Story3,CD,and,289.6000001907414,CD,50,3,5.6685006611701985,1,False,3,1,5.282087830355572,3,49.0,5.5012582105447265,Story3_CD_w50,0.2694261376056959,CD,3,CD_Story3_s3_k46,46,4,0,16,1,50,50,and,and,CD_Story3_s3_k46_d4_dw50_ow50,CD
P002,Story3,CD,both,238.2000001430515,CD,51,3,5.473110657521752,1,False,3,1,10.662441890174756,4,50.0,5.6685006611701985,Story3_CD_w51,0.004800918890619066,CD,3,CD_Story3_s3_k46,46,5,0,16,1,51,51,both,both,CD_Story3_s3_k46_d5_dw51_ow51,CD
P002,Story3,CD,the,228.899999856947,CD,52,3,5.433285226333562,1,False,3,1,4.218934101564037,3,51.0,5.473110657521752,Story3_CD_w52,0.045863257965762294,CD,3,CD_Story3_s3_k46,46,6,0,16,1,52,52,the,the,CD_Story3_s3_k46_d6_dw52_ow52,CD
P002,Story3,CD,traveler,237.6000000476834,CD,53,3,5.4705885876891776,1,False,3,1,18.036265947990866,8,52.0,5.433285226333562,Story3_CD_w53,0.09965359546363839,CD,3,CD_Story3_s3_k46,46,7,0,16,1,53,53,traveler,traveler,CD_Story3_s3_k46_d7_dw53_ow53,CD
P002,Story3,CD,and,197.9000000953693,CD,54,3,5.2877618530904265,1,False,3,1,5.282087830355572,3,53.0,5.4705885876891776,Story3_CD_w54,-0.0986160260128468,CD,3,CD_Story3_s3_k46,46,8,0,16,1,54,54,and,and,CD_Story3_s3_k46_d8_dw54_ow54,CD
P002,Story3,CD,the,279.7999999523163,CD,55,3,5.63407506206096,1,False,3,1,4.218934101564037,3,54.0,5.2877618530904265,Story3_CD_w55,0.3233839971758137,CD,3,CD_Story3_s3_k46,46,9,0,16,1,55,55,the,the,CD_Story3_s3_k46_d9_dw55_ow55,CD
P002,Story3,CD,donkey's,228.400000047679,CD,56,3,5.4310984779906075,1,False,3,1,23.183107336320138,8,55.0,5.63407506206096,Story3_CD_w56,-0.022959712967001167,CD,3,CD_Story3_s3_k46,46,10,0,16,1,56,56,donkey's,donkey's,CD_Story3_s3_k46_d10_dw56_ow56,CD
P002,Story3,CD,speaking,643.9000001907298,K+1,76,4,6.467543434840348,1,False,3,1,13.586385122136509,8,75.0,6.0146926735766035,Story3_CD_w76,0.8559167432246948,CD,4,CD_Story3_s4_k75,75,1,0,10,1,76,76,speaking,speaking,CD_Story3_s4_k75_d1_dw76_ow76,CD
P002,Story3,CD,in,291.0000001430599,K+2,77,4,5.673323267663107,1,False,3,1,5.748553568441418,2,76.0,6.467543434840348,Story3_CD_w77,-0.12577508400012594,CD,4,CD_Story3_s4_k75,75,2,0,10,1,77,77,in,in,CD_Story3_s4_k75_d2_dw77_ow77,CD
P002,Story3,CD,a,233.2000000476837,K+3,78,4,5.451896454680813,1,False,3,1,5.448508591452505,1,77.0,5.673323267663107,Story3_CD_w78,-0.018409751931202756,CD,4,CD_Story3_s4_k75,75,3,0,10,1,78,78,a,a,CD_Story3_s4_k75_d3_dw78_ow78,CD
P002,Story3,CD,tone,273.1000000476743,CD,79,4,5.609838028654226,1,False,3,1,14.982033636307161,4,78.0,5.451896454680813,Story3_CD_w79,0.23119833949045887,CD,4,CD_Story3_s4_k75,75,4,0,10,1,79,79,tone,tone,CD_Story3_s4_k75_d4_dw79_ow79,CD
P002,Story3,CD,that,266.6000001907196,CD,80,4,5.585749408459986,1,False,3,1,6.6152870375779536,4,79.0,5.609838028654226,Story3_CD_w80,0.14172489145427392,CD,4,CD_Story3_s4_k75,75,5,0,10,1,80,80,that,that,CD_Story3_s4_k75_d5_dw80_ow80,CD
P002,Story3,CD,suggested,229.2000000000007,CD,81,4,5.4345949848405875,1,False,3,1,14.349614818475356,9,80.0,5.585749408459986,Story3_CD_w81,0.0005427015205770047,CD,4,CD_Story3_s4_k75,75,6,0,10,1,81,81,suggested,suggested,CD_Story3_s4_k75_d6_dw81_ow81,CD
P002,Story3,CD,he,208.1999999999898,CD,82,4,5.338499156180819,1,False,3,1,7.673002535434241,2,81.0,5.4345949848405875,Story3_CD_w82,-0.032978051323078184,CD,4,CD_Story3_s4_k75,75,7,0,10,1,82,82,he,he,CD_Story3_s4_k75_d7_dw82_ow82,CD
P002,Story3,CD,was,238.0000001430599,CD,83,4,5.472270674272567,1,False,3,1,7.24113401292912,3,82.0,5.338499156180819,Story3_CD_w83,0.14057532442133258,CD,4,CD_Story3_s4_k75,75,8,0,10,1,83,83,was,was,CD_Story3_s4_k75_d8_dw83_ow83,CD
P002,Story3,CD,entirely,228.6000001430511,CD,84,4,5.43197375198648,1,False,3,1,14.21732305165805,8,83.0,5.472270674272567,Story3_CD_w84,0.04489952081514037,CD,4,CD_Story3_s4_k75,75,9,0,10,1,84,84,entirely,entirely,CD_Story3_s4_k75_d9_dw84_ow84,CD
P002,Story3,CD,serious.,282.9000000953674,K_END,85,4,5.645093478644627,1,False,3,1,12.954288645824258,7,84.0,5.43197375198648,Story3_CD_w85,0.27470141202281617,CD,4,CD_Story3_s4_k75,75,10,1,10,1,85,85,serious.,serious.,CD_Story3_s4_k75_d10_dw85_ow85,CD
P002,Story3,CD,the,248.7000001907436,K+1,115,6,5.516247351576322,1,False,3,1,4.218934101564037,3,114.0,5.457881936422591,Story3_CD_w115,0.1351297860473153,CD,6,CD_Story3_s6_k114,114,1,0,7,1,115,115,the,the,CD_Story3_s6_k114_d1_dw115_ow115,CD
P002,Story3,CD,donkey,238.6000000476924,K+2,116,6,5.4747885098637,1,False,3,1,17.871521185654235,6,115.0,5.516247351576322,Story3_CD_w116,0.06950876508230408,CD,6,CD_Story3_s6_k114,114,2,0,7,1,116,116,donkey,donkey,CD_Story3_s6_k114_d2_dw116_ow116,CD
P002,Story3,CD,took,282.5999999046326,K+3,117,6,5.644032469912963,1,False,3,1,11.59171856643955,4,116.0,5.4747885098637,Story3_CD_w117,0.2559159023730597,CD,6,CD_Story3_s6_k114,114,3,0,7,1,117,117,took,took,CD_Story3_s6_k114_d3_dw117_ow117,CD
P002,Story3,CD,off,316.9000001907407,CD,118,6,5.75858626729877,1,False,3,1,10.19855324763821,3,117.0,5.644032469912963,Story3_CD_w118,0.30040589760268066,CD,6,CD_Story3_s6_k114,114,4,0,7,1,118,118,off,off,CD_Story3_s6_k114_d4_dw118_ow118,CD
