DistType,Story,MapSentenceIndex,PerturbationID,AnchorDistWordIndex,Distance,AtBoundary,EndDistance,N_K_Spans,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord
CD,Story1,1,CD_Story1_s1_k18,18,0,0,2,1,18,18,"mountain,","current,"
CD,Story1,1,CD_Story1_s1_k18,18,1,0,2,1,19,19,nearly,nearly
CD,Story1,1,CD_Story1_s1_k18,18,2,1,2,1,20,20,drowning.,drowning.
CD,Story1,2,CD_Story1_s2_k26,26,0,0,8,1,26,26,spoon,tree
CD,Story1,2,CD_Story1_s2_k26,26,1,0,8,1,27,27,hanging,hanging
CD,Story1,2,CD_Story1_s2_k26,26,2,0,8,1,28,28,over,over
CD,Story1,2,CD_Story1_s2_k26,26,3,0,8,1,29,29,the,the
CD,Story1,2,CD_Story1_s2_k26,26,4,0,8,1,30,30,"water,","water,"
CD,Story1,2,CD_Story1_s2_k26,26,5,0,8,1,31,31,noticed,noticed
CD,Story1,2,CD_Story1_s2_k26,26,6,0,8,1,32,32,the,the
CD,Story1,2,CD_Story1_s2_k26,26,7,0,8,1,33,33,ant's,ant's
CD,Story1,2,CD_Story1_s2_k26,26,8,1,8,1,34,34,struggle.,struggle.
CD,Story1,4,CD_Story1_s4_k53,53,0,0,6,1,53,53,drop,leaf
CD,Story1,4,CD_Story1_s4_k53,53,1,0,6,1,54,54,and,and
CD,Story1,4,CD_Story1_s4_k53,53,2,0,6,1,55,55,floated,floated
CD,Story1,4,CD_Story1_s4_k53,53,3,0,6,1,56,56,safely,safely
CD,Story1,4,CD_Story1_s4_k53,53,4,0,6,1,57,57,back,back
CD,Story1,4,CD_Story1_s4_k53,53,5,0,6,1,58,58,to,to
CD,Story1,4,CD_Story1_s4_k53,53,6,1,6,1,59,59,shore.,shore.
CD,Story2,2,CD_Story2_s2_k35,35,0,0,4,1,35,35,"fingers,","donkeys,"
CD,Story2,2,CD_Story2_s2_k35,35,1,0,4,1,36,36,so,so
CD,Story2,2,CD_Story2_s2_k35,35,2,0,4,1,37,37,it,it
CD,Story2,2,CD_Story2_s2_k35,35,3,0,4,1,38,38,could,could
CD,Story2,2,CD_Story2_s2_k35,35,4,1,4,1,39,39,rest.,rest.
CD,Story2,3,CD_Story2_s3_k46,46,0,0,10,1,46,46,pillow,group
CD,Story2,3,CD_Story2_s3_k46,46,1,0,10,1,47,47,and,and
CD,Story2,3,CD_Story2_s3_k46,46,2,0,10,1,48,48,joined,joined
CD,Story2,3,CD_Story2_s3_k46,46,3,0,10,1,49,49,the,the
CD,Story2,3,CD_Story2_s3_k46,46,4,0,10,1,50,50,laziest,laziest
CD,Story2,3,CD_Story2_s3_k46,46,5,0,10,1,51,51,and,and
CD,Story2,3,CD_Story2_s3_k46,46,6,0,10,1,52,52,greediest,greediest
CD,Story2,3,CD_Story2_s3_k46,46,7,0,10,1,53,53,one,one
CD,Story2,3,CD_Story2_s3_k46,46,8,0,10,1,54,54,of,of
CD,Story2,3,CD_Story2_s3_k46,46,9,0,10,1,55,55,them,them
CD,Story2,3,CD_Story2_s3_k46,46,10,1,10,1,56,56,all.,all.
CD,Story2,4,CD_Story2_s4_k63,63,0,0,10,1,63,63,lock,halter
CD,Story2,4,CD_Story2_s4_k63,63,1,0,10,1,64,64,on,on
CD,Story2,4,CD_Story2_s4_k63,63,2,0,10,1,65,65,the,the
CD,Story2,4,CD_Story2_s4_k63,63,3,0,10,1,66,66,donkey,donkey
CD,Story2,4,CD_Story2_s4_k63,63,4,0,10,1,67,67,and,and
CD,Story2,4,CD_Story2_s4_k63,63,5,0,10,1,68,68,took,took
CD,Story2,4,CD_Story2_s4_k63,63,6,0,10,1,69,69,it,it
CD,Story2,4,CD_Story2_s4_k63,63,7,0,10,1,70,70,back,back
CD,Story2,4,CD_Story2_s4_k63,63,8,0,10,1,71,71,to,to
CD,Story2,4,CD_Story2_s4_k63,63,9,0,10,1,72,72,its,its
CD,Story2,4,CD_Story2_s4_k63,63,10,1,10,1,73,73,owner.,owner.
CD,Story3,3,CD_Story3_s3_k46,46,0,0,16,1,46,46,light,space
CD,Story3,3,CD_Story3_s3_k46,46,1,0,16,1,47,47,for,for
CD,Story3,3,CD_Story3_s3_k46,46,2,0,16,1,48,48,one,one
CD,Story3,3,CD_Story3_s3_k46,46,3,0,16,1,49,49,"person,","person,"
CD,Story3,3,CD_Story3_s3_k46,46,4,0,16,1,50,50,and,and
CD,Story3,3,CD_Story3_s3_k46,46,5,0,16,1,51,51,both,both
CD,Story3,3,CD_Story3_s3_k46,46,6,0,16,1,52,52,the,the
CD,Story3,3,CD_Story3_s3_k46,46,7,0,16,1,53,53,traveler,traveler
CD,Story3,3,CD_Story3_s3_k46,46,8,0,16,1,54,54,and,and
CD,Story3,3,CD_Story3_s3_k46,46,9,0,16,1,55,55,the,the
CD,Story3,3,CD_Story3_s3_k46,46,10,0,16,1,56,56,donkey's,donkey's
CD,Story3,4,CD_Story3_s4_k75,75,0,0,10,1,75,75,"answer,","shadow,"
CD,Story3,4,CD_Story3_s4_k75,75,1,0,10,1,76,76,speaking,speaking
CD,Story3,4,CD_Story3_s4_k75,75,2,0,10,1,77,77,in,in
CD,Story3,4,CD_Story3_s4_k75,75,3,0,10,1,78,78,a,a
CD,Story3,4,CD_Story3_s4_k75,75,4,0,10,1,79,79,tone,tone
CD,Story3,4,CD_Story3_s4_k75,75,5,0,10,1,80,80,that,that
CD,Story3,4,CD_Story3_s4_k75,75,6,0,10,1,81,81,suggested,suggested
CD,Story3,4,CD_Story3_s4_k75,75,7,0,10,1,82,82,he,he
CD,Story3,4,CD_Story3_s4_k75,75,8,0,10,1,83,83,was,was
CD,Story3,4,CD_Story3_s4_k75,75,9,0,10,1,84,84,entirely,entirely
CD,Story3,4,CD_Story3_s4_k75,75,10,1,10,1,85,85,serious.,serious.
CD,Story3,6,CD_Story3_s6_k114,114,0,0,7,1,114,114,"rumors,","chaos,"
CD,Story3,6,CD_Story3_s6_k114,114,1,0,7,1,115,115,the,the
CD,Story3,6,CD_Story3_s6_k114,114,2,0,7,1,116,116,donkey,donkey
CD,Story3,6,CD_Story3_s6_k114,114,3,0,7,1,117,117,took,took
CD,Story3,6,CD_Story3_s6_k114,114,4,0,7,1,118,118,off,off
CD,Story3,6,CD_Story3_s6_k114,114,5,0,7,1,119,119,and,and
CD,Story3,6,CD_Story3_s6_k114,114,6,0,7,1,120,120,ran,ran
CD,Story3,6,CD_Story3_s6_k114,114,7,1,7,1,121,121,away.,away.
CD,Story4,2,CD_Story4_s2_k49,49,0,0,5,1,49,48,"jar,","battle,"
CD,Story4,2,CD_Story4_s2_k49,49,1,0,5,1,50,49,while,while
CD,Story4,2,CD_Story4_s2_k49,49,2,0,5,1,51,50,the,the
