DistType,Story,SentenceIndex,PerturbationID,N_K_Tokens,N_K_Spans,AnchorDistWordIndex,WordsAfterFinalK,MappedResponses,OriginalSentenceLength,DistortedSentenceLength,AlignmentMethod
CD,Story1,1,CD_Story1_s1_k18,1,1,18,2,3,20,20,position
CD,Story1,2,CD_Story1_s2_k26,1,1,26,8,9,14,14,position
CD,Story1,4,CD_Story1_s4_k53,1,1,53,6,7,12,12,position
CD,Story2,2,CD_Story2_s2_k35,1,1,35,4,5,19,19,position
CD,Story2,3,CD_Story2_s3_k46,1,1,46,10,11,17,17,position
CD,Story2,4,CD_Story2_s4_k63,1,1,63,10,11,17,17,position
CD,Story3,3,CD_Story3_s3_k46,1,1,46,16,11,23,23,position
CD,Story3,4,CD_Story3_s4_k75,1,1,75,10,11,23,23,position
CD,Story3,6,CD_Story3_s6_k114,1,1,114,7,8,19,19,position
CD,Story4,2,CD_Story4_s2_k49,2,1,49,5,6,27,28,sequence
CD,Story4,3,CD_Story4_s3_k65,1,1,65,1,2,12,12,position
CD,Story5,3,CD_Story5_s3_k43,2,1,43,13,11,20,21,sequence
CD,Story5,4,CD_Story5_s4_k67,1,1,67,5,6,16,16,position
CD,Story6,2,CD_Story6_s2_k23,2,2,23,7,8,18,18,position
CD,Story6,3,CD_Story6_s3_k61,1,1,61,4,5,35,35,position
CD,Story7,2,CD_Story7_s2_k24,1,1,24,6,7,17,17,position
CD,Story7,3,CD_Story7_s3_k42,1,1,42,29,11,41,41,position
CD,Story7,4,CD_Story7_s4_k81,1,1,81,14,11,24,24,position
CD,Story8,2,CD_Story8_s2_k23,1,1,23,2,3,12,12,position
CD,Story8,3,CD_Story8_s3_k62,1,1,62,1,2,38,38,position
CD,Story8,6,CD_Story8_s6_k95,1,1,95,19,11,23,23,position
CD,Story9,2,CD_Story9_s2_k25,1,1,25,5,6,17,17,position
CD,Story9,5,CD_Story9_s5_k52,1,1,52,14,11,17,17,position
CD,Story9,8,CD_Story9_s8_k116,1,1,116,3,4,23,23,position
CD,Story10,3,CD_Story10_s3_k65,2,2,65,4,5,36,36,position
CD,Story10,5,CD_Story10_s5_k94,1,1,94,9,10,20,20,position
CD,Story11,2,CD_Story11_s2_k22,1,1,22,2,3,14,14,position
CD,Story11,4,CD_Story11_s4_k64,1,1,64,3,4,22,22,position
CD,Story11,7,CD_Story11_s7_k100,1,1,100,5,6,15,15,position
CD,Story12,2,CD_Story12_s2_k33,1,1,33,2,3,24,24,position
CD,Story12,3,CD_Story12_s3_k48,1,1,48,6,7,19,19,position
CD,Story13,2,CD_Story13_s2_k50,2,2,50,6,7,39,39,position
CD,Story13,4,CD_Story13_s4_k73,1,1,73,22,11,29,29,position
CD,Story14,2,CD_Story14_s2_k54,2,2,54,3,4,31,31,position
