DistType,Model,Bootstrap,Metric,Estimate
CD,log_normal,1,Baseline,-0.0009502153482899428
CD,log_normal,1,Amplitude,0.10081596119502101
CD,log_normal,1,PeakDistance,1.4132465010088842
CD,log_normal,1,PeakEffect,0.09986574584673107
CD,log_normal,1,HalfMaximumLow,0.8016429866147352
CD,log_normal,1,HalfMaximumHigh,2.4914652856231223
CD,log_normal,1,EffectAtKPlus1,0.07694235798891554
CD,log_normal,1,EffectAtKPlus10,-0.0009240162371560168
CD,log_normal,1,LocalComponentAtKPlus10,2.6199111133926034e-05
CD,log_normal,2,Baseline,0.011455139329563865
CD,log_normal,2,Amplitude,0.07952339003026374
CD,log_normal,2,PeakDistance,1.409382474562966
CD,log_normal,2,PeakEffect,0.0909785293598276
CD,log_normal,2,HalfMaximumLow,0.8518883727284587
CD,log_normal,2,HalfMaximumHigh,2.331712725745096
CD,log_normal,2,EffectAtKPlus1,0.0690844589234995
CD,log_normal,2,EffectAtKPlus10,0.011457330072126877
CD,log_normal,2,LocalComponentAtKPlus10,2.190742563011952e-06
CD,log_normal,3,Baseline,0.008833912057518585
CD,log_normal,3,Amplitude,0.08183076583726806
CD,log_normal,3,PeakDistance,1.498327769046184
CD,log_normal,3,PeakEffect,0.09066467789478665
CD,log_normal,3,HalfMaximumLow,0.8677275381412363
CD,log_normal,3,HalfMaximumHigh,2.587201632788918
CD,log_normal,3,EffectAtKPlus1,0.0648041446012293
CD,log_normal,3,EffectAtKPlus10,0.008852853959828592
CD,log_normal,3,LocalComponentAtKPlus10,1.894190231000771e-05
CD,log_normal,4,Baseline,0.01646613865231069
CD,log_normal,4,Amplitude,0.09024763810926804
CD,log_normal,4,PeakDistance,1.5259047908557897
CD,log_normal,4,PeakEffect,0.10671377676157873
CD,log_normal,4,HalfMaximumLow,0.9813445292217998
CD,log_normal,4,HalfMaximumHigh,2.3726483018181668
CD,log_normal,4,EffectAtKPlus1,0.06427879262110577
CD,log_normal,4,EffectAtKPlus10,0.01646645130951762
CD,log_normal,4,LocalComponentAtKPlus10,3.1265720693007815e-07
CD,log_normal,5,Baseline,0.015406203503569653
CD,log_normal,5,Amplitude,0.07531706811526812
CD,log_normal,5,PeakDistance,1.449789102727579
CD,log_normal,5,PeakEffect,0.09072327161883777
CD,log_normal,5,HalfMaximumLow,0.8609093883537235
CD,log_normal,5,HalfMaximumHigh,2.441474643930856
CD,log_normal,5,EffectAtKPlus1,0.06837405938671597
CD,log_normal,5,EffectAtKPlus10,0.0154117481956276
CD,log_normal,5,LocalComponentAtKPlus10,5.544692057947095e-06
CD,log_normal,6,Baseline,0.016610546553771487
CD,log_normal,6,Amplitude,0.08534246330047926
CD,log_normal,6,PeakDistance,1.6219459874730093
CD,log_normal,6,PeakEffect,0.10195300985425075
CD,log_normal,6,HalfMaximumLow,0.9864761103991777
CD,log_normal,6,HalfMaximumHigh,2.666773942670825
CD,log_normal,6,EffectAtKPlus1,0.06090974482967515
CD,log_normal,6,EffectAtKPlus10,0.016618543017106437
CD,log_normal,6,LocalComponentAtKPlus10,7.996463334949966e-06
CD,log_normal,7,Baseline,0.0222270297057978
CD,log_normal,7,Amplitude,0.06681992465905078
CD,log_normal,7,PeakDistance,1.41044136871495
CD,log_normal,7,PeakEffect,0.08904695436484858
CD,log_normal,7,HalfMaximumLow,0.841731433535683
CD,log_normal,7,HalfMaximumHigh,2.363396179974272
CD,log_normal,7,EffectAtKPlus1,0.07135090071388232
CD,log_normal,7,EffectAtKPlus10,0.022230125172241832
CD,log_normal,7,LocalComponentAtKPlus10,3.0954664440308033e-06
CD,log_normal,8,Baseline,0.01948329781206072
CD,log_normal,8,Amplitude,0.07047450480664924
CD,log_normal,8,PeakDistance,1.4289688245814642
CD,log_normal,8,PeakEffect,0.08995780261870996
CD,log_normal,8,HalfMaximumLow,0.8174388714838459
CD,log_normal,8,HalfMaximumHigh,2.497987278142405
CD,log_normal,8,EffectAtKPlus1,0.072581527803709
CD,log_normal,8,EffectAtKPlus10,0.019498971025613883
CD,log_normal,8,LocalComponentAtKPlus10,1.5673213553162035e-05
CD,log_normal,9,Baseline,0.012142410195257103
CD,log_normal,9,Amplitude,0.07573542849370213
CD,log_normal,9,PeakDistance,1.497896270872191
CD,log_normal,9,PeakEffect,0.08787783868895924
CD,log_normal,9,HalfMaximumLow,0.8551242056449869
CD,log_normal,9,HalfMaximumHigh,2.623821455972569
CD,log_normal,9,EffectAtKPlus1,0.06497429561460209
CD,log_normal,9,EffectAtKPlus10,0.01216910441901
CD,log_normal,9,LocalComponentAtKPlus10,2.6694223752897137e-05
CD,log_normal,10,Baseline,0.008531450256371585
CD,log_normal,10,Amplitude,0.08718089818054148
CD,log_normal,10,PeakDistance,1.378172462758396
CD,log_normal,10,PeakEffect,0.09571234843691306
CD,log_normal,10,HalfMaximumLow,0.7910187762100629
CD,log_normal,10,HalfMaximumHigh,2.401155818583437
CD,log_normal,10,EffectAtKPlus1,0.07770521169937764
CD,log_normal,10,EffectAtKPlus10,0.008544174455445001
CD,log_normal,10,LocalComponentAtKPlus10,1.2724199073416154e-05
CD,log_normal,11,Baseline,0.08705379442033262
CD,log_normal,11,Amplitude,-0.0784744187422377
CD,log_normal,11,PeakDistance,5.43404908303566
CD,log_normal,11,PeakEffect,0.008579375678094914
CD,log_normal,11,HalfMaximumLow,2.7167900834733434
CD,log_normal,11,HalfMaximumHigh,10.869036079183859
CD,log_normal,11,EffectAtKPlus1,0.0857949182596052
CD,log_normal,11,EffectAtKPlus10,0.04116346079560952
CD,log_normal,11,LocalComponentAtKPlus10,-0.0458903336247231
CD,log_normal,12,Baseline,0.01921342027495543
CD,log_normal,12,Amplitude,0.06355980783879824
CD,log_normal,12,PeakDistance,1.3563872129219872
CD,log_normal,12,PeakEffect,0.08277322811375366
CD,log_normal,12,HalfMaximumLow,0.7780549138850487
CD,log_normal,12,HalfMaximumHigh,2.3645969436677703
CD,log_normal,12,EffectAtKPlus1,0.0708111052699441
CD,log_normal,12,EffectAtKPlus10,0.01922161907041864
CD,log_normal,12,LocalComponentAtKPlus10,8.198795463210118e-06
CD,log_normal,13,Baseline,0.015700990268179907
CD,log_normal,13,Amplitude,0.10664689825478654
CD,log_normal,13,PeakDistance,1.424459122876177
CD,log_normal,13,PeakEffect,0.12234788852296645
CD,log_normal,13,HalfMaximumLow,0.9482562557583528
CD,log_normal,13,HalfMaximumHigh,2.1398053326022506
CD,log_normal,13,EffectAtKPlus1,0.07885418089573058
CD,log_normal,13,EffectAtKPlus10,0.015701003563066404
CD,log_normal,13,LocalComponentAtKPlus10,1.3294886497261516e-08
CD,log_normal,14,Baseline,0.005475182316449238
CD,log_normal,14,Amplitude,0.06368190509797407
CD,log_normal,14,PeakDistance,1.7101969925054346
CD,log_normal,14,PeakEffect,0.06915708741442331
CD,log_normal,14,HalfMaximumLow,0.9870902851435743
CD,log_normal,14,HalfMaximumHigh,2.963025568374649
CD,log_normal,14,EffectAtKPlus1,0.03836426577576886
CD,log_normal,14,EffectAtKPlus10,0.0055248421720594625
CD,log_normal,14,LocalComponentAtKPlus10,4.965985561022467e-05
CD,log_normal,15,Baseline,0.013807828694566383
CD,log_normal,15,Amplitude,0.07043819019383965
CD,log_normal,15,PeakDistance,1.43373945291348
CD,log_normal,15,PeakEffect,0.08424601888840604
CD,log_normal,15,HalfMaximumLow,0.8106714091499566
CD,log_normal,15,HalfMaximumHigh,2.5356868339492675
CD,log_normal,15,EffectAtKPlus1,0.06721679186228632
CD,log_normal,15,EffectAtKPlus10,0.013830456042083182
CD,log_normal,15,LocalComponentAtKPlus10,2.2627347516799082e-05
CD,log_normal,16,Baseline,0.021073433681640778
CD,log_normal,16,Amplitude,0.08323265261930787
CD,log_normal,16,PeakDistance,1.4402667904104232
CD,log_normal,16,PeakEffect,0.10430608630094865
CD,log_normal,16,HalfMaximumLow,0.8346705387149603
CD,log_normal,16,HalfMaximumHigh,2.485254158787959
CD,log_normal,16,EffectAtKPlus1,0.08212115778207263
CD,log_normal,16,EffectAtKPlus10,0.021086688814614032
CD,log_normal,16,LocalComponentAtKPlus10,1.3255132973254147e-05
CD,log_normal,17,Baseline,0.012372263137689079
CD,log_normal,17,Amplitude,0.08779577123527998
CD,log_normal,17,PeakDistance,1.4834129645815857
CD,log_normal,17,PeakEffect,0.10016803437296906
CD,log_normal,17,HalfMaximumLow,0.8943467565131218
CD,log_normal,17,HalfMaximumHigh,2.460470737399541
CD,log_normal,17,EffectAtKPlus1,0.07000144711092438
CD,log_normal,17,EffectAtKPlus10,0.012376858358371918
CD,log_normal,17,LocalComponentAtKPlus10,4.595220682839657e-06
CD,log_normal,18,Baseline,0.07068684316705734
CD,log_normal,18,Amplitude,-0.07048522736380823
CD,log_normal,18,PeakDistance,4.801480168936859
CD,log_normal,18,PeakEffect,0.00020161580324910833
CD,log_normal,18,HalfMaximumLow,3.0532606987410036
CD,log_normal,18,HalfMaximumHigh,7.550685672599204
CD,log_normal,18,EffectAtKPlus1,0.07066975792621652
CD,log_normal,18,EffectAtKPlus10,0.059271046609587964
CD,log_normal,18,LocalComponentAtKPlus10,-0.011415796557469375
CD,log_normal,19,Baseline,0.015528841051359843
CD,log_normal,19,Amplitude,0.09862074066940477
CD,log_normal,19,PeakDistance,1.569725344869878
CD,log_normal,19,PeakEffect,0.11414958172076461
