DistType,Story,MapSentenceIndex,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,Offset
CD,Story1,1,K-3,15,15,by,by,-3
CD,Story1,1,K-2,16,16,the,the,-2
CD,Story1,1,K-1,17,17,rushing,rushing,-1
CD,Story1,1,K,18,18,"mountain,","current,",0
CD,Story1,1,K+1,19,19,nearly,nearly,1
CD,Story1,1,K+2,20,20,drowning.,drowning.,2
CD,Story1,1,K_END,20,20,drowning.,drowning.,4
CD,Story1,2,K-3,23,23,perched,perched,-3
CD,Story1,2,K-2,24,24,on,on,-2
CD,Story1,2,K-1,25,25,a,a,-1
CD,Story1,2,K,26,26,spoon,tree,0
CD,Story1,2,K+1,27,27,hanging,hanging,1
CD,Story1,2,K+2,28,28,over,over,2
CD,Story1,2,K+3,29,29,the,the,3
CD,Story1,2,K_END,34,34,struggle.,struggle.,4
CD,Story1,4,K-3,50,50,climbed,climbed,-3
CD,Story1,4,K-2,51,51,onto,onto,-2
CD,Story1,4,K-1,52,52,the,the,-1
CD,Story1,4,K,53,53,drop,leaf,0
CD,Story1,4,K+1,54,54,and,and,1
CD,Story1,4,K+2,55,55,floated,floated,2
CD,Story1,4,K+3,56,56,safely,safely,3
CD,Story1,4,K_END,59,59,shore.,shore.,4
CD,Story10,3,K-3,50,50,to,to,-3
CD,Story10,3,K-3,62,62,displeased,displeased,-3
CD,Story10,3,K-2,51,51,take,take,-2
CD,Story10,3,K-2,63,63,by,by,-2
CD,Story10,3,K-1,52,52,my,my,-1
CD,Story10,3,K-1,64,64,the,the,-1
CD,Story10,3,K,53,53,"word,","honey,",0
CD,Story10,3,K,65,65,compliment,request,0
CD,Story10,3,K+1,54,54,and,and,1
CD,Story10,3,K+1,66,66,but,but,1
CD,Story10,3,K+2,55,55,protect,protect,2
CD,Story10,3,K+2,67,67,honored,honored,2
CD,Story10,3,K+3,56,56,my,my,3
CD,Story10,3,K+3,68,68,his,his,3
CD,Story10,3,K_END,69,69,promise.,promise.,4
CD,Story10,5,K-3,91,91,remain,remain,-3
CD,Story10,5,K-2,92,92,in,in,-2
CD,Story10,5,K-1,93,93,the,the,-1
CD,Story10,5,K,94,94,city,wound,0
CD,Story10,5,K+1,95,95,you,you,1
CD,Story10,5,K+2,96,96,"inflict,","inflict,",2
CD,Story10,5,K+3,97,97,and,and,3
CD,Story10,5,K_END,103,103,it.”,it.”,4
CD,Story11,2,K-3,19,19,be,be,-3
CD,Story11,2,K-2,20,20,plenty,plenty,-2
CD,Story11,2,K-1,21,21,of,of,-1
CD,Story11,2,K,22,22,dreams,food,0
CD,Story11,2,K+1,23,23,left,left,1
CD,Story11,2,K+2,24,24,over.,over.,2
CD,Story11,2,K_END,24,24,over.,over.,4
CD,Story11,4,K-3,61,61,out,out,-3
CD,Story11,4,K-2,62,62,of,of,-2
CD,Story11,4,K-1,63,63,the,the,-1
CD,Story11,4,K,64,64,"wall,","window,",0
CD,Story11,4,K+1,65,65,with,with,1
CD,Story11,4,K+2,66,66,no,no,2
CD,Story11,4,K+3,67,67,hesitation.,hesitation.,3
CD,Story11,4,K_END,67,67,hesitation.,hesitation.,4
CD,Story11,7,K-3,97,97,drank,drank,-3
CD,Story11,7,K-2,98,98,so,so,-2
CD,Story11,7,K-1,99,99,much,much,-1
CD,Story11,7,K,100,100,light,wine,0
CD,Story11,7,K+1,101,101,that,that,1
CD,Story11,7,K+2,102,102,I,I,2
CD,Story11,7,K+3,103,103,don’t,don’t,3
CD,Story11,7,K_END,105,105,anything.,anything.,4
CD,Story12,2,K-3,30,30,neck,neck,-3
CD,Story12,2,K-2,31,31,of,of,-2
CD,Story12,2,K-1,32,32,the,the,-1
CD,Story12,2,K,33,33,curtain,jar,0
CD,Story12,2,K+1,34,34,trapped,trapped,1
CD,Story12,2,K+2,35,35,him.,him.,2
CD,Story12,2,K_END,35,35,him.,him.,4
CD,Story12,3,K-3,45,45,to,to,-3
CD,Story12,3,K-2,46,46,free,free,-2
CD,Story12,3,K-1,47,47,his,his,-1
CD,Story12,3,K,48,48,"paw,","hand,",0
CD,Story12,3,K+1,49,49,he,he,1
CD,Story12,3,K+2,50,50,started,started,2
CD,Story12,3,K+3,51,51,to,to,3
CD,Story12,3,K_END,54,54,frustration.,frustration.,4
CD,Story13,2,K-3,23,23,bring,bring,-3
CD,Story13,2,K-3,47,47,couldn’t,couldn’t,-3
CD,Story13,2,K-2,24,24,in,in,-2
CD,Story13,2,K-2,48,48,break,break,-2
CD,Story13,2,K-1,25,25,a,a,-1
CD,Story13,2,K-1,49,49,the,the,-1
CD,Story13,2,K,26,26,liter,bundle,0
CD,Story13,2,K,50,50,"truth,","bundle,",0
CD,Story13,2,K+1,27,27,of,of,1
CD,Story13,2,K+1,51,51,no,no,1
CD,Story13,2,K+2,28,28,sticks,sticks,2
CD,Story13,2,K+2,52,52,matter,matter,2
CD,Story13,2,K+3,29,29,and,and,3
CD,Story13,2,K+3,53,53,how,how,3
CD,Story13,2,K_END,56,56,tried.,tried.,4
CD,Story13,4,K-3,70,70,"said,","said,",-3
CD,Story13,4,K-2,71,71,"""Untie","""Untie",-2
CD,Story13,4,K-1,72,72,the,the,-1
CD,Story13,4,K,73,73,wind,bundle,0
CD,Story13,4,K+1,74,74,and,and,1
CD,Story13,4,K+2,75,75,take,take,2
CD,Story13,4,K+3,76,76,a,a,3
CD,Story13,4,K_END,95,95,easily.,easily.,4
CD,Story14,2,K-3,33,33,hung,hung,-3
CD,Story14,2,K-3,51,51,only,only,-3
CD,Story14,2,K-2,34,34,from,from,-2
CD,Story14,2,K-2,52,52,sang,sang,-2
CD,Story14,2,K-1,35,35,the,the,-1
CD,Story14,2,K-1,53,53,at,at,-1
CD,Story14,2,K,36,36,teeth,bars,0
CD,Story14,2,K,54,54,"work,","night,",0
CD,Story14,2,K+1,37,37,of,of,1
CD,Story14,2,K+1,55,55,with,with,1
CD,Story14,2,K+2,38,38,the,the,2
CD,Story14,2,K+2,56,56,genuine,genuine,2
CD,Story14,2,K+3,39,39,"cage,","cage,",3
CD,Story14,2,K+3,57,57,curiosity.,curiosity.,3
CD,Story14,2,K_END,57,57,curiosity.,curiosity.,4
CD,Story14,4,K-3,76,76,"me,","me,",-3
CD,Story14,4,K-2,77,77,set,set,-2
CD,Story14,4,K-1,78,78,his,his,-1
CD,Story14,4,K,79,79,"eggs,","nets,",0
CD,Story14,4,K+1,80,80,and,and,1
CD,Story14,4,K+2,81,81,caught,caught,2
CD,Story14,4,K+3,82,82,me.,me.,3
CD,Story14,4,K_END,82,82,me.,me.,4
CD,Story15,1,K-3,11,11,by,by,-3
CD,Story15,1,K-2,12,12,its,its,-2
CD,Story15,1,K-1,13,13,massive,massive,-1
CD,Story15,1,K,14,14,success,size,0
CD,Story15,1,K+1,15,15,that,that,1
CD,Story15,1,K+2,16,16,they,they,2
CD,Story15,1,K+3,17,17,ran,ran,3
CD,Story15,1,K_END,18,18,away.,away.,4
CD,Story15,2,K-3,26,26,calm,calm,-3
CD,Story15,2,K-2,27,27,and,and,-2
CD,Story15,2,K-1,28,28,gentle,gentle,-1
CD,Story15,2,K,29,29,"shadow,","nature,",0
CD,Story15,2,K+1,30,30,they,they,1
CD,Story15,2,K+2,31,31,gained,gained,2
CD,Story15,2,K+3,32,32,enough,enough,3
CD,Story15,2,K_END,36,36,it.,it.,4
CD,Story16,2,K-3,31,31,small,small,-3
CD,Story16,2,K-2,32,32,amount,amount,-2
CD,Story16,2,K-1,33,33,of,of,-1
CD,Story16,2,K,34,34,"emotions,","water,",0
CD,Story16,2,K+1,35,35,which,which,1
CD,Story16,2,K+2,36,36,he,he,2
CD,Story16,2,K+3,37,37,couldn’t,couldn’t,3
CD,Story16,2,K_END,38,38,reach.,reach.,4
CD,Story16,4,K-3,76,76,pitcher,pitcher,-3
CD,Story16,4,K-2,77,77,with,with,-2
CD,Story16,4,K-1,78,78,his,his,-1
CD,Story16,4,K,79,79,"lips,","beak,",0
CD,Story16,4,K+1,80,80,raising,raising,1
CD,Story16,4,K+2,81,81,the,the,2
CD,Story16,4,K+3,82,82,water,water,3
CD,Story16,4,K_END,89,89,life.,life.,4
CD,Story17,2,K-3,33,33,keeping,keeping,-3
CD,Story17,2,K-2,34,34,them,them,-2
CD,Story17,2,K-1,35,35,from,from,-1
CD,Story17,2,K,36,36,"blinking,","sleeping,",0
CD,Story17,2,K+1,37,37,with,with,1
CD,Story17,2,K+2,38,38,feigned,feigned,2
CD,Story17,2,K+3,39,39,indignation.,indignation.,3
CD,Story17,2,K_END,39,39,indignation.,indignation.,4
CD,Story17,3,K-3,55,55,time,time,-3
CD,Story17,3,K-2,56,56,for,for,-2
CD,Story17,3,K-1,57,57,their,their,-1
CD,Story17,3,K,58,58,"past,","work,",0
CD,Story17,3,K+1,59,59,with,with,1
CD,Story17,3,K+2,60,60,a,a,2
CD,Story17,3,K+3,61,61,tone,tone,3
CD,Story17,3,K_END,64,64,pride.,pride.,4
CD,Story18,3,K-3,30,30,hid,hid,-3
CD,Story18,3,K-2,31,31,in,in,-2
CD,Story18,3,K-1,32,32,their,their,-1
CD,Story18,3,K,33,33,mirrors,holes,0
CD,Story18,3,K+1,34,34,and,and,1
CD,Story18,3,K+2,35,35,refused,refused,2
CD,Story18,3,K+3,36,36,to,to,3
CD,Story18,3,K_END,38,38,out.,out.,4
CD,Story18,5,K-3,55,55,climbed,climbed,-3
CD,Story18,5,K-2,56,56,onto,onto,-2
CD,Story18,5,K-1,57,57,a,a,-1
CD,Story18,5,K,58,58,"thought,","peg,",0
CD,Story18,5,K+1,59,59,hung,hung,1
CD,Story18,5,K+2,60,60,herself,herself,2
CD,Story18,5,K+3,61,61,from,from,3
CD,Story18,5,K_END,67,67,dead.,dead.,4
CD,Story18,6,K-3,86,86,a,a,-3
CD,Story18,6,K-2,87,87,sack,sack,-2
CD,Story18,6,K-1,88,88,of,of,-1
CD,Story18,6,K,89,89,"air,","grain,",0
CD,Story18,6,K+1,90,90,we,we,1
CD,Story18,6,K+2,91,91,still,still,2
CD,Story18,6,K+3,92,92,wouldn’t,wouldn’t,3
CD,Story18,6,K_END,95,95,you.”,you.”,4
CD,Story19,1,K-3,20,20,to,to,-3
CD,Story19,1,K-2,21,21,fight,fight,-2
CD,Story19,1,K-1,22,22,in,in,-1
CD,Story19,1,K,23,23,"peace,","battle,",0
CD,Story19,1,K+1,24,24,with,with,1
CD,Story19,1,K+2,25,25,a,a,2
CD,Story19,1,K+3,26,26,heavy,heavy,3
CD,Story19,1,K_END,27,27,heart.,heart.,4
CD,Story19,2,K-3,32,32,forced,forced,-3
CD,Story19,2,K-3,65,65,armor,armor,-3
CD,Story19,2,K-2,33,33,to,to,-2
CD,Story19,2,K-2,66,66,and,and,-2
CD,Story19,2,K-1,34,34,grind,grind,-1
CD,Story19,2,K-1,67,67,a,a,-1
CD,Story19,2,K,35,35,clouds,grain,0
CD,Story19,2,K,68,68,bridge,groom,0
CD,Story19,2,K+1,36,36,instead,instead,1
CD,Story19,2,K+1,69,69,to,to,1
CD,Story19,2,K+2,37,37,of,of,2
CD,Story19,2,K+2,70,70,care,care,2
CD,Story19,2,K+3,38,38,serving,serving,3
CD,Story19,2,K+3,71,71,for,for,3
CD,Story19,2,K_END,72,72,me.,me.,4
CD,Story2,2,K-3,32,32,with,with,-3
CD,Story2,2,K-2,33,33,his,his,-2
CD,Story2,2,K-1,34,34,other,other,-1
CD,Story2,2,K,35,35,"fingers,","donkeys,",0
CD,Story2,2,K+1,36,36,so,so,1
CD,Story2,2,K+2,37,37,it,it,2
CD,Story2,2,K+3,38,38,could,could,3
CD,Story2,2,K_END,39,39,rest.,rest.,4
CD,Story2,3,K-3,43,43,donkey,donkey,-3
CD,Story2,3,K-2,44,44,left,left,-2
CD,Story2,3,K-1,45,45,the,the,-1
CD,Story2,3,K,46,46,pillow,group,0
CD,Story2,3,K+1,47,47,and,and,1
CD,Story2,3,K+2,48,48,joined,joined,2
CD,Story2,3,K+3,49,49,the,the,3
CD,Story2,3,K_END,56,56,all.,all.,4
CD,Story2,4,K-3,60,60,man,man,-3
CD,Story2,4,K-2,61,61,put,put,-2
CD,Story2,4,K-1,62,62,a,a,-1
CD,Story2,4,K,63,63,lock,halter,0
CD,Story2,4,K+1,64,64,on,on,1
CD,Story2,4,K+2,65,65,the,the,2
CD,Story2,4,K+3,66,66,donkey,donkey,3
CD,Story2,4,K_END,73,73,owner.,owner.,4
CD,Story20,3,K-3,32,32,from,from,-3
CD,Story20,3,K-2,33,33,beneath,beneath,-2
CD,Story20,3,K-1,34,34,the,the,-1
CD,Story20,3,K,35,35,"sky,","straw,",0
CD,Story20,3,K+1,36,36,with,with,1
CD,Story20,3,K+2,37,37,great,great,2
CD,Story20,3,K+3,38,38,excitement.,excitement.,3
CD,Story20,3,K_END,38,38,excitement.,excitement.,4
CD,Story20,5,K-3,74,74,single,single,-3
CD,Story20,5,K-2,75,75,grain,grain,-2
CD,Story20,5,K-1,76,76,of,of,-1
CD,Story20,5,K,77,77,time,barley,0
CD,Story20,5,K+1,78,78,than,than,1
CD,Story20,5,K+2,79,79,a,a,2
CD,Story20,5,K+3,80,80,whole,whole,3
CD,Story20,5,K_END,83,83,"pearls.""","pearls.""",4
CD,Story21,2,K-3,27,27,shot,shot,-3
CD,Story21,2,K-2,28,28,him,him,-2
CD,Story21,2,K-1,29,29,with,with,-1
CD,Story21,2,K,30,30,a,an,0
CD,Story21,2,K,31,31,"blanket,","arrow,",0
CD,Story21,2,K+1,32,32,without,without,1
CD,Story21,2,K+2,33,33,mercy.,mercy.,2
CD,Story21,2,K_END,33,33,mercy.,mercy.,4
CD,Story21,3,K-3,44,44,that,that,-3
CD,Story21,3,K-2,45,45,struck,struck,-2
CD,Story21,3,K-1,46,46,his,his,-1
CD,Story21,3,K,47,47,reflection,heart,0
CD,Story21,3,K+1,48,48,and,and,1
CD,Story21,3,K+2,49,49,noticed,noticed,2
CD,Story21,3,K+3,50,50,that,that,3
CD,Story21,3,K_END,57,57,wings.,wings.,4
CD,Story3,3,K-3,43,43,only,only,-3
CD,Story3,3,K-2,44,44,provided,provided,-2
CD,Story3,3,K-1,45,45,enough,enough,-1
CD,Story3,3,K,46,46,light,space,0
CD,Story3,3,K+1,47,47,for,for,1
CD,Story3,3,K+2,48,48,one,one,2
CD,Story3,3,K+3,49,49,"person,","person,",3
CD,Story3,3,K_END,62,62,it.,it.,4
CD,Story3,4,K-3,72,72,"donkey,","donkey,",-3
CD,Story3,4,K-2,73,73,not,not,-2
CD,Story3,4,K-1,74,74,its,its,-1
CD,Story3,4,K,75,75,"answer,","shadow,",0
CD,Story3,4,K+1,76,76,speaking,speaking,1
CD,Story3,4,K+2,77,77,in,in,2
CD,Story3,4,K+3,78,78,a,a,3
CD,Story3,4,K_END,85,85,serious.,serious.,4
CD,Story3,6,K-3,111,111,and,and,-3
CD,Story3,6,K-2,112,112,amid,amid,-2
CD,Story3,6,K-1,113,113,the,the,-1
CD,Story3,6,K,114,114,"rumors,","chaos,",0
CD,Story3,6,K+1,115,115,the,the,1
CD,Story3,6,K+2,116,116,donkey,donkey,2
CD,Story3,6,K+3,117,117,took,took,3
CD,Story3,6,K_END,121,121,away.,away.,4
CD,Story4,2,K-3,45,45,the,the,-3
CD,Story4,2,K-2,46,46,heart,heart,-2
CD,Story4,2,K-1,47,47,of,of,-1
CD,Story4,2,K,49,48,"jar,","battle,",0
CD,Story4,2,K+1,50,49,while,while,1
CD,Story4,2,K+2,51,50,the,the,2
CD,Story4,2,K+3,52,51,donkey,donkey,3
CD,Story4,2,K_END,54,53,behind.,behind.,4
CD,Story4,3,K-3,62,61,dead,dead,-3
CD,Story4,3,K-2,63,62,on,on,-2
CD,Story4,3,K-1,64,63,the,the,-1
CD,Story4,3,K,65,64,"plate,","battlefield,",0
CD,Story4,3,K+1,66,65,tragically.,tragically.,1
CD,Story4,3,K_END,66,65,tragically.,tragically.,4
CD,Story5,3,K-3,39,39,they,they,-3
CD,Story5,3,K-2,40,40,were,were,-2
CD,Story5,3,K-1,41,41,showing,showing,-1
CD,Story5,3,K,43,42,expertise,respect,0
CD,Story5,3,K+1,44,43,to,to,1
CD,Story5,3,K+2,45,44,"him,","him,",2
CD,Story5,3,K+3,46,45,became,became,3
CD,Story5,3,K_END,56,55,further.,further.,4
CD,Story5,4,K-3,64,63,him,him,-3
CD,Story5,4,K-2,65,64,with,with,-2
CD,Story5,4,K-1,66,65,his,his,-1
CD,Story5,4,K,67,66,memory,whip,0
CD,Story5,4,K+1,68,67,and,and,1
CD,Story5,4,K+2,69,68,"said,","said,",2
CD,Story5,4,K+3,70,69,"""You","""You",3
CD,Story5,4,K_END,72,71,animal!,animal!,4
CD,Story6,2,K-3,18,18,blew,blew,-3
CD,Story6,2,K-3,20,20,his,his,-3
CD,Story6,2,K-2,19,19,off,off,-2
CD,Story6,2,K-2,21,21,wig,hat,-2
CD,Story6,2,K-1,20,20,his,his,-1
CD,Story6,2,K-1,22,22,and,and,-1
CD,Story6,2,K,21,21,wig,hat,0
CD,Story6,2,K,23,23,"hand,","wig,",0
CD,Story6,2,K+1,22,22,and,and,1
CD,Story6,2,K+1,24,24,causing,causing,1
CD,Story6,2,K+2,23,23,"hand,","wig,",2
CD,Story6,2,K+2,25,25,his,his,2
CD,Story6,2,K+3,24,24,causing,causing,3
CD,Story6,2,K+3,26,26,companions,companions,3
CD,Story6,2,K_END,30,30,laughter.,laughter.,4
CD,Story6,3,K-3,58,58,the,the,-3
CD,Story6,3,K-2,59,59,man,man,-2
CD,Story6,3,K-1,60,60,whose,whose,-1
CD,Story6,3,K,61,61,pocket,head,0
CD,Story6,3,K+1,62,62,they,they,1
CD,Story6,3,K+2,63,63,originally,originally,2
CD,Story6,3,K+3,64,64,belonged,belonged,3
CD,Story6,3,K_END,65,65,"to?""","to?""",4
CD,Story7,2,K-3,21,21,with,with,-3
CD,Story7,2,K-2,22,22,a,a,-2
CD,Story7,2,K-1,23,23,hard,hard,-1
CD,Story7,2,K,24,24,feather,slap,0
CD,Story7,2,K+1,25,25,but,but,1
CD,Story7,2,K+2,26,26,ended,ended,2
CD,Story7,2,K+3,27,27,up,up,3
CD,Story7,2,K_END,30,30,instead.,instead.,4
CD,Story7,3,K-3,39,39,wanted,wanted,-3
CD,Story7,3,K-2,40,40,to,to,-2
CD,Story7,3,K-1,41,41,take,take,-1
CD,Story7,3,K,42,42,notes,revenge,0
CD,Story7,3,K+1,43,43,on,on,1
CD,Story7,3,K+2,44,44,a,a,2
CD,Story7,3,K+3,45,45,tiny,tiny,3
CD,Story7,3,K_END,71,71,harm.,harm.,4
CD,Story7,4,K-3,78,78,that,that,-3
CD,Story7,4,K-2,79,79,enjoys,enjoys,-2
CD,Story7,4,K-1,80,80,biting,biting,-1
CD,Story7,4,K,81,81,"dreams,","people,",0
CD,Story7,4,K+1,82,82,I,I,1
CD,Story7,4,K+2,83,83,wish,wish,2
CD,Story7,4,K+3,84,84,I,I,3
CD,Story7,4,K_END,95,95,"pain.""","pain.""",4
CD,Story8,2,K-3,20,20,couldn’t,couldn’t,-3
CD,Story8,2,K-2,21,21,decide,decide,-2
CD,Story8,2,K-1,22,22,which,which,-1
CD,Story8,2,K,23,23,page,side,0
CD,Story8,2,K+1,24,24,to,to,1
CD,Story8,2,K+2,25,25,join.,join.,2
CD,Story8,2,K_END,25,25,join.,join.,4
CD,Story8,3,K-3,59,59,"declared,","declared,",-3
CD,Story8,3,K-2,60,60,and,and,-2
CD,Story8,3,K-1,61,61,no,no,-1
CD,Story8,3,K,62,62,leakage,battle,0
CD,Story8,3,K+1,63,63,occurred.,occurred.,1
CD,Story8,3,K_END,63,63,occurred.,occurred.,4
CD,Story8,6,K-3,92,92,Reflecting,Reflecting,-3
CD,Story8,6,K-2,93,93,on,on,-2
CD,Story8,6,K-1,94,94,his,his,-1
CD,Story8,6,K,95,95,"sneeze,","situation,",0
CD,Story8,6,K+1,96,96,the,the,1
CD,Story8,6,K+2,97,97,Bat,Bat,2
CD,Story8,6,K+3,98,98,"said,","said,",3
CD,Story8,6,K_END,114,114,friends.’”,friends.’”,4
CD,Story9,2,K-3,22,22,hid,hid,-3
CD,Story9,2,K-2,23,23,among,among,-2
CD,Story9,2,K-1,24,24,the,the,-1
CD,Story9,2,K,25,25,"whispers,","branches,",0
CD,Story9,2,K+1,26,26,leaving,leaving,1
CD,Story9,2,K+2,27,27,the,the,2
CD,Story9,2,K+3,28,28,other,other,3
CD,Story9,2,K_END,30,30,behind.,behind.,4
CD,Story9,5,K-2,50,50,Holding,Holding,-2
CD,Story9,5,K-1,51,51,his,his,-1
CD,Story9,5,K,52,52,"future,","breath,",0
CD,Story9,5,K+1,53,53,the,the,1
CD,Story9,5,K+2,54,54,man,man,2
CD,Story9,5,K+3,55,55,pretended,pretended,3
CD,Story9,5,K_END,66,66,corpses.,corpses.,4
CD,Story9,8,K-3,113,113,in,in,-3
CD,Story9,8,K-2,114,114,times,times,-2
CD,Story9,8,K-1,115,115,of,of,-1
CD,Story9,8,K,116,116,"prayer,","danger,",0
CD,Story9,8,K+1,117,117,especially,especially,1
CD,Story9,8,K+2,118,118,without,without,2
CD,Story9,8,K+3,119,119,hesitation.”,hesitation.”,3
CD,Story9,8,K_END,119,119,hesitation.”,hesitation.”,4
RD,Story1,2,K-3,29,29,the,the,-3
RD,Story1,2,K-2,30,30,"water,","water,",-2
RD,Story1,2,K-1,31,31,noticed,noticed,-1
RD,Story1,2,K,32,32,an,the,0
RD,Story1,2,K+1,33,33,ant's,ant's,1
RD,Story1,2,K+2,34,34,struggle.,struggle.,2
RD,Story1,2,K_END,34,34,struggle.,struggle.,4
RD,Story1,3,K-1,35,35,Plucking,Plucking,-1
RD,Story1,3,K,36,36,another,a,0
RD,Story1,3,K+1,37,37,"leaf,","leaf,",1
RD,Story1,3,K+2,38,38,the,the,2
RD,Story1,3,K+3,39,39,dove,dove,3
RD,Story1,3,K_END,47,47,ant.,ant.,4
RD,Story1,5,K-3,70,70,lime-twigs,lime-twigs,-3
RD,Story1,5,K-2,71,71,to,to,-2
RD,Story1,5,K-1,72,72,trap,trap,-1
RD,Story1,5,K,73,73,a,the,0
RD,Story1,5,K+1,74,74,dove.,dove.,1
RD,Story1,5,K_END,74,74,dove.,dove.,4
RD,Story1,6,K-3,77,77,the,the,-3
