Story_Version,RelativeBin,Mean,SD,N,SE,CI95
CD,0.05,0.020198843885581953,0.31095055333468263,7160,0.003674809435623674,0.007202626493822401
CD,0.15,-0.012391457900686036,0.27077833524697154,6162,0.0034494755171731502,0.0067609720136593745
CD,0.25,-0.012263095043345062,0.2569970738027632,5639,0.0034223713464159233,0.00670784783897521
CD,0.35,-0.005092894860545945,0.2622618270686226,6141,0.0033466903676757503,0.00655951312064447
CD,0.45,0.0035571559105773377,0.2606656015046338,6474,0.0032396446514997316,0.006349703516939474
CD,0.55,-0.0027966954824595186,0.25836256782254563,5365,0.0035273189302058488,0.006913545103203463
CD,0.65,-0.0033665470972049096,0.2578644986368419,5901,0.0033568253611422154,0.0065793777078387424
CD,0.75,0.0050306120732251615,0.2625913418280207,5890,0.0034215489299895246,0.006706235902779468
CD,0.85,0.000507824199176128,0.2704259840327062,5922,0.0035141008189912104,0.006887637605222772
CD,0.95,0.02222408057082873,0.28361903197289984,7468,0.003281959486965379,0.006432640594452143
Original,0.05,0.018120271535541084,0.308749182582035,7030,0.0036823761915486864,0.007217457335435425
Original,0.15,-0.014387248639815596,0.2670643174025254,6089,0.0034224954431304622,0.006708091068535706
Original,0.25,-0.021959829406293204,0.24741710049089188,5559,0.003318420182105412,0.006504103556926607
Original,0.35,-0.007609795665958905,0.25822628025809324,6065,0.0033157748772236115,0.006498918759358279
Original,0.45,-0.0022286235095577748,0.2540817500180897,6362,0.0031854928866964704,0.006243566057925082
Original,0.55,-0.0036322618392907666,0.25360038488054715,5331,0.0034733261579939804,0.006807719269668201
Original,0.65,-0.011913882780619183,0.2443036723651525,5804,0.003206758786973615,0.006285247222468285
Original,0.75,-0.010853121342093494,0.24311708110856067,5825,0.003185425908600598,0.006243434780857172
Original,0.85,-0.0050715542608249595,0.24945616691899541,5846,0.003262607568295681,0.006394710833859535
Original,0.95,0.0035795507472937745,0.2631459953054129,7398,0.0030594235234645334,0.005996470105990485
RD,0.05,0.021673290633793876,0.30581469860327093,6925,0.0036749248845548525,0.007202852773727511
RD,0.15,-0.011356047127015724,0.2570013915868027,6081,0.0032957022857925708,0.006459576480153439
RD,0.25,-0.005215716094022752,0.26471530548043143,5512,0.003565532898012109,0.006988444480103734
RD,0.35,-0.004158923566333894,0.2598843121196512,6014,0.0033511846052375507,0.0065683218262656
RD,0.45,0.008206355882338258,0.2762352227379902,6356,0.0034648713212286257,0.006791147789608106
RD,0.55,-0.006015087178318815,0.24609784088633177,5257,0.003394210831029404,0.006652653228817632
RD,0.65,-0.004515088778063756,0.2478662557316686,5765,0.003264508100195543,0.006398435876383264
RD,0.75,0.0031117334214535997,0.25632120108645323,5751,0.0033799700006180125,0.0066247412012113045
RD,0.85,-0.00530394675329121,0.24232807383513774,5841,0.0031707363184824435,0.006214643184225589
RD,0.95,0.018336346880988345,0.27452726512478887,7320,0.0032087061233330126,0.006289064001732705
