Word,FreqH,Length
An,8.204499011300468,2
ant,17.075578872015694,3
went,11.627787821147072,4
to,5.216250016992825,2
the,4.218934101564037,3
riverbank,20.6952290301558,9
quench,20.297440011799132,6
its,9.501116017658642,3
thirst,17.8039352895983,6
but,7.871548214816321,3
was,7.24113401292912,3
swept,16.808895850500033,5
away,11.227664995879511,4
by,7.773590119378742,2
rushing,16.776143137576977,7
"current,",12.392409758216143,7
nearly,13.287712379549449,6
drowning.,17.37330093526844,8
A,5.448508591452505,1
"dove,",17.705060039515494,4
perched,19.13248126325017,7
on,6.942528932361784,2
a,5.448508591452505,1
tree,13.785891114128539,4
hanging,14.949715916034434,7
over,9.702749878828293,4
"water,",11.560881162516957,5
noticed,14.515404404591045,7
an,8.204499011300468,2
ant's,23.1159931404616,5
struggle.,14.549593090766873,8
Plucking,20.397506966903055,8
another,10.828280760912152,7
"leaf,",15.878457232864612,4
dove,17.705060039515494,4
dropped,14.184718386226123,7
it,6.81035885291489,2
into,9.598413219013558,4
stream,14.549593090766873,6
near,12.324238255574564,4
ant.,17.075578872015694,3
The,4.218934101564037,3
climbed,17.1078192090159,7
onto,14.051372840381076,4
leaf,15.878457232864612,4
and,5.282087830355572,3
floated,18.569800209905022,7
safely,15.878457232864612,6
back,9.828280760912152,4
shore.,15.51202967781039,5
Not,7.673002535434241,3
long,10.59617821463025,4
"after,",9.598413219013558,5
birdcatcher,29.897352853986263,11
approached,16.0735875741966,10
"tree,",13.785891114128539,4
setting,14.051372840381076,7
up,8.673002535434241,2
lime-twigs,18.30330475587807,9
trap,15.51202967781039,4
dove.,17.705060039515494,4
Seeing,13.150208855799514,6
"this,",7.24113401292912,4
stung,18.99799593106315,5
birdcatcher’s,29.897352853986263,13
foot.,13.720166931905702,4
Startled,18.902999417127404,8
in,5.748553568441418,2
"pain,",13.190101582923027,4
"twigs,",19.531030639740447,5
making,11.492776716745913,6
noise,14.781821449819493,5
that,6.6152870375779536,4
alerted,18.868065627018016,7
who,8.834853414835639,3
quickly,13.287712379549449,7
flew,16.0735875741966,4
safety.,13.387763393359778,6
man,10.563062107816481,3
wanted,12.09236478122723,6
buy,12.22420943724329,3
donkey,17.871521185654235,6
arranged,15.58107132224004,8
with,7.142034924353815,4
owner,13.852617227929352,5
test,12.655444164049937,4
animal,13.918106309517611,6
before,10.19855324763821,6
purchase.,14.250681648604482,8
He,7.673002535434241,2
brought,12.75165947930924,7
home,10.59617821463025,4
placed,13.785891114128539,6
them,9.333516069162574,4
stable,15.015091924886457,6
his,8.269790471552188,3
other,9.429731384421878,5
"donkeys,",19.729934708154524,7
so,8.238953067629595,2
could,9.764150423492437,5
rest.,12.522177633186471,4
"Immediately,",13.354139741288426,11
new,9.133907043470414,3
left,11.227664995879511,4
group,11.392409758216143,5
joined,14.184718386226123,6
laziest,21.658948114661182,7
greediest,24.680122137765593,9
one,8.405069330187608,3
of,5.316168825598678,2
all.,8.238953067629595,3
put,11.095518214266104,3
halter,20.52884639247857,6
took,11.59171856643955,4
owner.,13.852617227929352,5
When,8.739275754853407,4
asked,12.287712379549449,5
