DistType,Model,NDistances,NParameters,Minus2LogLik,AIC,AICc,BIC,RawRMSE,ParamCovCondition,Error,DeltaAICc,AkaikeWeight
CD,power_law,11,3,-88.65807559380036,-82.65807559380036,-79.22950416522893,-81.46438977540525,0.011936089851801128,15896.89381510576,,0.0,0.6710784454698682
CD,exponential,11,3,-86.07730955794459,-80.07730955794459,-76.64873812937316,-78.88362373954948,0.013790610448379322,7024.903453894854,,2.580766035855774,0.18465754850093574
CD,log_cauchy,11,4,-88.75613340074877,-80.75613340074877,-74.0894667340821,-79.16455230955529,0.011499352629850917,1613646.4533524688,,5.140037431146837,0.0513603935980547
CD,zipf_alekseev,11,4,-88.65807559380612,-80.65807559380612,-73.99140892713945,-79.06649450261264,0.011936089272804151,71067.82270106956,,5.238095238089485,0.04890298411152941
CD,log_normal,11,4,-88.2606781666505,-80.2606781666505,-73.59401149998382,-78.66909707545702,0.012372407639094399,15602020.853225887,,5.63549266524511,0.04009051231989073
CD,exp_plus_exp,11,5,-89.53220116774304,-79.53220116774304,-67.53220116774304,-77.54272480375118,0.010808880929674783,2099137723297.0767,,11.697302997485892,0.0019352461732281528
CD,exp_plus_power,11,5,-89.5295346925296,-79.5295346925296,-67.5295346925296,-77.54005832853774,0.010811424648116224,10939302927.166786,,11.699969472699337,0.0019326677494594404
CD,quadratic,11,3,-68.58437887538574,-62.58437887538574,-59.15580744681431,-61.39069305699063,0.020673484346972804,33295.209784320716,,20.073696718414624,2.936469076584992e-05
CD,broken_stick,11,4,-72.1676106163851,-64.1676106163851,-57.50094394971844,-62.57602952519162,0.02227682299424415,303689.2230314467,,21.72856021551049,1.2837379769820654e-05
CD,linear,11,2,-33.862598634750555,-29.862598634750555,-28.362598634750555,-29.066808089153813,0.03209677119797091,109.06384553639873,,50.86690553047838,6.041782656143073e-12
CD,constant,11,1,-25.63988975113108,-23.63988975113108,-23.195445306686636,-23.241994478332707,0.03537123726861787,1.0,,56.034058858542295,4.561755552903449e-13
RD,power_law,11,3,-97.17762553613075,-91.17762553613075,-87.74905410755932,-89.98393971773564,0.0034038142777613172,5234.795041097842,,0.0,0.8121676294058877
RD,zipf_alekseev,11,4,-97.17765044559921,-89.17765044559921,-82.51098377893254,-87.58606935440574,0.0034047242143194012,49848.328147841625,,5.238070328626776,0.05918520497527009
RD,log_cauchy,11,4,-96.96925872593337,-88.96925872593337,-82.3025920592667,-87.37767763473988,0.003286662145775298,12061.002575744968,,5.4464620482926165,0.05332875797220547
RD,log_normal,11,4,-96.67778288429413,-88.67778288429413,-82.01111621762746,-87.08620179310066,0.0036842026757346537,50004524.06630694,,5.737937889931857,0.046096536362475564
RD,exponential,11,3,-90.33098470806446,-84.33098470806446,-80.90241327949303,-83.13729888966935,0.005437939662798432,1866.7489342822942,,6.846640828066285,0.026479910336460157
RD,exp_plus_power,11,5,-97.22699621212348,-87.22699621212348,-75.22699621212348,-85.23751984813163,0.003339306420845027,6313755496605595.0,,12.522057895435836,0.001550655603171877
RD,exp_plus_exp,11,5,-96.69973985774716,-86.69973985774716,-74.69973985774716,-84.7102634937553,0.0035061090950428446,74463.23526418603,,13.049314249812156,0.0011913053445192813
RD,broken_stick,11,4,-38.33217873624527,-30.332178736245268,-23.6655120695786,-28.740597645051785,0.02325805981347411,23808.172630727917,,64.08354203798072,9.864642069514323e-15
RD,quadratic,11,3,64.54814894549962,70.54814894549962,73.97672037407105,71.74183476389473,0.04947075702093782,70636.38244220855,,161.72577448163037,6.185003594443162e-36
RD,linear,11,2,134.44108940279858,138.44108940279858,139.94108940279858,139.2368799483953,0.06180836420699023,276.505137888056,,227.6901435103579,2.933318495796524e-50
RD,constant,11,1,193.31957955747242,195.31957955747242,195.76402400191688,195.7174748302708,0.07119160065767108,1.0,,283.51307810947617,2.2159654795016515e-62
