DistType,Model,Parameter,Estimate
CD,constant,baseline,0.0240226908214329
CD,linear,baseline,0.033380022707093074
CD,linear,slope,-0.0018088855262483232
CD,quadratic,baseline,0.06816184628501878
CD,quadratic,slope,-0.01365769217955936
CD,quadratic,quadratic,0.0009048343340858384
CD,exponential,baseline,0.018061851148607026
CD,exponential,amplitude,0.08371276091213609
CD,exponential,rate,1.27962956478353
CD,power_law,baseline,0.014565045632394087
CD,power_law,amplitude,0.09256990039142594
CD,power_law,alpha,1.703201506819258
CD,log_normal,baseline,0.016146235726964053
CD,log_normal,amplitude,0.8913725192392216
CD,log_normal,mu,-2.999999999579686
CD,log_normal,sigma,1.3978662331186302
CD,log_cauchy,baseline,0.007738876368533261
CD,log_cauchy,amplitude,0.30277089921734585
CD,log_cauchy,mu,-0.701334507857543
CD,log_cauchy,sigma,0.4987843979183307
CD,zipf_alekseev,baseline,0.014565049623735012
CD,zipf_alekseev,amplitude,0.092569901730432
CD,zipf_alekseev,alpha,1.7032020068699485
CD,zipf_alekseev,beta,1.5396295501810004e-15
CD,broken_stick,baseline,0.06544150105237524
CD,broken_stick,slope_1,-0.013006713073871103
CD,broken_stick,slope_2,-0.0008577934329813257
CD,broken_stick,knot,3.545658432397455
CD,exp_plus_exp,baseline,0.016172681864713927
CD,exp_plus_exp,amplitude,0.09424000875133622
CD,exp_plus_exp,rate_1,0.5209222279868343
CD,exp_plus_exp,rate_2,9.999999999999448
CD,exp_plus_exp,exp_weight,0.4653761195883206
CD,exp_plus_power,baseline,0.016169604579785706
CD,exp_plus_power,amplitude,0.09423669522119346
CD,exp_plus_power,rate,0.5203822490411939
CD,exp_plus_power,alpha,9.999999999996495
CD,exp_plus_power,power_weight,0.5354961638833646
RD,constant,baseline,0.01549118877457768
RD,linear,baseline,0.04162503199356676
RD,linear,slope,-0.0034577358254866877
RD,quadratic,baseline,0.08141230972181343
RD,quadratic,slope,-0.01781511776307447
RD,quadratic,quadratic,0.0011003724177766345
RD,exponential,baseline,0.013795898464517379
RD,exponential,amplitude,0.22731005204140542
RD,exponential,rate,1.2936205282920867
RD,power_law,baseline,0.009279931167481421
RD,power_law,amplitude,0.23477982334303865
RD,power_law,alpha,1.9976308054590473
RD,log_normal,baseline,0.011434382043845285
RD,log_normal,amplitude,3.2641681941245637
RD,log_normal,mu,-2.9999999999999982
RD,log_normal,sigma,1.304748850045995
RD,log_cauchy,baseline,0.0031597275349923115
RD,log_cauchy,amplitude,0.24117242622548363
RD,log_cauchy,mu,-0.011623054281801534
RD,log_cauchy,sigma,0.43237882016878826
RD,zipf_alekseev,baseline,0.009302124870955109
RD,zipf_alekseev,amplitude,0.23475559327052037
RD,zipf_alekseev,alpha,1.996099901488511
RD,zipf_alekseev,beta,0.0020701071922616778
RD,broken_stick,baseline,0.17793134289061877
RD,broken_stick,slope_1,-0.06975070572941595
RD,broken_stick,slope_2,-0.001669951320701925
RD,broken_stick,knot,2.193954877858363
RD,exp_plus_exp,baseline,0.01065505509361886
RD,exp_plus_exp,amplitude,0.23344976709196152
RD,exp_plus_exp,rate_1,0.44288336904414294
RD,exp_plus_exp,rate_2,1.8514346194669875
RD,exp_plus_exp,exp_weight,0.20107604296052664
RD,exp_plus_power,baseline,-0.7437060693585726
RD,exp_plus_power,amplitude,0.9878848775335043
RD,exp_plus_power,rate,0.00020263819282753909
RD,exp_plus_power,alpha,2.031731390588901
RD,exp_plus_power,power_weight,0.23635576245975584
