DistType,Distance,Position,Estimate,SE,T,P,CILow,CIHigh
CD,0,K,0.1350920009613036,0.016506985337068986,8.18392930039949,1.0012470234503761e-10,0.10191997198827432,0.1682640299343329
CD,1,K+1,0.05442916857218923,0.008482238934317326,6.416839821851804,5.312802134492981e-08,0.037383471254371615,0.07147486589000684
CD,2,K+2,0.039518434839328875,0.007371142895155443,5.361235754268404,2.217225062663824e-06,0.024705568607883366,0.054331301070774385
CD,3,K+3,0.03725331283642179,0.008498635943679812,4.38344612986111,6.165694638086982e-05,0.020174664494626352,0.05433196117821723
CD,4,K+4,0.023688559792020045,0.006824987817432805,3.470857447029175,0.0010924606545868179,0.009973233280398343,0.03740388630364175
CD,5,K+5,0.02238872096837498,0.004785463101412319,4.678485758623332,2.3076255973559156e-05,0.01277197282158109,0.03200546911516887
CD,6,K+6,0.023510196498171376,0.005741359519334402,4.094883175143319,0.00015764711790968407,0.011972502580660729,0.03504789041568202
CD,7,K+7,0.02095803067983114,0.005055810963796369,4.145335106456179,0.00013402047506185972,0.01079799816337944,0.03111806319628284
CD,8,K+8,0.024604127589467714,0.006438694727145485,3.821291213844463,0.000374822945340719,0.011665086106361541,0.037543169072573886
CD,9,K+9,0.01863417834810642,0.006341516748216346,2.938441872498024,0.005017650587625065,0.005890423325050511,0.03137793337116233
CD,10,K+10,0.030689419455849867,0.010017660101742064,3.063531717403049,0.0035495214427462155,0.010558177781411437,0.0508206611302883
RD,0,K,0.243914582451202,0.01503966858312788,16.218082273756714,9.63491408186343e-26,0.2139335510760674,0.2738956138263366
RD,1,K+1,0.06890775385444434,0.008650864536070816,7.965418203825202,1.779033556618766e-11,0.05166257058165991,0.08615293712722877
RD,2,K+2,0.03704384687849796,0.00473178944181853,7.828718359932179,3.200511119224916e-11,0.027611197021117407,0.04647649673587852
RD,3,K+3,0.025317881488503002,0.0037114667264394764,6.82152996499883,2.354311307148653e-09,0.017919207790468104,0.032716555186537905
RD,4,K+4,0.019849381170535252,0.0038108481546086713,5.208651818501425,1.73505673456514e-06,0.012252594216242238,0.027446168124828266
RD,5,K+5,0.02596053306207255,0.0057792376100679575,4.492034211717985,2.6305305531742877e-05,0.014439833443320048,0.03748123268082505
RD,6,K+6,0.015846337770547503,0.003432188438877229,4.616977783344353,1.6590559662817696e-05,0.009004395163727662,0.022688280377367344
RD,7,K+7,0.01635318800675481,0.003347749232139574,4.884830634791409,6.057315850393895e-06,0.009679571882164312,0.023026804131345308
RD,8,K+8,0.013287268335630181,0.004591218494798766,2.8940614241476137,0.00502929871932843,0.004134841539664683,0.02243969513159568
RD,9,K+9,0.013278441307537081,0.0036789983816462386,3.6092544573491727,0.0005638007626287728,0.005944492071917317,0.020612390543156847
RD,10,K+10,0.011041112304636641,0.00285450663428127,3.867958186552493,0.00023848196418481277,0.0053507573284023256,0.01673146728087096
