DistType,Story,SentenceIndex,PositionUnitID,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,DistSurprisal,OriginalSurprisal,DeltaSurprisal,RepresentationDistance
CD,Story1,1,CD_Story1_s1,K-3,15,15,by,by,0.47118958830833435,0.47118958830833435,0.0,5.960464477539063e-08
CD,Story1,1,CD_Story1_s1,K-2,16,16,the,the,0.9559394121170044,0.9559394121170044,0.0,-1.1920928955078125e-07
CD,Story1,1,CD_Story1_s1,K-1,17,17,rushing,rushing,11.02472972869873,11.02472972869873,0.0,5.960464477539063e-08
CD,Story1,1,CD_Story1_s1,K,18,18,"mountain,","current,",17.832096099853516,4.779107093811035,13.05298900604248,0.04905170202255249
CD,Story1,1,CD_Story1_s1,K+1,19,19,nearly,nearly,18.948820114135742,17.55743408203125,1.3913860321044922,0.006355166435241699
CD,Story1,1,CD_Story1_s1,K+2,20,20,drowning.,drowning.,3.755444288253784,3.577118396759033,0.17832589149475098,0.0033677220344543457
CD,Story1,1,CD_Story1_s1,K_END,20,20,drowning.,drowning.,3.755444288253784,3.577118396759033,0.17832589149475098,0.0033677220344543457
CD,Story1,2,CD_Story1_s2,K-3,23,23,perched,perched,10.544938087463379,11.155294418334961,-0.610356330871582,0.001821279525756836
CD,Story1,2,CD_Story1_s2,K-2,24,24,on,on,0.586841881275177,0.5632758140563965,0.023566067218780518,0.0021950602531433105
CD,Story1,2,CD_Story1_s2,K-1,25,25,a,a,5.189404487609863,5.242380142211914,-0.05297565460205078,0.007271230220794678
CD,Story1,2,CD_Story1_s2,K,26,26,spoon,tree,17.713951110839844,8.706709861755371,9.007241249084473,0.39228683710098267
CD,Story1,2,CD_Story1_s2,K+1,27,27,hanging,hanging,10.458756446838379,9.467029571533203,0.9917268753051758,0.11037254333496094
CD,Story1,2,CD_Story1_s2,K+2,28,28,over,over,1.4306895732879639,0.20289161801338196,1.227797955274582,0.08491098880767822
CD,Story1,2,CD_Story1_s2,K+3,29,29,the,the,0.9878568649291992,0.8096296191215515,0.1782272458076477,0.13440781831741333
CD,Story1,2,CD_Story1_s2,K_END,34,34,struggle.,struggle.,6.0594892501831055,5.525096893310547,0.5343923568725586,0.009449601173400879
CD,Story1,4,CD_Story1_s4,K-3,50,50,climbed,climbed,6.037242412567139,6.125042915344238,-0.08780050277709961,0.0064961910247802734
CD,Story1,4,CD_Story1_s4,K-2,51,51,onto,onto,1.3987809419631958,1.1556121110916138,0.24316883087158203,0.016567468643188477
CD,Story1,4,CD_Story1_s4,K-1,52,52,the,the,0.3472514748573303,0.22810833156108856,0.11914314329624176,0.05127018690109253
CD,Story1,4,CD_Story1_s4,K,53,53,drop,leaf,9.330998420715332,0.27984651923179626,9.051151901483536,0.19300109148025513
CD,Story1,4,CD_Story1_s4,K+1,54,54,and,and,1.2366129159927368,0.7098238468170166,0.5267890691757202,0.05647808313369751
CD,Story1,4,CD_Story1_s4,K+2,55,55,floated,floated,7.884037494659424,5.624027252197266,2.260010242462158,0.009183108806610107
CD,Story1,4,CD_Story1_s4,K+3,56,56,safely,safely,7.053615570068359,6.986230373382568,0.06738519668579102,0.004741311073303223
CD,Story1,4,CD_Story1_s4,K_END,59,59,shore.,shore.,5.805086135864258,5.249307632446289,0.5557785034179688,0.02252674102783203
RD,Story1,2,RD_Story1_s2,K-3,29,29,the,the,0.8096296191215515,0.8096296191215515,0.0,-1.1920928955078125e-07
RD,Story1,2,RD_Story1_s2,K-2,30,30,"water,","water,",8.374112129211426,8.374112129211426,0.0,0.0
RD,Story1,2,RD_Story1_s2,K-1,31,31,noticed,noticed,4.522100925445557,4.522100925445557,0.0,0.0
RD,Story1,2,RD_Story1_s2,K,32,32,an,the,4.314470291137695,1.5019702911376953,2.8125,0.3743760585784912
RD,Story1,2,RD_Story1_s2,K+1,33,33,ant's,ant's,6.375069618225098,7.611876487731934,-1.236806869506836,0.019833862781524658
RD,Story1,2,RD_Story1_s2,K+2,34,34,struggle.,struggle.,6.04876184463501,5.525096893310547,0.5236649513244629,0.013462841510772705
RD,Story1,2,RD_Story1_s2,K_END,34,34,struggle.,struggle.,6.04876184463501,5.525096893310547,0.5236649513244629,0.013462841510772705
RD,Story1,3,RD_Story1_s3,K-1,35,35,Plucking,Plucking,14.198948860168457,13.26485538482666,0.9340934753417969,0.006726443767547607
RD,Story1,3,RD_Story1_s3,K,36,36,another,a,5.350305080413818,2.890197515487671,2.4601075649261475,0.22228366136550903
RD,Story1,3,RD_Story1_s3,K+1,37,37,"leaf,","leaf,",4.635745048522949,4.589349269866943,0.04639577865600586,0.03373527526855469
RD,Story1,3,RD_Story1_s3,K+2,38,38,the,the,10.517598152160645,9.987577438354492,0.5300207138061523,0.02939462661743164
RD,Story1,3,RD_Story1_s3,K+3,39,39,dove,dove,8.88780689239502,7.870236396789551,1.0175704956054688,0.01642906665802002
RD,Story1,3,RD_Story1_s3,K_END,47,47,ant.,ant.,2.3470470905303955,2.0529422760009766,0.29410481452941895,0.01239466667175293
RD,Story1,5,RD_Story1_s5,K-3,70,70,lime-twigs,lime-twigs,17.686511993408203,18.100406646728516,-0.4138946533203125,0.0015303492546081543
RD,Story1,5,RD_Story1_s5,K-2,71,71,to,to,10.505582809448242,10.476279258728027,0.029303550720214844,0.001535952091217041
RD,Story1,5,RD_Story1_s5,K-1,72,72,trap,trap,4.137120246887207,3.910285234451294,0.22683501243591309,0.005687355995178223
RD,Story1,5,RD_Story1_s5,K,73,73,a,the,6.726755619049072,0.6458667516708374,6.080888867378235,0.3779217004776001
RD,Story1,5,RD_Story1_s5,K+1,74,74,dove.,dove.,19.396615982055664,11.16591739654541,8.230698585510254,0.011412441730499268
RD,Story1,5,RD_Story1_s5,K_END,74,74,dove.,dove.,19.396615982055664,11.16591739654541,8.230698585510254,0.011412441730499268
RD,Story1,6,RD_Story1_s6,K-3,77,77,the,the,9.265199661254883,8.399632453918457,0.8655672073364258,0.017699480056762695
RD,Story1,6,RD_Story1_s6,K-2,78,78,ant,ant,0.3084894120693207,0.19617164134979248,0.1123177707195282,0.005253434181213379
RD,Story1,6,RD_Story1_s6,K-1,79,79,stung,stung,11.950321197509766,11.91254997253418,0.03777122497558594,0.00485384464263916
RD,Story1,6,RD_Story1_s6,K,80,80,a,the,5.644040584564209,0.6909035444259644,4.953137040138245,0.35047447681427
RD,Story1,6,RD_Story1_s6,K+1,81,81,birdcatcher’s,birdcatcher’s,16.063987731933594,9.713020324707031,6.3509674072265625,0.012865424156188965
RD,Story1,6,RD_Story1_s6,K+2,82,82,foot.,foot.,4.901796817779541,5.490645408630371,-0.5888485908508301,0.01122826337814331
RD,Story1,6,RD_Story1_s6,K_END,82,82,foot.,foot.,4.901796817779541,5.490645408630371,-0.5888485908508301,0.01122826337814331
RD,Story1,7,RD_Story1_s7,K-3,84,84,and,and,3.8718061447143555,3.6277997493743896,0.24400639533996582,0.004381656646728516
RD,Story1,7,RD_Story1_s7,K-2,85,85,in,in,2.054727077484131,1.8789000511169434,0.1758270263671875,0.0024455785751342773
RD,Story1,7,RD_Story1_s7,K-1,86,86,"pain,","pain,",2.411044120788574,2.283383369445801,0.12766075134277344,0.017162859439849854
RD,Story1,7,RD_Story1_s7,K,87,87,it,he,11.389132499694824,1.3966670036315918,9.992465496063232,0.06586062908172607
RD,Story1,7,RD_Story1_s7,K+1,88,88,dropped,dropped,2.672152519226074,5.175473690032959,-2.5033211708068848,0.0492672324180603
RD,Story1,7,RD_Story1_s7,K+2,89,89,the,the,1.5558966398239136,1.524378776550293,0.031517863273620605,0.009348630905151367
RD,Story1,7,RD_Story1_s7,K+3,90,90,"twigs,","twigs,",9.345592498779297,8.733553886413574,0.6120386123657227,0.014719665050506592
RD,Story1,7,RD_Story1_s7,K_END,103,103,safety.,safety.,8.359792709350586,8.244731903076172,0.11506080627441406,0.007808268070220947
CD,Story10,3,CD_Story10_s3,K-3,50,50,to,to,1.7049955129623413,1.7049955129623413,0.0,5.960464477539063e-08
CD,Story10,3,CD_Story10_s3,K-2,51,51,take,take,8.44503402709961,8.44503402709961,0.0,5.960464477539063e-08
CD,Story10,3,CD_Story10_s3,K-1,52,52,my,my,2.2296361923217773,2.2296361923217773,0.0,0.0
CD,Story10,3,CD_Story10_s3,K,53,53,"word,","honey,",12.558101654052734,4.268543720245361,8.289557933807373,0.0782504677772522
CD,Story10,3,CD_Story10_s3,K+1,54,54,and,and,11.026780128479004,9.912008285522461,1.114771842956543,0.013671457767486572
CD,Story10,3,CD_Story10_s3,K+2,55,55,protect,protect,5.227965831756592,5.080171585083008,0.14779424667358398,0.004735350608825684
CD,Story10,3,CD_Story10_s3,K+3,56,56,my,my,1.1319434642791748,0.8680179119110107,0.26392555236816406,0.03192698955535889
CD,Story10,3,CD_Story10_s3,K-3,62,62,displeased,displeased,4.351187705993652,4.3454670906066895,0.005720615386962891,0.002257406711578369
CD,Story10,3,CD_Story10_s3,K-2,63,63,by,by,1.9041402339935303,1.9586143493652344,-0.0544741153717041,0.002495706081390381
CD,Story10,3,CD_Story10_s3,K-1,64,64,the,the,1.7869915962219238,1.9027984142303467,-0.11580681800842285,0.0023436546325683594
CD,Story10,3,CD_Story10_s3,K,65,65,compliment,request,18.549530029296875,7.387381553649902,11.162148475646973,0.13278335332870483
CD,Story10,3,CD_Story10_s3,K+1,66,66,but,but,3.8458073139190674,3.5656285285949707,0.2801787853240967,0.009464561939239502
CD,Story10,3,CD_Story10_s3,K+2,67,67,honored,honored,5.236328601837158,5.945831775665283,-0.709503173828125,0.03756535053253174
CD,Story10,3,CD_Story10_s3,K+3,68,68,his,his,4.460803031921387,2.705367088317871,1.7554359436035156,0.0267067551612854
CD,Story10,3,CD_Story10_s3,K_END,69,69,promise.,promise.,3.177102565765381,3.1796534061431885,-0.002550840377807617,0.005374610424041748
CD,Story10,5,CD_Story10_s5,K-3,91,91,remain,remain,4.353021621704102,4.804920196533203,-0.45189857482910156,0.007193088531494141
CD,Story10,5,CD_Story10_s5,K-2,92,92,in,in,0.8588718175888062,0.800843358039856,0.058028459548950195,0.0030889511108398438
CD,Story10,5,CD_Story10_s5,K-1,93,93,the,the,0.5113608241081238,0.45065370202064514,0.06070712208747864,0.003998279571533203
CD,Story10,5,CD_Story10_s5,K,94,94,city,wound,12.468114852905273,7.379851818084717,5.088263034820557,0.15705162286758423
CD,Story10,5,CD_Story10_s5,K+1,95,95,you,you,4.151640892028809,4.709040641784668,-0.5573997497558594,0.17351031303405762
