Outcome,DistType,Position,Contrast,N,NUnits,Estimate,SE,T,P,CILow,CIHigh,P_FDR_Within,Significant_FDR_Within
DeltaSurprisal,CD,K,CD - Original,58,50,9.486413775943221,0.7631549101953893,12.430521836666728,9.137307175901548e-17,7.952796566320979,11.020030985565464,7.309845740721238e-16,True
DeltaSurprisal,CD,K+1,CD - Original,55,50,0.5192383270372045,0.2354143260783586,2.205636061691394,0.03213080023303491,0.04615552688466684,0.9923211271897422,0.05140928037285586,False
DeltaSurprisal,CD,K+2,CD - Original,53,48,0.6247956054109448,0.1793341288323087,3.483974910292603,0.0010799947369654335,0.26402187294455615,0.9855693378773335,0.004319978947861734,True
DeltaSurprisal,CD,K+3,CD - Original,48,43,0.5571220692557595,0.17314130023327554,3.217730654125513,0.002490709406542652,0.20770877925279135,0.9065353592587275,0.004981418813085304,True
DeltaSurprisal,CD,K-1,CD - Original,55,50,0.008120385218750352,0.02342051929272225,0.346720972206355,0.730285572367773,-0.038944910392611894,0.0551856808301126,0.730285572367773,False
DeltaSurprisal,CD,K-2,CD - Original,55,50,-0.06318353956395929,0.04379979904499167,-1.4425531838412413,0.15550848854848306,-0.15120253111601148,0.024835451988092894,0.20734465139797742,False
DeltaSurprisal,CD,K-3,CD - Original,54,49,0.06602208261136655,0.06341930155438745,1.0410408344649933,0.3030719793957622,-0.061490969398137335,0.19353513462087044,0.34636797645229966,False
DeltaSurprisal,CD,K_END,CD - Original,50,50,0.3151707804203033,0.09614738999706389,3.277996214249059,0.0019265631337105594,0.12195536636759613,0.5083861944730104,0.004981418813085304,True
DeltaSurprisal,RD,K,RD - Original,86,73,5.614110388208269,0.35726341903689535,15.71420439109801,5.705080851474446e-25,4.901918778657165,6.326301997759374,4.564064681179557e-24,True
DeltaSurprisal,RD,K+1,RD - Original,82,70,2.060384402187859,0.40731163920793806,5.058496256562914,3.3383608110365612e-06,1.2478199150301696,2.8729488893455484,1.3353443244146245e-05,True
