DistType,Model,NDistances,NParameters,Minus2LogLik,AIC,AICc,BIC,RawRMSE,ParamCovCondition,Error,DeltaAICc,AkaikeWeight
CD,log_cauchy,11,4,-8.535832785369267,-0.5358327853692675,6.1308338812973995,1.0557483058242152,0.16759205617610415,3640110455206077.0,,0.0,0.6293684560919219
CD,power_law,11,3,-0.8890342768153516,5.110965723184648,8.539537151756077,6.30465154157976,0.2340938918433978,325.4833565404211,,2.4087032704586777,0.18873902310799695
CD,exp_plus_exp,11,5,-11.749628751885549,-1.749628751885549,10.250371248114451,0.23984761210630445,0.1111488388048576,2034602682.1870153,,4.119537366817052,0.0802340655796684
CD,exp_plus_power,11,5,-11.727243853778097,-1.7272438537780967,10.272756146221903,0.2622325102137566,0.1120161824083072,9938499.543459931,,4.141922264924504,0.07934105668886937
CD,zipf_alekseev,11,4,-0.8890342753546712,7.110965724645329,13.777632391311997,8.702546815838812,0.2340944870659927,1040.6030942260747,,7.646798510014597,0.013753833853277685
CD,exponential,11,3,6.051333920420156,12.051333920420156,15.479905348991585,13.245019738815268,0.32331810156989566,590.8139462863752,,9.349071467694184,0.005871916857700658
CD,log_normal,11,4,2.373293788989983,10.373293788989983,17.03996045565665,11.964874880183466,0.22701682843479587,6013464746889.9375,,10.909126574359252,0.002691647820565256
CD,broken_stick,11,4,95.12588703230944,103.12588703230944,109.7925536989761,104.71746812350293,2.0268863639635732,3992.3489853963088,,103.6617198176787,1.9455774393423137e-23
CD,quadratic,11,3,119.67111246131884,125.67111246131884,129.09968388989026,126.86479827971395,2.5482367634206344,61038.325840931815,,122.96885000859285,1.2489885871464924e-27
CD,linear,11,2,174.2003019313079,178.2003019313079,179.7003019313079,178.99609247690464,2.7931083372843504,301.11737999526576,,173.5694680500105,1.2846176118491938e-38
CD,constant,11,1,270.6124925418727,272.6124925418727,273.05693698631717,273.0103878146711,3.040846743482514,1.0,,266.92610310501976,6.86496211824425e-59
RD,exponential,11,3,-18.929127233724536,-12.929127233724536,-9.500555805153107,-11.735441415329424,0.07100407499327044,111.60294948805272,,0.0,0.8107107651714123
RD,power_law,11,3,-13.691719725480025,-7.691719725480025,-4.2631482969085965,-6.498033907084913,0.17879375413721316,127.62243373996887,,5.237407508244511,0.05909862134491548
RD,log_normal,11,4,-18.795944143307214,-10.795944143307214,-4.129277476640547,-9.204363052113731,0.09558936739859546,3216.5600565279115,,5.3712783285125605,0.055272317003640103
RD,zipf_alekseev,11,4,-18.795944143260787,-10.795944143260787,-4.12927747659412,-9.204363052067304,0.09558892537986911,552.2617213108527,,5.371278328558987,0.055272317002357046
RD,log_cauchy,11,4,-16.39327266580425,-8.39327266580425,-1.7266059991375835,-6.801691574610768,0.09130799970648908,70074.12564452188,,7.773949806015524,0.01662547982462912
RD,exp_plus_power,11,5,-18.9291272337247,-8.9291272337247,3.0708727662753006,-6.939650869732846,0.07100408470177785,inf,,12.571428571428408,0.00151013200124752
RD,exp_plus_exp,11,5,-18.929127232964486,-8.929127232964486,3.070872767035514,-6.939650868972633,0.07100447295433636,8.01098904233977e+17,,12.571428572188621,0.001510132000673509
RD,broken_stick,11,4,5.93491649196924,13.93491649196924,20.601583158635908,15.526497583162723,0.5233963799265536,2468.951157997946,,30.102138963789017,2.3565112486972226e-07
RD,quadratic,11,3,92.93005947341517,98.93005947341517,102.3586309019866,100.12374529181028,0.9171921885242643,148818.9271221993,,111.85918670713971,4.158648089888926e-25
RD,linear,11,2,197.35418656480965,201.35418656480965,202.85418656480965,202.14997711040638,1.4888477603999002,503.27051577097876,,212.35474236996276,6.2606515271867495e-47
RD,constant,11,1,289.2051929533514,291.2051929533514,291.64963739779586,291.6030882261498,1.8280459459369554,1.0,,301.15019320294897,3.272897269985543e-66
