DistType,Model,Parameter,Estimate
CD,constant,baseline,0.1429984813713495
CD,linear,baseline,0.9632006132451351
CD,linear,slope,-0.12039266381401324
CD,quadratic,baseline,1.8095384327864896
CD,quadratic,slope,-0.4891736818761192
CD,quadratic,quadratic,0.032015655351455126
CD,exponential,baseline,0.12209805294787662
CD,exponential,amplitude,10.926889528295751
CD,exponential,rate,3.734010415042585
CD,power_law,baseline,0.04612951961543875
CD,power_law,amplitude,9.988889416874027
CD,power_law,alpha,3.2641961167646274
CD,log_normal,baseline,0.06298350601750259
CD,log_normal,amplitude,1004.3047408316488
CD,log_normal,mu,-2.9999999999999996
CD,log_normal,sigma,0.9898085950071012
CD,log_cauchy,baseline,-0.10489599870921089
CD,log_cauchy,amplitude,409.9756524691353
CD,log_cauchy,mu,-0.3126854795362464
CD,log_cauchy,sigma,0.050000000000000086
CD,zipf_alekseev,baseline,0.04612926517423626
CD,zipf_alekseev,amplitude,9.988885434475975
CD,zipf_alekseev,alpha,3.264192607486661
CD,zipf_alekseev,beta,3.3167519903387445e-23
CD,broken_stick,baseline,3.7142664326701254
CD,broken_stick,slope_1,-1.504815459289757
CD,broken_stick,slope_2,-0.04930199771542708
CD,broken_stick,knot,2.3207683966728454
CD,exp_plus_exp,baseline,0.007384882647891579
CD,exp_plus_exp,amplitude,10.110595270923096
CD,exp_plus_exp,rate_1,0.3435748126859163
CD,exp_plus_exp,rate_2,9.999999999999607
CD,exp_plus_exp,exp_weight,0.09242429535670003
CD,exp_plus_power,baseline,0.005774105513159718
CD,exp_plus_power,amplitude,10.110207219522213
CD,exp_plus_power,rate,0.34076583071318034
CD,exp_plus_power,alpha,9.999999999999703
CD,exp_plus_power,power_weight,0.9080777265224209
RD,constant,baseline,0.04684066234389149
RD,linear,baseline,0.9539818936583868
RD,linear,slope,-0.12894509530839104
RD,quadratic,baseline,2.727351953812934
RD,quadratic,slope,-0.8298500890116073
RD,quadratic,quadratic,0.05892524746797322
RD,exponential,baseline,0.03874885778072042
RD,exponential,amplitude,5.608444961542313
RD,exponential,rate,0.9332228014207401
RD,power_law,baseline,-0.08509444077738645
RD,power_law,amplitude,5.937963621295364
RD,power_law,alpha,1.7676801783759726
RD,log_normal,baseline,0.02876153058094072
RD,log_normal,amplitude,5.832634852980832
RD,log_normal,mu,-0.20825166260489367
RD,log_normal,sigma,0.6679206674772394
RD,log_cauchy,baseline,-0.1792909622898554
RD,log_cauchy,amplitude,8.331072212355023
RD,log_cauchy,mu,0.21049392281256643
RD,log_cauchy,sigma,0.31596832823702203
RD,zipf_alekseev,baseline,0.028761405814506254
RD,zipf_alekseev,amplitude,5.555909662940104
RD,zipf_alekseev,alpha,0.46681213156722073
RD,zipf_alekseev,beta,1.1207761959221094
RD,broken_stick,baseline,4.373220839998141
RD,broken_stick,slope_1,-1.3998962221341538
RD,broken_stick,slope_2,-0.014713671608293266
RD,broken_stick,knot,3.059836391600131
RD,exp_plus_exp,baseline,0.03874868714259968
RD,exp_plus_exp,amplitude,5.608443868885279
RD,exp_plus_exp,rate_1,0.9332147575971766
RD,exp_plus_exp,rate_2,0.933241438342773
RD,exp_plus_exp,exp_weight,0.7438031194217768
RD,exp_plus_power,baseline,0.03874884985050893
RD,exp_plus_power,amplitude,5.608444886120084
RD,exp_plus_power,rate,0.9332227655385351
RD,exp_plus_power,alpha,0.000263207894999562
RD,exp_plus_power,power_weight,2.6100116122144056e-15
