DistType,Distance,Position,Estimate,SE,T,P,CILow,CIHigh
CD,0,K,10.201442061774443,0.7840388073779315,13.011399392194916,1.623868986182575e-17,8.62585708951941,11.777027034029476
CD,1,K+1,0.5550502405325588,0.2481171549973137,2.237049028466283,0.02986532774893794,0.056440149942999784,1.0536603311221178
CD,2,K+2,0.5464666065553629,0.17114921489802867,3.1929249975289093,0.002461355828597218,0.20252938244217378,0.8904038306685521
CD,3,K+3,0.3817148434770097,0.12877240833723597,2.9642595677589156,0.004674685447698321,0.12293700045700545,0.640492686497014
CD,4,K+4,0.4376463913784452,0.13813373701039117,3.1682802539796855,0.00264072811049669,0.16005625407024032,0.71523652868665
CD,5,K+5,0.04496453187542926,0.14418665538881673,0.31184946869165503,0.7564780327558555,-0.24478940031842406,0.3347184640692826
CD,6,K+6,0.30073123746333685,0.14387364259806207,2.090245524008076,0.04180672153019099,0.011606328022688794,0.5898561469039849
CD,7,K+7,0.010868830300136523,0.08129584739832212,0.13369477836774288,0.8941915304450699,-0.15250129151296912,0.17423895211324217
CD,8,K+8,0.13936471156945274,0.13003629817151702,1.071736995970399,0.2890885698699898,-0.1219530131639821,0.4006824363028876
CD,9,K+9,0.02638250616343818,0.15925719481104844,0.1656597442567028,0.8691063456666052,-0.29365680886351203,0.3464218211903884
CD,10,K+10,0.14670600820773672,0.11200480755667776,1.3098188498158807,0.19636501118652744,-0.07837607949758885,0.3717880959130623
RD,0,K,5.660019026519302,0.41614947078933756,13.600928089091592,1.4066001407424388e-21,4.83044021821514,6.489597834823465
RD,1,K+1,2.1576084705699348,0.43672902726123786,4.940382561929688,4.899709269523818e-06,1.2870050662209778,3.0282118749188918
RD,2,K+2,0.8175810363476934,0.18937453436549864,4.317270213162542,4.9606499462421094e-05,0.4400698016365153,1.1950922710588716
RD,3,K+3,0.44723540023577435,0.12886191176165251,3.470656256155787,0.000881283071259414,0.19035387400852316,0.7041169264630256
RD,4,K+4,0.13758060700792996,0.09687074483937227,1.4202492944186749,0.15985101383900174,-0.0555276935047572,0.3306889075206171
RD,5,K+5,0.030158789696209887,0.09934112877828259,0.30358815192769417,0.7623172373230667,-0.16787413119436162,0.2281917105867814
RD,6,K+6,0.19545730292898789,0.12002492403422128,1.6284726235132583,0.10779292423439019,-0.043808010224591076,0.43472261608256685
RD,7,K+7,-0.037901778909880335,0.0957907200314038,-0.39567276347285735,0.693516450290673,-0.22885708931679136,0.1530535314970307
RD,8,K+8,0.011413961887286384,0.0579816179459654,0.19685483592271183,0.8444957660269166,-0.10417028102410379,0.12699820479867657
RD,9,K+9,0.09838754153057838,0.1334346752313207,0.7373461310563763,0.4633080627674985,-0.16760962207241864,0.3643847051335754
RD,10,K+10,0.057361355302603556,0.10833029331231236,0.5295042923703052,0.598084592741175,-0.15859113758128535,0.27331384818649246
