DistType,Condition,Position,Offset,Mean,SD,N,SE,CI95
CD,CD,K-3,-3,-0.017048021053067103,0.25226336713338376,1708,0.006103939987490495,0.01196372237548137
CD,CD,K-2,-2,-0.020227174329081752,0.23224464070061154,1743,0.005562845617833227,0.010903177410953124
CD,CD,K-1,-1,-0.015756336498170074,0.24766933858004886,1742,0.005934008567286023,0.011630656791880604
CD,CD,K,0,0.013608370048549473,0.2896295669104413,1776,0.006872605480984469,0.013470306742729558
CD,CD,K+1,1,0.0872645638808426,0.34635993416100275,1740,0.008303343876754733,0.016274553998439276
CD,CD,K+2,2,0.05560777940292604,0.34185026097448956,1682,0.008335332333981123,0.016337251374603002
CD,CD,K+3,3,0.03825788580279801,0.31960599075907115,1519,0.008200418642835657,0.01607282053995789
CD,CD,K_END,4,0.05361229366750672,0.3130954755295162,1573,0.007894278259702459,0.015472785389016818
CD,Original,K-3,-3,-0.015876409931377528,0.23530499032822091,1687,0.005728931064353031,0.011228704886131941
CD,Original,K-2,-2,-0.011493083732962825,0.2503576814583483,1719,0.00603841535143834,0.011835294088819146
CD,Original,K-1,-1,-0.02819106262583493,0.22658376910045697,1720,0.005463419813450669,0.010708302834363312
CD,Original,K,0,0.00974176487132337,0.27190440858004267,1750,0.006499758562780303,0.012739526783049394
CD,Original,K+1,1,0.026187473251798293,0.25403436792394957,1720,0.006125312525796113,0.01200561255056038
CD,Original,K+2,2,-0.018819455668156463,0.24500916216775642,1657,0.006018954648027066,0.011797151110133049
CD,Original,K+3,3,-0.014100898673407749,0.23534015376059825,1496,0.006084574823557018,0.011925766654171756
CD,Original,K_END,4,0.01548707341620767,0.2660858958853572,1558,0.006741214221806273,0.013212779874740295
RD,Original,K-3,-3,-0.009380318804658951,0.2574527684609965,2107,0.00560873987406758,0.010993130153172458
RD,Original,K-2,-2,0.002925201499358027,0.2585832733246082,2372,0.0053093711594975135,0.010406367472615126
RD,Original,K-1,-1,0.009107763353890031,0.26253504402823136,2569,0.005179707438519974,0.010152226579499149
RD,Original,K,0,-0.0082026485825206,0.2489328901401976,2696,0.004794268330569469,0.00939676592791616
RD,Original,K+1,1,-0.011608279442230012,0.24032014051265183,2581,0.004730381494151344,0.009271547728536634
RD,Original,K+2,2,0.0032776206554040264,0.2572021116900329,2360,0.005294421682931958,0.010377066498546637
RD,Original,K+3,3,-0.0017904808195393779,0.24342081306226462,2193,0.005198025346417968,0.010188129678979217
RD,Original,K_END,4,0.018837787266266972,0.2703391963440309,2272,0.00567159034972048,0.01111631708545214
RD,RD,K-3,-3,0.004956438406886071,0.2620553210288481,2095,0.0057253358659400825,0.011221658297242561
RD,RD,K-2,-2,0.010824847294454955,0.2559962727792591,2336,0.0052966005703093235,0.010381337117806274
RD,RD,K-1,-1,0.007894133479053418,0.2657030838935007,2531,0.005281417772013793,0.010351578833147034
RD,RD,K,0,-0.0004308917552375279,0.27059851506608246,2652,0.005254587751852553,0.010298991993631004
RD,RD,K+1,1,0.0263397682261259,0.28167015114043253,2533,0.005596586646676,0.010969309827484959
RD,RD,K+2,2,0.030679837284274356,0.2950250312340705,2302,0.006149024244133104,0.012052087518500884
RD,RD,K+3,3,0.020200559847666895,0.2729984828383965,2151,0.00588626795657169,0.011537085194880512
RD,RD,K_END,4,0.05702478060012123,0.3095346445921838,2269,0.0064981841787791145,0.012736440990407064
