Participant,Story,Story_Version,Word,RT,Word_Condition,WordIndex,SentenceIndex,log_RT,N_Observations,RT_Replaced,StoryNumber,VersionOrder,FreqH,Length,prev_index,lag1_logRT,item_uid,resid_logRT,PositionInSentence,SentenceLength,RelativePosition,RelativeBin,DistType,MapSentenceIndex,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,Offset,ItemID,Condition
P002,Story3,CD,only,249.1000001430511,K-3,43,3,5.517854422842406,1,False,3,1,9.565246355078358,4,42.0,5.301811256515055,Story3_CD_w43,0.20134401772044974,3,23,0.13636363636363635,0.15,CD,3,K-3,43,43,only,only,-3,CD_Story3_s3_d43_o43_K-3,CD
P002,Story3,CD,provided,229.399999999996,K-2,44,3,5.435467204695253,1,False,3,1,13.21732305165805,8,43.0,5.517854422842406,Story3_CD_w44,0.029516505169004503,4,23,0.18181818181818182,0.15,CD,3,K-2,44,44,provided,provided,-2,CD_Story3_s3_d44_o44_K-2,CD
P002,Story3,CD,enough,526.1000000476834,K-1,45,3,6.2654913088273965,1,False,3,1,11.492776716745913,6,44.0,5.435467204695253,Story3_CD_w45,0.8936483164390214,5,23,0.22727272727272727,0.25,CD,3,K-1,45,45,enough,enough,-1,CD_Story3_s3_d45_o45_K-1,CD
P002,Story3,CD,light,247.4000001430468,K,46,3,5.511006460536588,1,False,3,1,12.190101582923027,5,45.0,6.2654913088273965,Story3_CD_w46,-0.20446045432176074,6,23,0.2727272727272727,0.25,CD,3,K,46,46,light,space,0,CD_Story3_s3_d46_o46_K,CD
P002,Story3,CD,for,265.3999998092677,K+1,47,3,5.581238121179447,1,False,3,1,6.6152870375779536,3,46.0,5.511006460536588,Story3_CD_w47,0.17812242807860024,7,23,0.3181818181818182,0.35,CD,3,K+1,47,47,for,for,1,CD_Story3_s3_d47_o47_K+1,CD
P002,Story3,CD,one,265.5000000476794,K+2,48,3,5.581614840861577,1,False,3,1,8.405069330187608,3,47.0,5.581238121179447,Story3_CD_w48,0.14942375273119346,8,23,0.36363636363636365,0.35,CD,3,K+2,48,48,one,one,2,CD_Story3_s3_d48_o48_K+2,CD
P002,Story3,CD,"person,",245.0,K+3,49,3,5.5012582105447265,1,False,3,1,11.45989335493213,6,48.0,5.581614840861577,Story3_CD_w49,0.06891116321484336,9,23,0.4090909090909091,0.45,CD,3,K+3,49,49,"person,","person,",3,CD_Story3_s3_d49_o49_K+3,CD
P002,Story3,CD,it.,279.9000001430541,K_END,62,3,5.634432397032498,1,False,3,1,6.81035885291489,2,61.0,5.665734407183776,Story3_CD_w62,0.1672604630611234,22,23,1.0,0.95,CD,3,K_END,62,62,it.,it.,4,CD_Story3_s3_d62_o62_K_END,CD
P002,Story3,CD,"donkey,",277.3000001907312,K-3,72,4,5.625099953309547,1,False,3,1,17.871521185654235,6,71.0,6.217204724459701,Story3_CD_w72,-0.07037666796515385,9,23,0.4090909090909091,0.45,CD,4,K-3,72,72,"donkey,","donkey,",-3,CD_Story3_s4_d72_o72_K-3,CD
P002,Story3,CD,not,358.7999999999956,K-2,73,4,5.882765130184628,1,False,3,1,7.673002535434241,3,72.0,5.625099953309547,Story3_CD_w73,0.43241556360978617,10,23,0.45454545454545453,0.45,CD,4,K-2,73,73,not,not,-2,CD_Story3_s4_d73_o73_K-2,CD
