DistType,Condition,Position,NObservations,NParticipants,NItems
CD,CD,K-3,1708,99,54
CD,CD,K-2,1743,99,55
CD,CD,K-1,1742,99,55
CD,CD,K,1776,99,56
CD,CD,K+1,1740,99,55
CD,CD,K+2,1682,99,53
CD,CD,K+3,1519,99,48
CD,CD,K_END,1573,99,50
CD,Original,K-3,1687,99,54
CD,Original,K-2,1719,99,55
CD,Original,K-1,1720,99,55
CD,Original,K,1750,99,56
CD,Original,K+1,1720,99,55
CD,Original,K+2,1657,99,53
CD,Original,K+3,1496,99,48
CD,Original,K_END,1558,99,50
RD,Original,K-3,2107,99,68
RD,Original,K-2,2372,99,76
RD,Original,K-1,2569,99,82
RD,Original,K,2696,99,86
RD,Original,K+1,2581,99,82
RD,Original,K+2,2360,99,75
RD,Original,K+3,2193,99,70
RD,Original,K_END,2272,99,73
RD,RD,K-3,2095,99,68
RD,RD,K-2,2336,99,76
RD,RD,K-1,2531,99,82
RD,RD,K,2652,99,86
RD,RD,K+1,2533,99,82
RD,RD,K+2,2302,99,75
RD,RD,K+3,2151,99,70
RD,RD,K_END,2269,99,73
