DistType,Distance,Position,Estimate,SE,T,P,CILow,CIHigh
CD,0,K,0.0359575313898501,0.004414696431256609,8.144961256059698,1.1478934611456081e-10,0.02708586676215399,0.0448291960175462
CD,1,K+1,0.01420717278218993,0.0031235061687938438,4.548469576954957,3.5676773069542065e-05,0.007930252132361398,0.02048409343201846
CD,2,K+2,0.009413228396369334,0.001954117356059712,4.817125423495646,1.444108179915191e-05,0.005486282547187275,0.013340174245551393
CD,3,K+3,0.007395537932679901,0.0016137960474097816,4.582696769241743,3.1822832893418095e-05,0.004152493358028159,0.010638582507331643
CD,4,K+4,0.003460222528800452,0.0014240542236609456,2.429839026708508,0.018815496954347734,0.0005984784246021121,0.006321966632998792
CD,5,K+5,0.0020038103537904275,0.001158172919235332,1.7301478220656517,0.08989851568912957,-0.0003236252650185788,0.004331245972599434
CD,6,K+6,0.003420264714186874,0.0012329795421914958,2.773983344531168,0.007813474045940776,0.000942499558311897,0.005898029870061851
CD,7,K+7,0.0025550347709470383,0.001382148807674972,1.8485960098935192,0.07055484177631592,-0.00022249724698428924,0.005332566788878366
CD,8,K+8,0.003768493943850674,0.0016982025996064372,2.219107393148516,0.03114129236805547,0.000355828052053077,0.007181159835648271
CD,9,K+9,0.003979769483002283,0.003156667186300001,1.2607504206571294,0.21336908006491626,-0.002363790726444631,0.010323329692449198
CD,10,K+10,0.0021754591498774813,0.0015486466701366084,1.4047485406633011,0.1664039117528562,-0.0009366628494917009,0.005287581149246663
RD,0,K,0.08979105016063829,0.008559710511549745,10.489963421015453,3.761273539433629e-16,0.07272757911469122,0.10685452120658537
RD,1,K+1,0.011171707036866532,0.004842215898816021,2.307147651057473,0.023925380762268505,0.0015189260606659257,0.02082448801306714
RD,2,K+2,-0.0023965390913844673,0.004263736742465305,-0.5620748268803251,0.5758107396319528,-0.010896142945326625,0.006103064762557691
RD,3,K+3,-0.005071254232874226,0.004380240052240766,-1.1577571485562677,0.25078936838163707,-0.013803103190249286,0.003660594724500834
RD,4,K+4,-0.006662965147336825,0.004498801343203239,-1.4810534271319162,0.1429554672780832,-0.01563116171866197,0.0023052314239883215
RD,5,K+5,-0.006627648890315746,0.004187229729431615,-1.5828242820618779,0.11784457920759805,-0.014974738801181118,0.0017194410205496249
RD,6,K+6,-0.007142683512795936,0.004262680496955106,-1.6756319217210998,0.09814818412375714,-0.01564018177979606,0.001354814754204188
RD,7,K+7,-0.006863359472330169,0.004022385847449496,-1.7062906773804583,0.09226418231533112,-0.014881839110277077,0.0011551201656167381
RD,8,K+8,-0.007559752685812724,0.0045088061046020134,-1.676663957249502,0.09794525356774754,-0.016547893384479474,0.001428388012854026
RD,9,K+9,-0.00838419274754667,0.004265481577147949,-1.9655911286698458,0.05320322902694388,-0.016887274865858524,0.00011888937076518467
RD,10,K+10,-0.008241430099229891,0.004239839255711759,-1.9438072063999439,0.05582709641170169,-0.01669339518399407,0.0002105349855342862
