DistType,Model,NDistances,NParameters,Minus2LogLik,AIC,AICc,BIC,RawRMSE,ParamCovCondition,Error,DeltaAICc,AkaikeWeight
CD,power_law,11,3,-114.82212477107277,-108.82212477107277,-105.39355334250133,-107.62843895267766,0.0020650139349563746,116286.92088544136,,0.0,0.6480762743166171
CD,exponential,11,3,-112.56884197597861,-106.56884197597861,-103.14027054740718,-105.3751561575835,0.0024108760423412466,27371.554419083044,,2.253282795094151,0.2100544954419134
CD,zipf_alekseev,11,4,-114.83990588273197,-106.83990588273197,-100.1732392160653,-105.2483247915385,0.0020590968427989472,645603.5409179586,,5.220314126436037,0.04764850873967
CD,log_normal,11,4,-114.77892136900395,-106.77892136900395,-100.11225470233728,-105.18734027781048,0.002064594558087237,76125133.15376684,,5.281298640164053,0.04621752599169202
CD,log_cauchy,11,4,-114.71466970680792,-106.71466970680792,-100.04800304014125,-105.12308861561445,0.0020913200853148496,497044.8301704522,,5.345550302360081,0.044756346035866444
CD,exp_plus_exp,11,5,-115.13549428257085,-105.13549428257085,-93.13549428257085,-103.14601791857899,0.001936129873438085,2248508628.305532,,12.258059059930488,0.0014119600800311838
CD,exp_plus_power,11,5,-115.13471721848911,-105.13471721848911,-93.13471721848911,-103.14524085449726,0.0019361536451853133,132574490305.84589,,12.25883612401222,0.0014114115948586
CD,broken_stick,11,4,-105.02407650801256,-97.02407650801256,-90.35740984134588,-95.43249541681908,0.0036711450628218404,1286678.7561676358,,15.03614350115545,0.00035202138447718885
CD,quadratic,11,3,-96.59677229977626,-90.59677229977626,-87.16820087120483,-89.40308648138115,0.004599630952898961,70960.0615592644,,18.225352471296503,7.14563976094567e-05
CD,linear,11,2,-62.137601629756915,-58.137601629756915,-56.637601629756915,-57.34181108416017,0.008996905709576633,155.03276836168732,,48.75595171274442,1.676508378095068e-11
CD,constant,11,1,-52.05517043723063,-50.05517043723063,-49.610725992786186,-49.65727516443226,0.010429355627758756,1.0,,55.78282734971515,4.995041157403191e-13
RD,power_law,11,3,-125.87980577508198,-119.87980577508198,-116.45123434651055,-118.68611995668687,0.0008318164512054135,110787.88376920068,,0.0,0.7477206250094508
RD,log_cauchy,11,4,-127.73949285424705,-119.73949285424705,-113.07282618758038,-118.14791176305357,0.000589351114989971,193404.75677096346,,3.3784081589301707,0.1380789099221614
RD,zipf_alekseev,11,4,-125.87980577508198,-117.87980577508198,-111.2131391084153,-116.2882246838885,0.000831816510822512,1441904.0553338628,,5.238095238095241,0.05448807079326259
RD,log_normal,11,4,-125.01346535436488,-117.01346535436488,-110.34679868769821,-115.42188426317139,0.0005592298371188164,750994073.5508268,,6.104435658812335,0.03533279547154481
RD,exponential,11,3,-118.1043130317351,-112.1043130317351,-108.67574160316367,-110.91062721333999,0.0008360074933683758,59602.03070195327,,7.775492743346874,0.01532189790162237
RD,exp_plus_power,11,5,-128.24686150215499,-118.24686150215499,-106.24686150215499,-116.25738513816313,0.0006278117141791664,89907994.17579553,,10.20437284435556,0.004548706878549295
RD,exp_plus_exp,11,5,-128.22932366996432,-118.22932366996432,-106.22932366996432,-116.23984730597246,0.000634353033247646,469912.0661122181,,10.22191067654623,0.004508994023409006
RD,broken_stick,11,4,31.431942019162506,39.431942019162506,46.09860868582917,41.02352311035599,0.021910341816868722,2146223.9268611856,,162.5498430323397,3.77128565120269e-36
RD,quadratic,11,3,71.81584467384064,77.81584467384064,81.24441610241207,79.00953049223575,0.02565088114286701,83618.29424220198,,197.6956504489226,8.80388411248844e-44
RD,linear,11,2,104.78547999585982,108.78547999585982,110.28547999585982,109.58127054145656,0.02868942979272555,184.56513684661428,,226.73671434237036,4.349981585032537e-50
RD,constant,11,1,139.7826609581395,141.7826609581395,142.22710540258396,142.18055623093787,0.03017018375146344,1.0,,258.6783397490945,5.040244331407112e-57
