DistType,Model,Parameter,Estimate
CD,constant,baseline,0.008859341145623856
CD,linear,baseline,0.012588178476298274
CD,linear,slope,-0.0006079541963427645
CD,quadratic,baseline,0.027786327597329307
CD,quadratic,slope,-0.006106410410519659
CD,quadratic,quadratic,0.00040723095946232287
CD,exponential,baseline,0.006105452472637357
CD,exponential,amplitude,0.030612242540573847
CD,exponential,rate,0.8143449354410708
CD,power_law,baseline,0.005077018897747922
CD,power_law,amplitude,0.03414141833703011
CD,power_law,alpha,1.5059604228958257
CD,log_normal,baseline,0.005571942211484259
CD,log_normal,amplitude,0.2331244741961618
CD,log_normal,mu,-2.999999999999294
CD,log_normal,sigma,1.520899577677698
CD,log_cauchy,baseline,0.003572981900575354
CD,log_cauchy,amplitude,0.039730129351397435
CD,log_cauchy,mu,-0.2230538526353699
CD,log_cauchy,sigma,0.6588459288997975
CD,zipf_alekseev,baseline,0.005321542322725941
CD,zipf_alekseev,amplitude,0.03379935426976171
CD,zipf_alekseev,alpha,1.4346180609155383
CD,zipf_alekseev,beta,0.08126042766890304
CD,broken_stick,baseline,0.03265839291737118
CD,broken_stick,slope_1,-0.010943827606789634
CD,broken_stick,slope_2,-0.0005338494082838234
CD,broken_stick,knot,2.1900916308463487
CD,exp_plus_exp,baseline,0.006198175899448315
CD,exp_plus_exp,amplitude,0.03292725645316175
CD,exp_plus_exp,rate_1,0.5843782249861178
CD,exp_plus_exp,rate_2,4.796528769882857
CD,exp_plus_exp,exp_weight,0.5885799437293346
CD,exp_plus_power,baseline,0.006205303814750402
CD,exp_plus_power,amplitude,0.032906052643459124
CD,exp_plus_power,rate,0.5885742219851194
CD,exp_plus_power,alpha,9.175964841507177
CD,exp_plus_power,power_weight,0.40495602446860923
RD,constant,baseline,0.003971267577379199
RD,linear,baseline,0.008173158069611079
RD,linear,slope,-0.0006474483149637284
RD,quadratic,baseline,0.017476935611519133
RD,quadratic,slope,-0.0038807113250856895
RD,quadratic,quadratic,0.00024784775845279367
RD,exponential,baseline,0.004992425417561976
RD,exponential,amplitude,0.0977669398049183
RD,exponential,rate,1.623210902224697
RD,power_law,baseline,0.003839256448119106
RD,power_law,amplitude,0.09909395815372714
RD,power_law,alpha,2.522501362893059
RD,log_normal,baseline,0.004306729354415413
RD,log_normal,amplitude,2.6082329765083463
RD,log_normal,mu,-2.9999999999525713
RD,log_normal,sigma,1.1720784725604931
RD,log_cauchy,baseline,0.002762229092008096
RD,log_cauchy,amplitude,0.18007498038462946
RD,log_cauchy,mu,0.16536575396111008
RD,log_cauchy,sigma,0.1861253570984885
RD,zipf_alekseev,baseline,0.00383925647286538
RD,zipf_alekseev,amplitude,0.09909395832805372
RD,zipf_alekseev,alpha,2.522501381122619
RD,zipf_alekseev,beta,8.819874169917677e-17
RD,broken_stick,baseline,0.029446316789743052
RD,broken_stick,slope_1,-0.007208182005336323
RD,broken_stick,slope_2,-0.00028256394662877146
RD,broken_stick,knot,3.325560948454391
RD,exp_plus_exp,baseline,0.0023090959632180476
RD,exp_plus_exp,amplitude,0.1011363120654107
RD,exp_plus_exp,rate_1,0.15528645668777663
RD,exp_plus_exp,rate_2,1.8775527877517142
RD,exp_plus_exp,exp_weight,0.06450502500770033
RD,exp_plus_power,baseline,-0.029549641740838045
RD,exp_plus_power,amplitude,0.13297808391563154
RD,exp_plus_power,rate,1.8988931883316855
RD,exp_plus_power,alpha,0.07868026046736218
RD,exp_plus_power,power_weight,0.30178207046026
