DistType,Story,SentenceIndex,PositionUnitID,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,DistSurprisal,OriginalSurprisal,DeltaSurprisal,RepresentationDistance
CD,Story1,1,CD_Story1_s1,K-3,15,15,by,by,0.46509411931037903,0.46509411931037903,0.0,5.960464477539063e-08
CD,Story1,1,CD_Story1_s1,K-2,16,16,the,the,2.04238224029541,2.04238224029541,0.0,5.960464477539063e-08
CD,Story1,1,CD_Story1_s1,K-1,17,17,rushing,rushing,16.35021209716797,16.35021209716797,0.0,5.960464477539063e-08
CD,Story1,1,CD_Story1_s1,K,18,18,"mountain,","current,",18.42430305480957,6.9496965408325195,11.47460651397705,0.04398244619369507
CD,Story1,1,CD_Story1_s1,K+1,19,19,nearly,nearly,21.79825210571289,21.636531829833984,0.16172027587890625,0.005877554416656494
CD,Story1,1,CD_Story1_s1,K+2,20,20,drowning.,drowning.,3.104384660720825,2.7259185314178467,0.3784661293029785,0.007535874843597412
CD,Story1,1,CD_Story1_s1,K_END,20,20,drowning.,drowning.,3.104384660720825,2.7259185314178467,0.3784661293029785,0.007535874843597412
CD,Story1,2,CD_Story1_s2,K-3,23,23,perched,perched,4.6491618156433105,4.465567588806152,0.1835942268371582,0.0022141337394714355
CD,Story1,2,CD_Story1_s2,K-2,24,24,on,on,0.5385183095932007,0.5032099485397339,0.0353083610534668,0.002782285213470459
CD,Story1,2,CD_Story1_s2,K-1,25,25,a,a,4.628676414489746,4.821561813354492,-0.1928853988647461,0.006981074810028076
CD,Story1,2,CD_Story1_s2,K,26,26,spoon,tree,22.346586227416992,8.847896575927734,13.498689651489258,0.08696931600570679
CD,Story1,2,CD_Story1_s2,K+1,27,27,hanging,hanging,4.280716896057129,10.37745475769043,-6.096737861633301,0.041768014430999756
CD,Story1,2,CD_Story1_s2,K+2,28,28,over,over,1.5799472332000732,0.4381587505340576,1.1417884826660156,0.01838761568069458
CD,Story1,2,CD_Story1_s2,K+3,29,29,the,the,1.954110860824585,2.2810065746307373,-0.32689571380615234,0.020190834999084473
CD,Story1,2,CD_Story1_s2,K_END,34,34,struggle.,struggle.,4.930441856384277,5.076349258422852,-0.14590740203857422,0.0029414892196655273
CD,Story1,4,CD_Story1_s4,K-3,50,50,climbed,climbed,2.8104004859924316,3.035712242126465,-0.2253117561340332,0.0010622739791870117
CD,Story1,4,CD_Story1_s4,K-2,51,51,onto,onto,0.9743216037750244,0.6975120306015015,0.27680957317352295,0.0012616515159606934
CD,Story1,4,CD_Story1_s4,K-1,52,52,the,the,0.0848626047372818,0.07737834006547928,0.007484264671802521,0.0064699649810791016
CD,Story1,4,CD_Story1_s4,K,53,53,drop,leaf,20.294788360595703,0.047089431434869766,20.247698929160833,0.07261121273040771
CD,Story1,4,CD_Story1_s4,K+1,54,54,and,and,1.211775302886963,0.8011637926101685,0.41061151027679443,0.00904613733291626
CD,Story1,4,CD_Story1_s4,K+2,55,55,floated,floated,8.459409713745117,7.331836700439453,1.127573013305664,0.0042931437492370605
CD,Story1,4,CD_Story1_s4,K+3,56,56,safely,safely,5.183093070983887,4.136104583740234,1.0469884872436523,0.0029013752937316895
CD,Story1,4,CD_Story1_s4,K_END,59,59,shore.,shore.,4.681576251983643,4.572170257568359,0.1094059944152832,0.001515209674835205
RD,Story1,2,RD_Story1_s2,K-3,29,29,the,the,2.2810065746307373,2.2810065746307373,0.0,-1.1920928955078125e-07
RD,Story1,2,RD_Story1_s2,K-2,30,30,"water,","water,",5.285863399505615,5.285863399505615,0.0,0.0
RD,Story1,2,RD_Story1_s2,K-1,31,31,noticed,noticed,2.1207547187805176,2.1207547187805176,0.0,0.0
RD,Story1,2,RD_Story1_s2,K,32,32,an,the,5.042844772338867,1.792844533920288,3.250000238418579,0.1671360731124878
RD,Story1,2,RD_Story1_s2,K+1,33,33,ant's,ant's,3.9242606163024902,3.688216209411621,0.23604440689086914,0.05832570791244507
RD,Story1,2,RD_Story1_s2,K+2,34,34,struggle.,struggle.,6.465392589569092,5.076349258422852,1.3890433311462402,0.004193127155303955
RD,Story1,2,RD_Story1_s2,K_END,34,34,struggle.,struggle.,6.465392589569092,5.076349258422852,1.3890433311462402,0.004193127155303955
RD,Story1,3,RD_Story1_s3,K-1,35,35,Plucking,Plucking,14.855947494506836,15.697227478027344,-0.8412799835205078,0.0014556050300598145
RD,Story1,3,RD_Story1_s3,K,36,36,another,a,5.900154113769531,3.0318422317504883,2.868311882019043,0.1940973997116089
RD,Story1,3,RD_Story1_s3,K+1,37,37,"leaf,","leaf,",7.011177062988281,4.410533905029297,2.6006431579589844,0.004280686378479004
RD,Story1,3,RD_Story1_s3,K+2,38,38,the,the,10.431779861450195,10.775500297546387,-0.3437204360961914,0.0033539533615112305
RD,Story1,3,RD_Story1_s3,K+3,39,39,dove,dove,14.345842361450195,13.344637870788574,1.001204490661621,0.0041463375091552734
RD,Story1,3,RD_Story1_s3,K_END,47,47,ant.,ant.,2.03659725189209,1.7955607175827026,0.2410365343093872,0.002420365810394287
RD,Story1,5,RD_Story1_s5,K-3,70,70,lime-twigs,lime-twigs,23.962722778320312,24.16595458984375,-0.2032318115234375,0.0003921985626220703
RD,Story1,5,RD_Story1_s5,K-2,71,71,to,to,12.711441040039062,12.676414489746094,0.03502655029296875,0.0003972053527832031
RD,Story1,5,RD_Story1_s5,K-1,72,72,trap,trap,2.8392317295074463,2.9315996170043945,-0.09236788749694824,0.0008112788200378418
RD,Story1,5,RD_Story1_s5,K,73,73,a,the,8.623224258422852,2.7049899101257324,5.918234348297119,0.1800709366798401
RD,Story1,5,RD_Story1_s5,K+1,74,74,dove.,dove.,23.980499267578125,13.016228675842285,10.96427059173584,0.002604365348815918
RD,Story1,5,RD_Story1_s5,K_END,74,74,dove.,dove.,23.980499267578125,13.016228675842285,10.96427059173584,0.002604365348815918
RD,Story1,6,RD_Story1_s6,K-3,77,77,the,the,8.060531616210938,7.452978134155273,0.6075534820556641,0.009160935878753662
RD,Story1,6,RD_Story1_s6,K-2,78,78,ant,ant,0.24025645852088928,0.07544055581092834,0.16481590270996094,0.0023712515830993652
RD,Story1,6,RD_Story1_s6,K-1,79,79,stung,stung,10.822426795959473,10.919023513793945,-0.09659671783447266,0.0014148950576782227
RD,Story1,6,RD_Story1_s6,K,80,80,a,the,7.131068229675293,0.48322269320487976,6.647845536470413,0.15165692567825317
RD,Story1,6,RD_Story1_s6,K+1,81,81,birdcatcher’s,birdcatcher’s,16.341121673583984,5.506893157958984,10.834228515625,0.007449090480804443
RD,Story1,6,RD_Story1_s6,K+2,82,82,foot.,foot.,4.5291972160339355,4.423779010772705,0.10541820526123047,0.005428612232208252
RD,Story1,6,RD_Story1_s6,K_END,82,82,foot.,foot.,4.5291972160339355,4.423779010772705,0.10541820526123047,0.005428612232208252
RD,Story1,7,RD_Story1_s7,K-3,84,84,and,and,4.008350372314453,4.217881679534912,-0.20953130722045898,0.0015499591827392578
RD,Story1,7,RD_Story1_s7,K-2,85,85,in,in,2.7504234313964844,2.481956720352173,0.2684667110443115,0.0008445978164672852
RD,Story1,7,RD_Story1_s7,K-1,86,86,"pain,","pain,",2.271022319793701,1.8910542726516724,0.3799680471420288,0.005263090133666992
RD,Story1,7,RD_Story1_s7,K,87,87,it,he,13.572100639343262,0.7390554547309875,12.833045184612274,0.04665940999984741
RD,Story1,7,RD_Story1_s7,K+1,88,88,dropped,dropped,2.398723602294922,4.942361831665039,-2.543638229370117,0.010506808757781982
RD,Story1,7,RD_Story1_s7,K+2,89,89,the,the,1.614877462387085,0.8540867567062378,0.7607907056808472,0.003041505813598633
