DistType,Distance,Position,Estimate,SE,T,P,CILow,CIHigh
CD,0,K,10.614776084600596,0.9337758773776117,11.367584386963193,2.4127845105236326e-15,8.738283204393918,12.491268964807274
CD,1,K+1,0.46450591981165024,0.4047935928103509,1.147513024074161,0.25674163128219196,-0.34895726044860753,1.277969100071908
CD,2,K+2,0.5699426978771406,0.31924165379651914,1.7853017959881117,0.08040256374360776,-0.07159742425253002,1.211482820006811
CD,3,K+3,0.30304346378138936,0.1893850630282325,1.6001444830747464,0.1159951574979315,-0.07754006916230693,0.6836269967250856
CD,4,K+4,0.42895286874891025,0.2216930844152349,1.9348951271094876,0.058786597776484345,-0.016556063934747955,0.8744618014325685
CD,5,K+5,0.006213037941766336,0.16660698284936043,0.03729158187435592,0.9704040332998072,-0.3285962291251243,0.34102230500865705
CD,6,K+6,0.13063143517638878,0.20615967309458638,0.6336420368519641,0.5292612464712481,-0.28366193876915113,0.5449248091219288
CD,7,K+7,-0.06391846675949572,0.19910932449498886,-0.321021965805044,0.7495589865592157,-0.46404363474615573,0.33620670122716423
CD,8,K+8,-0.1512285528314333,0.23066942939870735,-0.6556072611166773,0.5151434065638066,-0.614776126113807,0.3123190204509404
CD,9,K+9,0.04193301831287358,0.20428549570727472,0.20526674283797583,0.8382140926448292,-0.3685940551651373,0.4524600917908844
CD,10,K+10,-0.13273972569233336,0.3778230725926756,-0.35132773861970495,0.7268487151744594,-0.8920036163906574,0.6265241650059906
RD,0,K,7.322464204315184,0.5826765606055109,12.56694485308584,7.894983854171379e-20,6.16091970960025,8.484008699030118
RD,1,K+1,3.963309382163062,0.7170345241180394,5.5273620012062565,4.918644908911045e-07,2.5339271822950176,5.392691582031106
RD,2,K+2,1.7228486526129292,0.4628986183911355,3.721870371099647,0.0003892891917285869,0.8000771217920836,2.645620183433775
RD,3,K+3,1.202873021716383,0.41975191562602954,2.865676074217279,0.005451373403087292,0.36611287087936517,2.0396331725534007
RD,4,K+4,0.8597584332358637,0.42700394371666384,2.0134671959993695,0.04780412248978633,0.008541628615757912,1.7109752378559695
RD,5,K+5,0.8541208633007618,0.39714758759962654,2.150638427550567,0.03486254615661905,0.06242161683325209,1.6458201097682714
RD,6,K+6,1.0030404952362668,0.41007250478474766,2.4460076779904463,0.016889395068812853,0.1855758972580963,1.8205050932144373
RD,7,K+7,0.7902436214840425,0.38244147191686534,2.0663125720210194,0.0423971692379689,0.027860480837232138,1.5526267621308527
RD,8,K+8,0.9956457115168258,0.41684743131781,2.3885134865032485,0.019540381238282306,0.16467554432818476,1.826615878705467
RD,9,K+9,1.0735423782670879,0.42979265954051776,2.4978145960305356,0.014781666615953029,0.21676637025435586,1.9303183862798199
RD,10,K+10,0.9428779714374411,0.4001529026009755,2.356294219806423,0.021182972593711196,0.14518773900839987,1.7405682038664825
