DistType,Model,Parameter,Estimate
CD,constant,baseline,0.2804389876136555
CD,linear,baseline,1.4717900253663687
CD,linear,slope,-0.18995093320711753
CD,quadratic,baseline,2.8424385677069104
CD,quadratic,slope,-0.7331023297792009
CD,quadratic,quadratic,0.04820359283970593
CD,exponential,baseline,0.1682331799935926
CD,exponential,amplitude,12.377999037475215
CD,exponential,rate,4.704682616526927
CD,power_law,baseline,0.15933415095511802
CD,power_law,amplitude,12.0220957248832
CD,power_law,alpha,4.508549760309065
CD,log_normal,baseline,0.1661811528836206
CD,log_normal,amplitude,25572.711231192392
CD,log_normal,mu,-2.9999999916517197
CD,log_normal,sigma,0.7674535775745033
CD,log_cauchy,baseline,-0.06283500566634605
CD,log_cauchy,amplitude,452.8171437070978
CD,log_cauchy,mu,-0.30963591363930415
CD,log_cauchy,sigma,0.05000000000000763
CD,zipf_alekseev,baseline,0.15933405713640386
CD,zipf_alekseev,amplitude,12.022091895071725
CD,zipf_alekseev,alpha,4.508539707701124
CD,zipf_alekseev,beta,2.2729128042718467e-32
CD,broken_stick,baseline,4.516588322486957
CD,broken_stick,slope_1,-1.6394923599924665
CD,broken_stick,slope_2,-0.1200529344558683
CD,broken_stick,knot,2.342237106141142
CD,exp_plus_exp,baseline,-0.08410700659696242
CD,exp_plus_exp,amplitude,11.317207804940963
CD,exp_plus_exp,rate_1,0.24876313890375903
CD,exp_plus_exp,rate_2,9.99999999999999
CD,exp_plus_exp,exp_weight,0.10270296758989463
CD,exp_plus_power,baseline,-0.08749782763974238
CD,exp_plus_power,amplitude,11.319185084225373
CD,exp_plus_power,rate,0.2458931659822988
CD,exp_plus_power,alpha,9.999999999999998
CD,exp_plus_power,power_weight,0.8976871177333771
RD,constant,baseline,-0.03370902185519264
RD,linear,baseline,0.47407557321439653
RD,linear,slope,-0.07716777349744763
RD,quadratic,baseline,2.2121502080086923
RD,quadratic,slope,-0.7169968103023521
RD,quadratic,quadratic,0.05162884994692968
RD,exponential,baseline,-0.015701177353097805
RD,exponential,amplitude,6.386173953423457
RD,exponential,rate,1.0998865047686137
RD,power_law,baseline,-0.08188419317463733
RD,power_law,amplitude,6.40476330095239
RD,power_law,alpha,2.2061520369417646
RD,log_normal,baseline,-0.0025134230124847926
RD,log_normal,amplitude,6.620512998683028
RD,log_normal,mu,0.14138493299327823
RD,log_normal,sigma,0.4529514243664945
RD,log_cauchy,baseline,-0.17978142573716827
RD,log_cauchy,amplitude,201.68009755979134
RD,log_cauchy,mu,0.27731418834914867
RD,log_cauchy,sigma,0.05000000000000001
RD,zipf_alekseev,baseline,-0.009745557033658965
RD,zipf_alekseev,amplitude,6.3675244371150495
RD,zipf_alekseev,alpha,5.626972713816693e-17
RD,zipf_alekseev,beta,1.8151172206720048
RD,broken_stick,baseline,5.133528153472339
RD,broken_stick,slope_1,-1.663848732540826
RD,broken_stick,slope_2,0.031898407282140696
RD,broken_stick,knot,3.1591042747910096
RD,exp_plus_exp,baseline,-0.015700787969643512
RD,exp_plus_exp,amplitude,6.386177464650974
RD,exp_plus_exp,rate_1,1.0000000000000002e-06
RD,exp_plus_exp,rate_2,1.0998891272700964
RD,exp_plus_exp,exp_weight,9.591032432578125e-13
RD,exp_plus_power,baseline,-0.0157011133662708
RD,exp_plus_power,amplitude,6.38617452955514
RD,exp_plus_power,rate,1.0998869358487233
RD,exp_plus_power,alpha,1.0948444640138228
RD,exp_plus_power,power_weight,2.262892958062183e-16
