DistType,Position,Offset,Contrast,N,NParticipants,NItems,Beta,SE,Z,P,CILow,CIHigh,Converged,Error,P_FDR_All,Significant_FDR_All,P_FDR_Within,Significant_FDR_Within,PercentChange,PercentCILow,PercentCIHigh
CD,K-3,-3,CD - Original,3395,99,54,-0.0007798360165820214,0.008251454299865466,-0.09450891785157631,0.9247048987338023,-0.016952389264396503,0.015392717231232459,False,,0.9247048987338023,False,0.9247048987338023,False,-0.07795320235022274,-1.6809506056756907,1.5511795296922815
CD,K-2,-2,CD - Original,3462,99,55,-0.009331161912340303,0.008100952027314891,-1.1518599148442523,0.24937864253580644,-0.025208736126364227,0.006546412301683619,False,,0.3325048567144086,False,0.3325048567144086,False,-0.9287761717342136,-2.489364913868486,0.6567886893631192
CD,K-1,-1,CD - Original,3462,99,55,0.011692488537687819,0.008000238161832164,1.4615175574985733,0.14387346079408936,-0.003987690127246146,0.027372667202621784,False,,0.20927048842776633,False,0.23019753727054298,False,1.176111288410575,-0.3979749848933456,2.77507403983257
CD,K,0,CD - Original,3526,99,56,0.0012776460893656391,0.00921243611487305,0.1386871044134503,0.8896974088027931,-0.016778396905661637,0.019333689084392917,False,,0.9247048987338023,False,0.9247048987338023,False,0.12784626268420585,-1.6638423540536351,1.9521795157002586
CD,K+1,1,CD - Original,3460,99,55,0.0612108730265839,0.010128107515286242,6.043663432107035,1.5065361915780607e-09,0.04136014706507341,0.0810615989880944,True,,1.2052289532624485e-08,True,6.026144766312243e-09,True,6.312307453203703,4.222739309883128,8.443769477403773
CD,K+2,2,CD - Original,3339,99,53,0.07299785388425191,0.010119602764404188,7.213509816909282,5.452779087269376e-13,0.053163796928167736,0.09283191084033608,False,,8.724446539631002e-12,True,4.362223269815501e-12,True,7.572822827493475,5.460237160184289,9.727727935019193
CD,K+3,3,CD - Original,3015,99,48,0.05067942961326455,0.010087345388706684,5.024060112981047,5.059039081026447e-07,0.030908595951783257,0.07045026327474584,True,,2.023615632410579e-06,True,1.3490770882737192e-06,True,5.198560379173323,3.1391226244535275,7.299120103497336
CD,K_END,4,CD - Original,3131,99,50,0.038548332676246806,0.010146914443449541,3.7990201741704968,0.00014526926844649234,0.01866074581287642,0.058435919539617194,True,,0.0003873847158573129,True,0.0002905385368929847,True,3.9300959340866193,1.883594561958546,6.017704688459369
RD,K-3,-3,RD - Original,4202,99,68,0.014788632081385672,0.008008753423003761,1.846558546665687,0.06481114675699984,-0.0009082361887635775,0.03048550035153492,False,,0.10369783481119974,False,0.08641486234266645,False,1.4898524954292558,-0.0907823867114077,3.095494145617206
RD,K-2,-2,RD - Original,4708,99,76,0.007569758123311656,0.007433941611590142,1.0182697845662072,0.3085497635748833,-0.007000499698578668,0.02214001594520198,False,,0.3797535551690871,False,0.352628301228438,False,0.7598481172103488,-0.6976053279543537,2.2386924920886564
RD,K-1,-1,RD - Original,5100,99,82,-0.002979048990788529,0.00732872399604617,-0.40648945060500563,0.6843830067078831,-0.017343084075673487,0.011384986094096428,False,,0.7821520076661521,False,0.6843830067078831,False,-0.29746160274413125,-1.7193558452712976,1.1450041699588853
RD,K,0,RD - Original,5348,99,86,0.014549190022333992,0.0076841013921123275,1.8934146336575708,0.058302750875336186,-0.0005113719597602609,0.029609752004428246,False,,0.10364933488948655,False,0.08641486234266645,False,1.4655544652761643,-0.05112412314041137,3.0052479592670434
RD,K+1,1,RD - Original,5114,99,82,0.03791404019365945,0.00721877861664736,5.252140591515741,1.5034163210400074e-07,0.02376549409266275,0.052062586294656155,False,,8.018220378880039e-07,True,1.202733056832006e-06,True,3.8641947580408065,2.4050143922455636,5.344167146107193
RD,K+2,2,RD - Original,4662,99,75,0.027110749161550284,0.008027609703907911,3.3771882492434244,0.0007323091290084827,0.01137692325994653,0.04284457506315403,False,,0.0016738494377336749,True,0.0019528243440226206,True,2.748158918700838,1.1441886578528626,4.3775653477738485
RD,K+3,3,RD - Original,4344,99,70,0.021838417969843905,0.007739242096325119,2.821777339180745,0.004775832304944572,0.006669782193410403,0.037007053746277406,False,,0.009551664609889144,True,0.009551664609889144,True,2.207862158846541,0.6692074725215047,3.7700340487255346
RD,K_END,4,RD - Original,4541,99,73,0.03731784427668698,0.008390759428009471,4.447493054337257,8.687826730806247e-06,0.020872257994848514,0.05376343055852545,False,,2.780104553857999e-05,True,3.475130692322499e-05,True,3.802289804780301,2.109160701675372,5.5234936285085245
